回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
96,2,1,2,4,3,4,4,4,4,4,3,4,4,,,1,,,,1,2,1,1,2,,,,1,5,2,,7,,,,,,3,3,,,,,2,2,2,2,2,1,1,11,,,,,,,1,4,5,,,,,,,,,,,2,2,3,1,,,,,,,,,,2,2,2,2,1,3,2,3,4,5,9,,,,,,,高学年が遊べる公園（アスレチック、椅子が高いブランコなど）
97,2,1,1,4,2,4,4,3,3,3,4,4,4,1,学校,1,,,,1,3,1,1,,,,,1,5,2,,1,3,7,,,,4,1,5,,,宿題・自主学習・スマイルゼミ,1,1,1,2,2,2,1,11,,,,,,,1,4,8,,,,,,,,,,,3,2,4,1,5,,,,,,,,,2,5,2,2,5,5,5,5,4,5,6,,,,,,,楽しいと思うイベントをたくさん開いてほしい。
98,2,1,3,3,2,4,4,3,3,4,3,4,3,,,1,,,,1,4,1,1,2,,,,2,4,3,,1,,,,,,3,1,4,,,,2,3,1,2,1,3,4,11,,,,,,,1,2,4,5,,,,,,,,,,2,2,3,1,,,,,,,,,,2,2,1,3,3,3,2,2,4,5,8,,,,,,,ボール遊びができる公園をつくってほしい。
99,1,1,1,2,3,3,4,3,4,4,4,4,4,4,,1,,,,1,,1,1,2,,,,1,5,2,,1,3,7,,,,3,5,,,,子供チャレンジ,1,1,1,1,1,1,1,11,,,,,,,1,2,4,6,7,8,,,,,,,,2,2,4,1,2,3,4,5,,,,,,1,1,3,3,2,2,2,2,4,5,7,,,,,,,広い公園をもっと増やしてほしい。
100,1,1,3,3,2,4,4,3,4,4,4,4,4,4,,1,,,,1,2,1,1,2,5,,,2,3,1,,1,5,,,,,6,1,,,,,1,2,2,2,2,2,2,11,,,,,,,1,3,4,6,,,,,,,,,,2,2,4,1,2,3,,,,,,,,1,3,5,5,5,2,5,5,1,2,5,,,,,,,スケボーパークを作ってもらう。学校でシャーペンが使えるようにしてほしい。
101,1,1,1,3,2,4,2,2,4,4,3,4,4,4,,1,,,,1,4,1,2,,,,,1,5,1,,1,3,5,,,,3,1,3,,,,2,2,1,2,2,1,3,11,,,,,,,1,2,4,6,,,,,,,,,,3,3,4,1,,,,,,,,,,1,2,1,5,5,5,5,2,3,4,8,,,,,,,野球がたくさんできること（バッティングセンター）。
102,1,1,1,4,2,4,4,4,4,4,4,4,4,1,,1,9,,,1,3,1,1,2,,,,3,3,2,,1,,,,,,5,1,,,,,2,1,1,3,1,2,1,5,,,,,,,1,2,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,3,5,5,5,2,4,3,4,6,,,,,,,図書館●ほしい。
103,1,1,1,4,1,4,4,2,4,4,4,4,4,4,,1,,,,1,2,1,1,,,,,2,5,2,,3,,,,,,3,1,,,,,1,1,1,1,1,2,2,11,,,,,,,1,4,6,,,,,,,,,,,2,3,4,1,3,,,,,,,,,1,2,1,2,3,3,3,2,2,4,5,,,,,,,安心できる場所
104,1,1,2,4,2,4,4,2,3,4,4,4,4,4,,,,,,1,5,1,1,,,,,3,5,2,,1,3,5,7,,,3,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,,,,,,,,,,,,3,,4,1,,,,,,,,,,1,5,5,5,2,2,5,5,5,,,,,,,,,公園をつくってほしい。（スポーツができる場所）・サッカー　・野球
105,1,1,1,,3,4,4,4,4,4,4,4,4,,,10,,,,1,1,1,1,,,,,1,4,1,,1,2,,,,,3,1,,,,,3,1,2,4,4,1,1,11,,,,,,,1,,,,,,,,,,,,,1,2,3,1,,,,,,,,,,2,2,4,4,2,1,5,5,4,,,,,,,,,
106,1,,2,4,3,4,4,4,4,4,4,4,4,2,放課後デイサービス,1,,,,1,2,1,1,2,,,,2,4,3,,1,3,5,,,,2,6,,,,,2,2,1,4,2,3,3,1,4,,,,,,1,6,,,,,,,,,,,,2,2,4,1,,,,,,,,,,4,4,4,4,3,3,3,3,4,,,,,,,,,
107,1,1,1,4,4,4,4,3,3,3,3,3,4,,,1,,,,1,2,1,1,,,,,1,5,2,,1,3,,,,,2,3,,,,,3,2,1,1,2,1,1,11,,,,,,,1,6,,,,,,,,,,,,1,2,4,1,2,3,,,,,,,,2,1,1,5,3,4,3,2,4,6,9,,,,,,,
108,1,1,1,4,2,3,3,3,3,4,3,4,3,,,,,,,1,2,1,1,2,,,,1,3,2,,1,,,,,,4,2,3,,,,2,1,1,4,1,1,2,8,,,,,,,1,2,6,,,,,,,,,,,3,2,4,1,3,,,,,,,,,1,5,5,5,5,2,2,1,2,5,7,,,,,,,
109,1,1,2,3,4,4,4,4,4,3,4,4,4,4,,1,,,,1,1,1,1,2,,,,3,4,1,,1,3,7,,,,2,3,4,,,,1,3,1,2,2,3,3,11,,,,,,,1,4,6,8,15,,,,,,,,,1,2,2,1,2,3,5,,,,,,,1,5,3,5,5,5,5,5,2,,,,,,,,,知識や常識があるのなら、子どもも投票していいのでは?
110,2,1,2,3,3,2,2,3,4,4,3,4,4,4,,,,,,1,3,1,1,2,,,,1,5,2,,1,2,3,5,7,,4,3,,,,,1,1,1,2,4,1,1,11,,,,,,,1,4,7,,,,,,,,,,,3,2,4,1,2,3,4,,,,,,,1,5,3,4,3,2,5,2,3,4,5,,,,,,,
111,2,1,1,3,2,3,3,4,3,4,,4,1,,,1,,,,1,5,1,1,2,,,,1,5,2,,1,2,7,,,,3,6,,,,,1,2,2,2,2,1,2,11,,,,,,,1,2,4,6,7,,,,,,,,,3,2,4,1,,,,,,,,,,1,1,1,1,1,5,1,1,3,8,9,,,,,,,公園、児童館がほしいです（子どもだけ）。
112,1,1,1,2,2,3,3,3,3,4,4,4,1,,,1,11,,,5,3,1,1,2,3,,,1,4,2,,1,3,7,,,,3,1,,,,,2,2,1,2,1,3,2,11,,,,,,,1,4,13,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,2,1,5,1,1,5,3,1,4,5,,,,,,,ボールを使って遊べる場所をもっと作って欲しい。
113,2,1,2,3,3,4,3,3,3,4,4,4,4,4,,1,,,,1,5,1,1,2,,,,2,3,2,,1,3,7,,,,2,1,2,,,,2,2,1,2,1,2,2,11,,,,,,,1,4,5,,,,,,,,,,,3,2,4,1,3,,,,,,,,,1,5,5,5,5,5,5,5,3,4,8,,,,,,,公園を増やしてほしい。
114,2,3,1,4,2,4,4,4,4,4,3,4,4,,,1,,,,1,1,3,1,2,,,,4,3,2,,7,,,,,,6,1,,,,,2,3,2,2,2,2,2,8,,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,,,1,1,2,5,2,2,2,2,1,5,8,,,,,,,
115,2,1,2,3,2,3,3,3,4,4,4,4,4,,,1,,,,1,3,1,2,,,,,1,5,2,,1,5,,,,,3,1,,,,,2,2,1,2,2,2,2,11,,,,,,,1,2,4,5,,,,,,,,,,3,2,3,1,,,,,,,,,,1,2,2,1,2,2,2,3,1,3,4,5,6,9,,,,いじめや、虐待などがなくなってほしい。
116,2,1,1,3,3,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,4,2,,1,,,,,,3,6,,,,,1,2,1,3,2,2,2,11,,,,,,,1,,,,,,,,,,,,,2,2,2,1,,,,,,,,,,1,3,3,1,3,3,1,3,3,4,6,,,,,,,
117,1,1,1,3,2,4,4,3,4,4,3,4,1,,,1,,,,1,2,1,1,2,,,,2,4,2,,1,3,5,7,,,5,1,3,,,,2,2,1,3,2,1,2,11,,,,,,,1,4,13,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,4,5,,,,,,,室内プールを作る。
118,2,1,1,4,3,4,4,4,4,4,4,4,4,3,ピアノ,1,,,,1,3,1,1,2,5,,,2,2,1,,1,3,5,,,,6,1,2,3,,,2,4,1,4,1,3,4,4,8,9,10,,,たまに暴力をふるわれる。,1,2,6,8,15,,,,,,,,,1,2,4,1,3,11,,,,,,,神様,1,4,3,3,3,5,4,1,3,4,7,,,,,,,・全員を幸せにする。　・ジェフリーや加とうのような、悲しい罪人の魂を救う。　・自分に「可哀相」と言ってほしい。
119,1,3,4,3,1,4,4,2,4,4,4,4,4,4,,6,,,,1,5,1,1,,,,,1,5,2,,7,,,,,,2,1,,,,,1,1,1,1,1,1,1,11,,,,,,,14,,,,,,,,,,,,相談することがない。,3,3,3,1,2,,,,,,,,,1,2,5,5,3,5,5,5,4,5,8,,,,,,,大きい、いつでも使える（予約をしなくてもいい）ボールを使えるグラウンドがあればいいと思う。
120,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,,,,,1,2,1,1,,,,,2,5,2,,1,3,7,,,,3,2,,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,6,,,,,,,,,,,2,2,4,1,2,3,,,,,,,,1,4,5,5,5,4,3,5,3,4,6,,,,,,,勉強ができるカフェを、たくさんつくってほしい。
121,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,2,5,4,,4,3,5,7,,,4,1,,,,,1,2,1,2,3,2,1,11,,,,,,,1,4,5,6,,,,,,,,,,1,2,3,1,3,,,,,,,,,1,5,5,5,3,3,3,4,4,6,8,,,,,,,学校のトイレは、そんなに「きれい」ではないので、夏休みとかに工事をしてきれいにしてくれると嬉しいです。
122,1,1,1,3,3,4,4,4,4,4,4,4,4,,,9,,,,1,2,1,1,2,,,,3,5,2,,1,3,7,,,,4,2,4,,,,2,1,1,3,1,2,1,11,,,,,,,1,2,3,4,6,8,,,,,,,,1,2,4,1,2,3,,,,,,,,1,5,5,5,5,5,3,3,2,6,8,,,,,,,特になし
123,2,1,3,3,4,3,4,4,3,4,4,4,4,4,,1,,,,1,4,1,1,2,,,,1,5,1,,1,3,7,,,,3,3,,,,,1,1,1,1,1,1,1,,,,,,,,1,4,,,,,,,,,,,,3,2,,1,,,,,,,,,,1,2,2,3,3,4,4,4,2,4,5,,,,,,,でっかい公園がほしい。雨の日も遊べる場所がほしい。でっかいZARAとか服とか可愛いものが買えるショッピングモールがほしい。ミスドとスタバがほしい。
124,2,4,1,4,3,4,4,3,4,4,4,4,4,3,図書館,1,,,,1,2,1,1,2,,,,2,5,2,,1,,,,,,5,2,,,,,1,1,1,1,3,1,1,11,,,,,,,1,2,,,,,,,,,,,,1,2,4,1,,,,,,,,,,1,5,5,5,4,4,3,2,1,3,6,,,,,,,これからもわたしたちのことを見守って下さい。宜しくお願いします。
125,1,1,2,3,1,4,4,3,3,3,3,4,4,,,,,,,1,3,1,1,2,,,,1,4,2,,1,3,7,,,,3,4,,,,,1,1,1,2,1,1,1,11,,,,,,,1,2,4,6,,,,,,,,,,1,2,4,1,,,,,,,,,,1,3,2,3,2,2,2,2,1,3,7,,,,,,,安全で楽しく過ごせる公園がほしい。
126,1,1,3,4,2,1,4,4,4,4,4,4,4,,,4,,,,8,5,1,1,2,,,,3,3,2,,1,2,5,,,,3,1,3,,,,1,1,1,1,3,1,1,11,,,,,,,1,2,6,,,,,,,,,,,3,2,2,1,,,,,,,,,,1,1,1,1,1,3,5,1,3,4,5,,,,,,,
127,2,1,1,4,2,4,4,4,3,4,4,4,4,,,1,,,,7,2,4,1,2,,,,3,3,2,,1,5,,,,,4,1,4,,,,2,3,2,3,3,2,2,8,,,,,,,1,2,4,7,,,,,,,,,,2,3,4,1,,,,,,,,,,2,2,2,3,2,2,5,5,5,6,9,,,,,,,警察になるための学校を作ってほしいです。
128,2,1,3,4,3,3,4,4,3,4,3,4,4,4,,9,,,,1,2,1,1,2,3,,,1,4,2,,7,,,,,,3,1,,,,,3,1,1,1,1,1,1,8,,,,,,,1,4,7,13,,,,,,,,,,3,2,4,1,3,4,,,,,,,,2,3,5,2,3,3,5,5,4,5,9,,,,,,,
129,1,1,1,3,2,4,4,4,3,4,4,4,4,,,1,,,,1,3,1,1,2,,,,2,3,2,,1,3,7,,,,4,1,,,,,2,1,1,2,2,,2,4,,,,,,,1,6,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,1,1,1,5,5,5,5,2,3,4,,,,,,,狛江市ボールを使える所を増やす。でかい公園。
130,1,4,3,,3,,,,3,,,,,,,,,,,1,4,1,1,,,,,1,5,1,,1,3,5,,,,2,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,3,4,13,,,,,,,,,,2,2,4,1,2,,,,,,,,,1,1,1,4,1,3,4,4,,,,,,,,,,ないです。
131,1,1,2,3,2,4,4,3,4,4,3,4,4,4,,1,,,,1,2,1,1,,,,,2,4,1,,1,3,5,,,,5,1,,,,,2,4,2,4,2,3,2,11,,,,,,,1,3,4,6,8,,,,,,,,,3,2,4,1,,,,,,,,,,2,5,2,2,2,2,5,5,1,5,9,,,,,,,岩戸南に大きめの遊具がたくさんある公園がほしい。
132,1,1,3,4,3,4,4,2,3,4,4,4,4,4,,6,,,,1,4,1,1,2,,,,2,4,2,,1,7,,,,,3,3,5,,,習い事の宿題,1,2,2,3,2,1,2,11,,,,,,,1,2,4,5,6,,,,,,,,,1,2,4,1,2,,,,,,,,,1,5,5,3,3,5,5,4,5,7,8,,,,,,,狛江市にボールを使える公園をつくる。
133,2,1,1,3,3,3,4,3,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,4,3,,1,3,7,,,,4,3,4,,,,2,2,1,,,2,3,3,9,,,,,,1,2,3,6,7,8,,,,,,,,3,3,4,1,2,3,4,5,,,,,,1,5,5,5,5,4,5,3,1,3,8,,,,,,,犯罪などが起こらないようにしたい。
134,1,1,1,4,3,4,4,3,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,1,5,2,,1,3,,,,,4,1,,,,,2,1,1,3,3,2,2,11,,,,,,,1,6,,,,,,,,,,,,3,,4,1,3,,,,,,,,,1,5,5,5,5,5,5,5,4,,,,,,,,,
135,2,1,,4,4,4,4,4,4,4,3,4,4,,,1,,,,1,5,1,1,2,,,,2,3,2,,1,3,7,,,,2,3,4,,,,1,3,2,3,4,1,4,9,,,,,,,1,6,7,,,,,,,,,,,1,,3,1,3,4,,,,,,,,2,2,2,5,2,3,5,5,4,5,8,,,,,,,ないです。
136,2,1,3,4,2,4,4,4,4,4,4,4,4,,,1,,,,1,2,1,1,,,,,1,4,1,,1,3,5,,,,4,1,,,,,2,3,1,3,2,2,3,11,,,,,,,1,4,5,6,7,8,,,,,,,,1,2,2,1,2,3,4,5,,,,,,1,2,3,5,5,3,5,3,4,,,,,,,,,悪いことを言ってしまっているかもしれませんが、学校の廊下やトイレ、教室などを新設備（新型）の設備にすること。
137,1,1,1,3,2,4,4,,4,4,4,4,4,,,1,,,,1,2,1,1,,,,,1,5,2,,1,3,,,,,3,2,4,,,,1,2,1,2,2,2,1,11,,,,,,,1,4,5,6,,,,,,,,,,2,2,4,1,2,3,,,,,,,,1,2,2,2,2,2,3,2,4,5,8,,,,,,,環境についてのワークショップを今よりたくさん開いてほしい。（鳥や動物）
138,2,1,3,3,2,4,4,3,4,4,4,4,4,,,3,,,,1,3,1,1,4,,,,1,4,1,,1,5,,,,,6,1,,,,,1,2,1,1,1,1,2,11,,,,,,,1,4,5,,,,,,,,,,,2,2,2,1,3,,,,,,,,,1,3,2,1,2,2,3,3,3,8,9,,,,,,,水辺の楽校で子どもが休日に遊べるように、もっと色々な遊具をつくり、テーマパークのようにしてほしいです。水辺の楽校に、ちょっとしたドッグランをつくってほしいです。清水川公園付近にドッグランをつくってほしいです。
139,2,1,3,4,4,2,3,4,3,4,4,4,4,,,4,,,,1,3,1,1,2,,,,4,3,3,,1,5,7,,,,3,6,,,,,4,1,1,3,1,1,1,1,,,,,,,4,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,2,4,5,2,3,3,3,5,7,9,,,,,,,ショッピングモールを建ててほしい。公園、お菓子やを作ってほしいです。
140,2,1,2,3,2,4,4,4,4,3,4,4,4,,,1,,,,1,2,1,1,,,,,1,5,1,,1,2,5,7,,,4,1,,,,,2,2,2,1,1,1,2,11,,,,,,,1,4,,,,,,,,,,,,1,2,3,1,,,,,,,,,,1,3,5,5,5,5,5,5,4,,,,,,,,,夏に通学している時に日差しが暑い。
141,1,1,1,3,4,2,3,4,2,3,3,4,1,,,1,,,,1,3,1,1,2,,,,3,4,2,,1,3,7,,,,4,2,3,,,,3,2,2,3,1,3,1,11,,,,,,,1,2,3,4,5,6,7,13,,,,,,3,2,4,1,2,3,10,,,,,,,2,1,1,2,3,5,5,2,3,5,8,,,,,,,とくにありません。
142,1,1,2,3,4,4,4,4,4,4,3,4,4,,,,,,,1,2,1,1,,,,,3,3,2,,1,7,,,,,3,2,,,,,2,3,2,3,3,4,3,1,4,10,,,,兄と仲がよくない。,4,6,,,,,,,,,,,,2,2,2,1,2,,,,,,,,,2,5,5,5,3,5,5,5,4,5,9,,,,,,,
143,2,1,3,2,4,3,4,4,2,4,4,4,4,,,1,,,,1,3,1,1,2,,,,1,4,2,,1,,,,,,3,3,,,,,2,2,1,2,2,3,2,11,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,4,5,8,,,,,,,
144,1,1,2,,3,2,3,4,4,4,4,4,4,4,,,,,,1,3,1,1,2,,,,2,5,2,,1,3,5,7,,,3,1,4,,,,2,2,1,2,2,2,2,5,6,8,,,,,1,3,6,8,13,,,,,,,,,1,3,2,1,3,10,,,,,,,,2,1,1,5,1,3,3,5,1,4,8,,,,,,,
145,2,1,3,4,2,4,4,4,4,4,4,4,4,4,,1,,,,13,4,1,1,,,,,3,3,3,,1,5,,,,,3,1,5,,,家で出される宿題,3,4,1,4,3,3,3,11,,,,,,,13,,,,,,,,,,,,,3,3,4,10,,,,,,,,,,2,5,3,2,5,2,2,4,8,,,,,,,,,
146,1,1,1,4,4,4,4,4,4,4,4,4,4,,,1,,,,1,1,1,1,2,,,,3,3,2,,1,,,,,,1,6,,,,,2,1,1,3,1,3,2,11,,,,,,,15,,,,,,,,,,,,,3,2,4,1,2,3,,,,,,,,1,4,3,2,3,4,4,3,3,4,8,,,,,,,
147,2,1,2,3,2,4,4,2,3,4,4,4,4,4,,1,,,,1,4,1,1,2,5,,,3,2,2,,1,3,7,,,,3,3,5,,,宿題(?),1,1,1,4,2,1,1,1,2,10,,,,習い事が多くて宿題ができないときがある。姉がクズで困っている。（友達に遊びに毎日誘われて）,1,2,4,5,6,7,8,15,,,,,,2,2,4,1,2,3,5,,,,,,,2,3,1,1,1,3,3,3,5,7,9,,,,,,,・大きい公園　・スターバックスコーヒー　・31アイスクリーム　・映画館　・ショッピングモール　・韓国みたいな制服のメイクしていい高校　・ZARA　・ミスタードーナツ　・マック　・焼き鳥屋　・鉄板焼き屋　・映えスポット　・スマホを義務教育化　・RePiPiarumario　・LOVEtixuc　・Pinklatte　・給食の枝豆アイスを年6回で出てほしい。　・小中校生のいる家庭への支援　・シーン（ファッション通販アプリの店舗）
148,1,1,,,,3,,,3,,,,,,,1,,,,1,2,1,1,,,,,1,5,2,,1,2,7,,,,4,1,,,,,1,2,2,2,4,2,2,11,,,,,,,1,3,4,,,,,,,,,,,1,2,3,1,2,,,,,,,,,2,2,,2,,2,,3,,,,,,,,,,
149,1,1,1,4,3,4,4,3,3,4,4,4,4,4,,1,,,,1,3,1,1,,,,,2,4,1,,1,,,,,,6,1,,,,,1,2,1,2,1,1,2,8,,,,,,,1,3,6,,,,,,,,,,,1,2,3,1,2,3,,,,,,,,1,1,1,1,1,5,1,5,4,5,8,,,,,,,子どもがみんな楽しめる公園などの場所。
150,2,1,2,3,3,3,4,4,4,3,2,4,4,,,1,9,,,1,2,1,2,,,,,1,4,4,5,3,7,,,,,4,1,3,,,,2,2,4,3,2,2,2,11,,,,,,,1,4,5,6,,,,,,,,,,3,2,4,1,3,,,,,,,,,2,4,4,3,2,3,3,2,3,4,6,,,,,,,
151,2,1,1,3,4,3,4,4,4,3,3,4,4,4,,1,,,,1,1,1,1,2,,,,2,4,2,,1,5,,,,,5,1,3,,,,1,1,2,3,2,1,1,11,,,,,,,1,7,8,,,,,,,,,,,1,2,4,1,2,4,,,,,,,,1,5,5,5,5,5,3,5,3,4,9,,,,,,,もっと多摩川などでのイベントを増やして下さい。
152,1,1,2,3,2,3,4,4,3,4,4,4,4,,,1,,,,1,,1,1,2,,,,1,4,2,,1,3,,,,,4,1,3,,,,2,4,2,2,2,1,2,11,,,,,,,1,,,,,,,,,,,,,3,1,2,1,2,,,,,,,,,1,1,2,2,3,2,5,2,4,7,9,,,,,,,もっとボールとか遊べるところがほしいです。習い事の場所を多くしてほしいです。緑を感じる場所がほしいです。
153,1,1,2,4,3,4,4,3,4,4,3,4,4,3,スーパー,,,,,,,1,1,,,,,2,3,2,,1,3,5,,,,3,1,3,,,,2,2,1,3,2,2,2,3,7,10,,,,面倒くさがりやが多い。,1,3,6,8,,,,,,,,,,3,3,3,1,2,3,5,,,,,,,2,3,1,1,1,5,2,4,3,6,7,,,,,,,みんなで支援するなんでも相談センターが出来ると良い。
