回答者(or No.),問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。,問１　５　その他,問２　あなたの年齢を教えてください。,問２　あなたの年齢を教えてください。,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　３　祖父／人数,問３　４　祖母／人数,問３　５　兄／人数,問３　６　姉／人数,問３　７　弟／人数,問３　８　妹／人数,問３　９　その他の親戚／人数,問３　10　その他／人数,問４　現在のあなたの婚姻状況を教えてください。,問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。,問８　両親の国籍／A　母親,問８　両親の国籍／B　父親,問９　両親の就労状況／A　母親,問９　両親の就労状況／B　父親,問９1　働いていない最も主な理由／A　母親,問９1　働いていない最も主な理由／B　父親,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親,問９3　平日の日中以外の勤務／A　母親（複数回答１）,問９3　平日の日中以外の勤務／A　母親（複数回答２）,問９3　平日の日中以外の勤務／A　母親（複数回答３）,問９3　平日の日中以外の勤務／A　母親（複数回答４）,問９3　平日の日中以外の勤務／A　母親（複数回答５）,問９3　平日の日中以外の勤務／A　母親　６　その他,問９3　平日の日中以外の勤務／B　父親（複数回答１）,問９3　平日の日中以外の勤務／B　父親（複数回答２）,問９3　平日の日中以外の勤務／B　父親（複数回答３）,問９3　平日の日中以外の勤務／B　父親（複数回答４）,問９3　平日の日中以外の勤務／B　父親（複数回答５）,問９3　平日の日中以外の勤務／B　父親（複数回答６）,問９3　平日の日中以外の勤務／B　父親　６　その他,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか,問111　問11で回答した理由を教えてください。（複数回答１）,問111　問11で回答した理由を教えてください。（複数回答２）,問111　問11で回答した理由を教えてください。（複数回答３）,問111　問11で回答した理由を教えてください。（複数回答４）,問111　問11で回答した理由を教えてください。（複数回答５）,問111　５　その他,問12　健康状態／①　あなた（回答者）,問12　健康状態／②　お子さん,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。,問141　受け取っていない理由を教えてください。,問141　７　その他,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。,問16　A　お子さんの勉強をみる,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする,問16　E　お子さんと一緒に家事など（料理等）をする,問16　F　お子さんと一緒に買い物等外出をする,問17　A　海水浴・登山などに行く,問17　B　博物館・科学館・美術館などに行く,問17　C　キャンプやバーベキューなどに行く,問17　D　スポーツ観戦や映画・コンサートなどに行く,問17　E　遊園地やテーマパークなどに行く,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。,問19　買えなかったこと／①食料,問19　買えなかったこと／②衣類,問20　Ａ　電話料金,問20　Ｂ　電気料金,問20　Ｃ　ガス料金,問20　Ｄ　水道料金,問20　Ｅ　家賃,問20　Ｆ　住宅ローン,問20　Ｇ　その他の債務,問21　Ａ　毎月お小遣いを渡す,問21　Ｂ　毎年新しい洋服・靴を買う,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）,問21　Ｅ　お誕生日のお祝いをする,問21　Ｆ　１年に１回くらい家族旅行に行く,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる,問21　Ｈ　子どもの学校行事などに親が参加する,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答１）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答２）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答３）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答４）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答５）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答６）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答７）,問23　最後に通った学校／A　母親,問23　最後に通った学校／B　父親,問231　学校を卒業したか／A　母親,問231　学校を卒業したか／A　母親　3　その他,問231　学校を卒業したか／B　父親,問231　学校を卒業したか／B　父親　3　その他,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答１）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答２）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答３）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答４）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答５）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答１）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答２）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答３）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答４）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答５）,問27　A　現在の受け取り方法（複数回答１）,問27　A　現在の受け取り方法（複数回答２）,問27　A　現在の受け取り方法（複数回答３）,問27　A　現在の受け取り方法（複数回答４）,問27　A　現在の受け取り方法（複数回答５）,問27　A　現在の受け取り方法（複数回答６）,問27　A　現在の受け取り方法（複数回答７）,問27　A　７　その他,問27　B　今後、受け取りたい方法（複数回答１）,問27　B　今後、受け取りたい方法（複数回答２）,問27　B　今後、受け取りたい方法（複数回答３）,問27　B　今後、受け取りたい方法（複数回答４）,問27　B　今後、受け取りたい方法（複数回答５）,問27　B　今後、受け取りたい方法（複数回答６）,問27　B　今後、受け取りたい方法（複数回答７）,問27　B　７　その他,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。,問29　Ａ　市役所の窓口,問29　Ｂ　子ども家庭支援センター,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど,問29　Ｄ　民生委員・児童委員,問29　Ｅ　児童相談所,問29　Ｆ　ハローワーク,問29　Ｇ　上記以外の公的機関,問30　あなたは「子どもの権利条約」について知っていますか。,問31　あなたが狛江市に期待することなどがありましたら、ご自由にお書きください。,学年,生活困難度,世帯タイプ,生活困難度（統合）,世帯タイプ（統合）,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親
395,2,,39,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,1,1,,,50,50,7,,,,,,7,,,,,,,10,12,,4,1,,,,,,1,1,3,2,1,,1,4,4,4,2,4,3,1,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,4,8,,,,,4,,,,,8,,,,,,,,4,5,,,,,,,1,5,5,3,5,2,1,2,3,経済的な理由や家庭環境などで、子どもの学習の機会や最低限の生活が奪われる事はあってはならない。教育は国力を高めるために重要であるのに、その責任は国や自治体ではなく、家庭に大きく委ねられているように感じる。家庭の負担が大きい。親の状況にかかわらず、全ての子どもに平等に支援やサービスを提供して欲しい。また情報の格差で必要な支援を受けられない事もあるため、学校など身近な場所に相談窓口を設ける事が良いと思う。子ども達が明るい未来を描けるような、支援の充実をお願いします。,2,3,1,2,1,6,6
396,2,,45,2,1,2,4,8,,,,1,2,4,8,,,,,1,,,,1,,,1,,2,1,1,1,3,1,,,9,40,7,,,,,,7,,,,,,,2,8,,4,2,,,,,,1,1,4,2,1,,1,1,4,3,1,4,3,1,1,4,1,1,2,4,4,2,2,2,2,3,2,2,1,1,2,2,1,1,1,1,8,,,,,,,4,2,1,,1,,4,8,,,,,7,,,,,2,4,5,6,,,,,2,3,4,5,6,,,,1,2,1,1,2,2,2,2,4,・図書館の本を充実させて欲しい。中央図書館を今の場所から変えないでほしい。　・子供の医療費を高校卒業まで所得制限無く無料にしてほしい。,2,3,2,2,1,1,5
397,2,,48,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,5,1,4,,,,,,,,,,7,,,,,,,,12,,4,1,,,,,,3,3,3,2,1,,1,4,4,2,1,4,4,4,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,8,,,,,,,8,8,1,,1,,4,8,,,,,2,,,,,1,2,3,4,5,6,,,2,5,6,,,,,,1,,,1,,,1,,3,子供だけでなく高齢の人も交流できるような場を作ってほしい。子供も高齢者もまざりあって交流できるようなところの方が良い。,2,3,1,2,1,,
398,2,,48,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,3,1,,,9,40,7,,,,,,1,2,4,,,,,1,10,,4,1,,,,,,1,1,5,2,4,,1,1,4,3,1,4,3,4,1,4,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,2,5,6,,,,,,2,5,,,,,,,1,2,2,1,2,2,1,2,2,,2,3,1,2,1,1,5
399,2,,,,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,,,3,1,,,6,,7,,,,,,,,,,,,,2,,,4,3,,,,,,3,3,3,2,4,,1,4,4,3,1,3,3,4,4,4,1,1,2,4,4,2,2,2,2,2,,,,,,,1,1,1,1,,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,2,,1,,1,1,
400,1,,54,3,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,1,1,,,5,45,7,,,,,,7,,,,,,,2,12,,4,1,,,,,,1,1,5,2,4,,1,2,4,4,1,3,3,3,3,3,3,1,1,4,4,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,8,,,,,,,6,8,1,,1,,2,4,,,,,4,,,,,1,2,3,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,4,,2,3,1,2,1,1,5
401,1,,51,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,1,1,,,60,50,1,2,4,5,,,2,4,,,,,,6,9,,4,1,3,,,,,1,1,4,2,6,,3,4,4,4,2,4,3,1,1,4,1,4,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,8,,,,,,,,1,2,,,,,,,1,2,2,2,2,2,2,2,3,,2,3,1,2,1,6,6
402,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,1,4,1,,,30,45,4,,,,,,4,5,,,,,,2,12,,4,3,,,,,,1,1,4,2,4,,1,4,3,4,1,4,3,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,8,9,1,,1,,2,5,,,,,7,,,,,4,,,,,,,,3,,,,,,,,1,2,2,2,2,2,2,2,3,,2,,,,,4,5
403,2,,54,3,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,1,1,,,40,40,7,,,,,,7,,,,,,,,,,4,2,,,,,,1,3,3,2,5,,1,4,4,4,2,3,4,4,1,4,4,4,2,4,4,3,3,3,3,3,3,3,1,1,1,2,1,1,2,1,8,,,,,,,6,8,1,,1,,4,8,,,,,5,,,,,2,5,,,,,,,2,,,,,,,,1,1,1,1,2,2,1,2,4,,2,,1,,1,5,5
404,2,,50,3,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,3,1,,,14,40,7,,,,,,7,,,,,,,13,13,,4,1,,,,,,1,1,4,2,4,,1,4,4,4,2,4,3,4,1,4,1,4,3,4,4,2,2,2,2,2,3,3,2,1,1,1,1,3,1,1,8,,,,,,,2,8,1,,1,,4,8,,,,,7,,,,,8,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,,,2,,1,,1,2,5
405,2,,48,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,10,,,,,,,,,,,,,,,,,,4,3,,,,,,1,1,4,,,,1,4,4,3,1,2,3,,1,,,,1,4,4,2,2,2,2,2,2,,1,1,1,1,1,2,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,5,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,3,,2,,1,,1,2,
406,2,,47,2,2,4,,,,,,2,4,,,,,,,1,,,,,,,2,3,2,1,1,,1,,,,37,,7,,,,,,,,,,,,,6,,,5,4,,,,,,1,1,4,3,,,1,4,4,4,3,4,3,4,4,4,4,1,2,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,8,,,,,,,6,,1,,,,1,8,,,,,7,,,,,5,,,,,,,,5,,,,,,,,1,2,2,2,2,2,2,2,4,,2,3,4,2,2,4,
407,2,,47,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,5,1,6,,,50,,,,,,,7,,,,,,,1,12,,4,2,,,,,,1,1,4,2,1,,1,3,4,3,1,2,2,1,3,1,3,3,2,4,4,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,8,,,,,,,6,9,1,,1,,3,8,,,,,7,,,,,3,4,,,,,,,3,4,,,,,,,1,2,2,2,2,2,2,2,2,,2,3,1,2,1,,6
408,2,,41,2,1,2,7,8,,,,1,2,7,8,,,,,,,,1,1,,,1,,2,1,1,1,3,1,,,15,45,7,,,,,,7,,,,,,,2,12,,4,3,,,,,,3,1,4,2,5,,1,3,4,4,1,3,3,1,1,1,1,1,1,4,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,7,8,1,,1,,4,8,,,,,4,,,,,7,,,,,,,,3,,,,,,,,1,2,1,1,2,2,2,2,3,ファミリーサポート充実の為に利用者の負担を半額でも市が出すようにする。（はらい戻しチケットなど）700円は物価高とうに見合わないのでもう少し上げれば引きうける人も増えると思う。あらゆる、収入額による上限のてっぱい（いっぱいかせいでる人にお金を回した方が将来の納税者をより良く育てると思う）。,2,2,1,1,1,2,5
409,2,,42,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,1,1,,,50,80,4,,,,,,7,,,,,,,6,9,,4,2,,,,,,1,1,4,2,1,,1,4,4,3,3,4,3,1,3,1,1,1,2,4,4,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,8,,,,,,,8,8,1,,1,,2,1,2,,,,7,,,,,2,3,,,,,,,2,3,,,,,,,1,2,2,2,2,2,2,2,,,2,3,1,2,1,6,8
410,1,,51,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,1,1,,,45,45,1,4,,,,,7,,,,,,,7,12,,4,1,5,,,,子供の将来を考えて。,1,1,4,2,4,,4,4,4,4,1,1,3,1,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,3,,,,,7,,,,,4,5,6,,,,,,3,4,5,6,,,,,1,2,2,2,2,2,2,2,4,住みやすい狛江が気に入っています。これからも子供や老人が住みやすい環境を作っていって下さい。いつもありがとうございます。,2,3,1,2,1,5,5
411,2,,45,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,1,1,,,50,40,6,,,,,残業18時～21時。,7,,,,,,,9,11,,4,1,,,,,,1,1,4,2,4,,1,2,4,4,2,3,3,1,1,1,1,1,2,4,4,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,8,,,,,,,8,9,1,,1,,3,8,,,,,7,,,,,1,2,3,4,7,,,新聞やネットニュース。,3,,,,,,,,1,2,2,2,2,2,2,2,2,・高校生までの所得制限なしの医療費無償化。　・医療機関は土曜日午後まで診療してほしい。　・図書館の開館時間の延長（21:00ごろまで）。,2,3,1,2,1,6,5
412,2,,52,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,5,1,2,,,,,,,,,,,,,,,,,1,12,,4,1,2,3,,,,2,1,4,2,4,,1,4,4,4,1,3,2,4,4,4,1,3,2,4,4,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,8,,,,,,,6,8,1,,1,,3,8,,,,,7,,,,,4,,,,,,,,5,,,,,,,,1,2,2,2,2,2,2,2,3,,2,3,1,2,1,,
413,2,,48,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,4,1,,,20,50,4,,,,,,2,,,,,,,3,12,1,4,2,,,,,,1,1,4,2,4,,1,4,4,4,1,4,3,1,1,4,1,1,2,4,4,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,5,,,,,1,2,3,4,5,,,,3,4,5,6,,,,,1,2,1,1,2,2,1,2,4,図書館をもっと充実させてほしい。,2,3,1,2,1,3,6
414,2,,47,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,3,1,,,17,50,7,,,,,,2,,,,,,,4,11,,4,1,,,,,,1,1,4,2,4,,1,4,4,4,1,4,3,4,4,4,4,1,2,4,4,2,2,2,2,3,2,2,2,1,2,2,1,1,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,4,5,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,4,,2,3,1,2,1,2,6
415,2,,45,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,2,1,2,2,1,1,5,1,6,,,50,,,,,,,2,,,,,,,1,12,,4,2,3,4,,,,2,2,4,2,5,,1,4,4,4,1,4,3,4,4,4,4,1,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,,8,,,,,7,,,,,2,,,,,,,,2,,,,,,,,1,2,2,2,2,2,2,2,4,,2,3,1,2,1,,6
416,2,,44,2,1,2,5,6,,,,1,2,5,6,,,,,,1,1,,,,,1,,2,1,1,1,3,1,,,22,50,1,5,,,,,2,,,,,,,4,10,,4,1,,,,,,1,1,2,2,4,,1,4,4,3,1,2,3,1,1,1,1,1,2,4,4,2,2,2,2,2,3,3,1,1,,,1,1,1,1,,,,,,,,6,8,1,,1,,3,8,,,,,7,,,,,2,3,4,6,,,,,2,6,,,,,,,1,2,2,2,2,2,2,2,4,,2,3,1,2,1,3,6
417,2,,45,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,3,1,,,4,10,4,5,,,,,7,,,,,,,,,,4,2,,,,,,1,1,5,3,,,1,3,4,4,1,4,2,4,4,4,1,1,1,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,6,8,1,,1,,2,8,,,,,7,,,,,5,,,,,,,,1,2,4,5,,,,,1,,,,,,,,4,,2,,1,,1,1,2
418,2,,42,2,1,2,6,7,,,,1,2,6,7,,,,,,,1,1,,,,1,,2,1,1,1,1,1,,,33,55,7,,,,,,2,,,,,,,6,9,,4,1,2,3,,,,1,1,4,2,3,,3,3,4,4,1,2,3,4,4,1,1,4,2,4,4,2,2,2,2,2,2,2,1,1,,,1,1,1,1,8,,,,,,,7,8,1,,1,,4,1,5,,,,2,,,,,8,,,,,,,,5,,,,,,,,1,2,2,1,5,5,2,2,4,,2,3,1,2,1,4,6
419,2,,43,2,1,5,,,,,,1,5,,,,,,,,1,,,,,,1,,2,2,1,1,3,1,,,16,50,7,,,,,,7,,,,,,,3,12,,4,2,3,,,,,3,3,4,2,1,,1,4,4,4,1,2,4,1,3,3,3,3,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,1,8,,,,,7,,,,,1,3,4,,,,,,3,4,,,,,,,2,2,2,2,2,2,2,2,3,引越してきて5年ですが、ワクチンの時なども丁寧に対応いただいて感謝しています。身近に図書館があるのもすばらしく、子供が自分で予約しています。窓口の方が娘をおぼえて下さり温かく対応いただいていることは本当にありがたいです。病院の予約がとりにくいことなど悩みもあるといえばありますが、町中で子供といて嫌な思いをすることがないのは都内でかなり基重な場所だと思います。今後も子供を大切にする街づくりとしていただけたらと思います。いつもありがとうございます。,2,,,,,2,6
420,2,,46,2,1,2,4,8,,,,1,2,4,8,,,,,1,,,,1,,,1,,2,1,1,1,1,1,,,40,40,1,2,4,,,,1,2,4,5,,,,6,7,,4,1,,,,,,1,1,3,2,1,,3,1,3,3,1,4,3,1,1,4,1,1,2,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,7,,,,,,,7,8,1,,2,,1,8,,,,,7,,,,,3,4,,,,,,,3,4,,,,,,,1,1,2,1,1,2,2,,2,子どもには不自由なく与えているが、きりつめている部分はある。金銭的なサポートがあると良い。狛江市には満足している。住みやすさ、自然環境、イベントの増加など。楽しい街であると思う。,2,2,2,1,1,5,5
421,1,,54,3,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,2,1,1,1,1,,,40,45,7,,,,,,4,5,,,,,,7,11,,4,2,,,,,,3,3,3,2,4,,1,1,4,4,4,4,4,3,4,4,4,4,3,4,4,2,2,2,2,2,3,3,1,1,2,2,2,1,1,1,8,,,,,,,6,9,1,,1,,3,8,,,,,7,,,,,4,,,,,,,,4,,,,,,,,2,2,2,2,2,2,2,2,,,2,3,1,2,1,5,5
422,2,,50,3,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,3,1,,,30,66,7,,,,,,4,5,6,,,,出張,3,12,1,4,5,,,,,本人が望むならという前提で。,1,1,5,2,6,,1,4,4,4,1,3,3,4,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,3,4,5,,,,,,3,4,5,,,,,,1,2,1,1,2,2,1,2,4,19:0020:00頃まで開いている自習室などの広いスペースの提供。大学生など身近な目標、手本となる人が見守りにいるとなお良いと思う。小学生にしても、中学生にしても、自分たちの過ごしたいように過ごせる、目の行き届いたスペースが狛江には足りないと思います。,2,3,1,2,1,4,7
423,2,,45,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,1,1,,,40,70,7,,,,,,7,,,,,,,9,11,,4,2,3,4,,,,1,1,4,2,4,,2,1,4,4,1,4,3,1,1,1,1,1,1,4,4,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,9,1,,1,,1,8,,,,,7,,,,,1,2,,,,,,,1,2,,,,,,,1,1,1,1,2,2,2,2,3,なぜ狛江市は国立の小学校の受験資格がないのでしょうか。狛江市に住んでしまったことを深く後悔しております。学芸大小金井小の通学範囲に、狛江市より遠方の区は通学区域として入っております。他の国立小もそこまで遠くはありません。なぜ、このように全ての国立小学校からはじかれているのか、市民に説明いただきたいです。公立には大きな不安もあり、全く選択肢にはございません。学力向上について世田谷区をお手本として、もう少し考えていただきたいです。恥ずかしいです。,2,3,1,2,1,5,8
424,2,,44,2,1,2,6,7,,,,1,2,6,7,,,,,,,1,1,,,,1,,2,1,1,1,3,1,,,31,37.5,7,,,,,,1,2,3,4,5,,,5,10,,,5,,,,,子供に将来の夢があるため。,3,1,4,2,4,,1,3,4,3,1,3,3,3,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,2,1,,1,,3,8,,,,,7,,,,,4,5,6,,,,,,1,2,,,,,,,1,2,1,1,2,2,2,2,2,,2,3,1,2,1,4,4
425,2,,46,2,1,7,8,,,,,1,7,8,,,,,,,,,1,1,,,1,,2,2,1,1,3,4,,,6,10,4,,,,,,1,4,,,,,,3,6,,5,3,4,,,,,3,3,2,1,,,1,1,4,3,1,1,2,1,1,,1,1,2,3,3,2,2,2,2,2,2,3,1,1,1,1,1,3,1,1,6,7,,,,,,2,4,1,,1,,4,,,,,,4,,,,,3,4,5,6,,,,,3,5,6,,,,,,1,,,,,,,,,子どもがのびのび過ごせる公園、場所（ボールあそび、スケート、など）声を出しても怒られないなど。,2,,,,,1,2
426,2,,56,3,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,2,1,1,3,4,,,55,60,1,4,5,,,,1,4,5,,,,,4,5,4,4,2,5,,,,大卒じゃないと職が見つからない。,4,3,2,2,1,,4,4,4,4,1,2,4,2,2,2,1,1,2,4,4,2,2,2,2,3,2,2,2,1,2,1,1,1,1,1,8,,,,,,,2,7,1,,1,,4,8,,,,,7,,,,,4,,,,,,,,4,,,,,,,,2,2,2,1,2,2,1,2,4,・自営業で毎年厳しい、市民税を払う事も大変です　・子供と朝食を一緒にとりたいが、仕事のため、いつも1人で食事をさせている。仕事、仕事で、子供とのコミュニケーションなど、ほとんどとれない。かと言って物価高で、生活は苦しい。狛江市は、こんなに狭いのに議員の数が多すぎる。もっと減らしてその分の税金を減らしてほしい　・こんなアンケート意味があるのか？作った人と意識が違うと思います。,2,2,1,1,1,6,7
427,2,,36,1,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,2,1,1,3,1,,,30,50,7,,,,,,2,3,4,5,,,,4,8,,4,2,,,,,,3,3,4,2,1,,3,4,4,3,1,3,2,2,3,2,3,3,2,4,4,2,1,1,2,2,3,1,2,1,3,3,1,3,1,2,8,,,,,,,2,8,2,,1,,5,1,2,4,5,,7,,,,,3,4,5,,,,,,3,,,,,,,,1,2,1,1,2,2,2,2,1,,2,1,1,1,1,4,6
428,2,,47,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,4,4,4,1,4,4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,4,5,,,,,,,2,5,,,,,,,1,2,2,2,2,2,2,2,3,・先生方の働き方改革。　・郷土愛を育む教育。　・子育て世帯への助成（所得制限なし）。,2,,1,,1,,
