全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_英字,分別区分,備考
133035,133035GMLT002083,瑞穂町,全域,樽（たる） 50cm以上のもの,Barrels (taru) 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002081,瑞穂町,全域,樽（たる） 木,Taru (barrel) Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002082,瑞穂町,全域,樽（たる） プラスチック,Taru (barrel) Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002084,瑞穂町,全域,たわし 金属,Scrubbing brush Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002085,瑞穂町,全域,たわし 天然素材,Scrubbing brush Natural material,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002086,瑞穂町,全域,単行本,Softcover,雑誌,ひもで束ねる
133035,133035GMLT002089,瑞穂町,全域,たんす,Wardrobe,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001230,瑞穂町,全域,タープ,Tarp,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001234,瑞穂町,全域,台車 50cm以上のもの,Cart 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001233,瑞穂町,全域,台車 50cm未満のもの,Cart Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001238,瑞穂町,全域,台所マット 50cm以上のもの,Kitchen mats 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001237,瑞穂町,全域,台所マット 50cm未満のもの,Kitchen mats less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001248,瑞穂町,全域,大理石の製品,Marble Products,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT001252,瑞穂町,全域,ダイレクトメールの外袋 紙,Direct mail outer bag Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT001253,瑞穂町,全域,ダイレクトメールの外袋 ビニール（マークなし）,Outer bag for direct mail Vinyl (unmarked),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT001254,瑞穂町,全域,ダイレクトメールの外袋 ビニール（マーク入り）,Direct mail outer bag Vinyl (marked),容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT001255,瑞穂町,全域,ダウンジャケット・ベスト,Down jackets and vests,布,透明又は半透明の袋に入れる
133035,133035GMLT002060,瑞穂町,全域,脱臭剤の中身,Deodorizer Contents,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002061,瑞穂町,全域,脱臭剤の容器 プラスチック,Deodorizer Container Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT002058,瑞穂町,全域,脱衣かご 50cm以上のもの,Dressing basket 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002057,瑞穂町,全域,脱衣かご 木,Dressing basket Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002056,瑞穂町,全域,脱衣かご プラスチック,Dressing baskets Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002088,瑞穂町,全域,段差ブロック コンクリート,Step block concrete,処理できません,販売店又は専門業者へ相談してください
133035,133035GMLT002087,瑞穂町,全域,段差ブロック ゴム・プラスチック,Step block Rubber/plastic,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002091,瑞穂町,全域,ダンベル 50cm以上のもの,Dumbbells 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002090,瑞穂町,全域,ダンベル 50cm未満のもの,Dumbbells less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002092,瑞穂町,全域,ダンボール,Cardboard,ダンボール,ひもで束ねる
133035,133035GMLT002096,瑞穂町,全域,チェーン（自動車用） 50cm以上のもの,Chain (for automobiles) 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002093,瑞穂町,全域,チェーン（自動車用） 金属,Chain (Automotive) Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002094,瑞穂町,全域,チェーン（自動車用） ゴム,Chain (Automotive) Rubber,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002097,瑞穂町,全域,チェーンソー,Chainsaw,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002095,瑞穂町,全域,チェーン（自動車用） プラスチック,Chain (Automotive) Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002099,瑞穂町,全域,地球儀 50cm以上のもの,Globe 50 cm or larger,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002098,瑞穂町,全域,地球儀 50cm未満のもの,Globe Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002101,瑞穂町,全域,チャイルドシート 50cm以上のもの,Child seat 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002100,瑞穂町,全域,チャイルドシート 50cm未満のもの,Child seat less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002102,瑞穂町,全域,茶がら,Used tea leaves,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002103,瑞穂町,全域,茶がら入れ 金属,"Tea towel container, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002104,瑞穂町,全域,茶がら入れ プラスチック,Tea towel container plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002105,瑞穂町,全域,茶こし器 金属,"Tea strainer, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002106,瑞穂町,全域,茶こし器 プラスチック,Tea strainer plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002107,瑞穂町,全域,茶ダンス,Cupboard,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002109,瑞穂町,全域,茶筒 金属,"Tea caddy, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002108,瑞穂町,全域,茶筒 紙,Tea caddy Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002110,瑞穂町,全域,茶筒 プラスチック,Tea Caddy Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002111,瑞穂町,全域,茶箱,Box for tea utensils (tea ceremony),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002112,瑞穂町,全域,ちゃぶ台,Low dining table,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002114,瑞穂町,全域,茶碗 木,Teacup Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002113,瑞穂町,全域,茶碗 陶器・プラスチック,"Teacups Ceramic, Plastic",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002115,瑞穂町,全域,ちゃんちゃんこ,Padded sleeveless kimono jacket,布,透明又は半透明の袋に入れる
133035,133035GMLT002116,瑞穂町,全域,注射器・注射針,Syringes and needles,処理できません,医療機関・薬局に相談してください
133035,133035GMLT002118,瑞穂町,全域,チューナー（デジタル・CATV・BS・CS・車載用） 50cm以上のもの,"Tuner (digital, CATV, BS, CS, car-mounted) 50 cm or more",粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002117,瑞穂町,全域,チューナー（デジタル・CATV・BS・CS・車載用） 50cm未満のもの,"Tuner (digital, CATV, BS, CS, car-mounted) Less than 50 cm",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002119,瑞穂町,全域,彫刻刀,Chisel,金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT002122,瑞穂町,全域,提灯 50cm以上のもの,Chochin 50cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002120,瑞穂町,全域,提灯 木・軟質プラスチック,"Chochin Wood, soft plastic",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002121,瑞穂町,全域,提灯 硬質プラスチック,"Chochin, rigid plastic",燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002125,瑞穂町,全域,調味料の容器 ガラス,Seasoning Container Glass,ビン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT002126,瑞穂町,全域,調味料の容器 金属,Seasoning containers Metal,カン,中身をカラにし、きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT002123,瑞穂町,全域,調味料の容器 紙,Seasoning containers Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002124,瑞穂町,全域,調味料の容器 紙（コーティングされているもの）,Seasoning containers Paper (coated),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002129,瑞穂町,全域,調味料の容器のふた 金属,Seasoning container lid Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002130,瑞穂町,全域,調味料の容器のふた プラスチック,Condiment container lid Plastic,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT002127,瑞穂町,全域,調味料の容器 プラスチック,Seasoning containers Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT002128,瑞穂町,全域,調味料の容器 ペットボトル,Seasoning containers Plastic bottles,ペットボトル,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる
133035,133035GMLT002131,瑞穂町,全域,調理台,Kitchen table,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002132,瑞穂町,全域,チョーク,Choke,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002133,瑞穂町,全域,チラシ（新聞折り込み）,Flyers (newspaper inserts),新聞,ひもで束ねる
133035,133035GMLT002134,瑞穂町,全域,ちり紙,Tissue paper,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002135,瑞穂町,全域,ちりとり 金属,Dustpan,金属,バケツ・カゴなどに入れる
133035,133035GMLT002136,瑞穂町,全域,ちりとり プラスチック,Dustpan Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002138,瑞穂町,全域,衝立（ついたて） 50cm以上のもの,A partition 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002137,瑞穂町,全域,衝立（ついたて） 50cm未満のもの,A partition less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002142,瑞穂町,全域,杖（つえ） 50cm以上のもの,Cane 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002139,瑞穂町,全域,杖（つえ） 木,Cane Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002140,瑞穂町,全域,杖（つえ） 金属,Cane Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002141,瑞穂町,全域,杖（つえ） プラスチック,Cane Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002143,瑞穂町,全域,使い捨てカイロ,Disposable body warmer,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002144,瑞穂町,全域,使い捨てカイロの外装,Exterior of disposable body warmer,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT002145,瑞穂町,全域,使い捨てカメラ,Disposable camera,燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002146,瑞穂町,全域,使い捨てカメラの外装,Exterior of disposable camera,容器包装プラスチック,透明又は半透明の袋に入れる
133035,133035GMLT002147,瑞穂町,全域,使い捨てライター,Disposable lighter,有害ごみ,中身を使いきり、透明又は半透明の袋に入れる
133035,133035GMLT002148,瑞穂町,全域,机,Desk,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002151,瑞穂町,全域,机の本棚 50cm以上のもの,Desk bookshelf 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002149,瑞穂町,全域,机の本棚 木,Desk bookcase wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002150,瑞穂町,全域,机の本棚 金属,Desk bookshelf Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002156,瑞穂町,全域,漬物桶 50cm以上のもの,Pickle vat 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002153,瑞穂町,全域,漬物桶 木,Pickle vat wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002154,瑞穂町,全域,漬物桶 金属,"Pickle vat, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002155,瑞穂町,全域,漬物桶 プラスチック・複合素材,Pickle vats Plastic and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002152,瑞穂町,全域,漬物石 外装がプラスチックのもの,Pickling stone with plastic exterior,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002157,瑞穂町,全域,土,Soil,処理できません,専門業者へ相談してください
133035,133035GMLT002160,瑞穂町,全域,突っ張り棚・突っ張り棒 50cm以上のもの,Protrusive shelves and rods 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002158,瑞穂町,全域,突っ張り棚・突っ張り棒 金属,Protrusions / Shelves / Sticking Bars Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002159,瑞穂町,全域,突っ張り棚・突っ張り棒 プラスチック・複合素材,Protrusions and shelves Plastic and composite materials,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002161,瑞穂町,全域,筒ブラシ（グラス洗い） 金属,Tube brush (glass washing) Metal,金属,バケツ・カゴなどに入れる
133035,133035GMLT002162,瑞穂町,全域,筒ブラシ（グラス洗い） プラスチック,Tube brush (glass washing) Plastic,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002163,瑞穂町,全域,壷（つぼ）,Jar,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002164,瑞穂町,全域,つまようじ,Toothpick,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002165,瑞穂町,全域,積み木 木,Building Blocks Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002166,瑞穂町,全域,積み木 プラスチック,Building blocks Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002167,瑞穂町,全域,詰め替え用パック（洗剤など）,"Refill packs (detergent, etc.)",容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT002168,瑞穂町,全域,つめ切り,Nail clipper,金属,バケツ・カゴなどに入れる
133035,133035GMLT002169,瑞穂町,全域,釣り糸,Fishing line,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002171,瑞穂町,全域,釣り竿 50cm以上のもの,Fishing rod 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002170,瑞穂町,全域,釣り竿 50cm未満のもの,Fishing rods less than 50 cm,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002172,瑞穂町,全域,釣り針,Fish hook,金属,バケツ・カゴなどに入れる ※スチール缶の中に入れ、テープでふたをする
133035,133035GMLT002173,瑞穂町,全域,つるはし,Pickaxe,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002181,瑞穂町,全域,ティッシュペーパー,(a) tissue,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002182,瑞穂町,全域,ティッシュペーパーの箱,Tissue paper box,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002174,瑞穂町,全域,ティー（ゴルフ用） 木・軟質プラスチック,"Tee (for golf) Wood, soft plastic",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002175,瑞穂町,全域,ティー（ゴルフ用） 硬質プラスチック,Tee (for golf) Rigid plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002176,瑞穂町,全域,ティーシャツ,T-shirt,布,透明又は半透明の袋に入れる ※汚れているものは燃やせるごみへ
133035,133035GMLT002191,瑞穂町,全域,手紙,Letter,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002193,瑞穂町,全域,手さげ袋 革・ビニール,Handbag Leather/Vinyl,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002192,瑞穂町,全域,手さげ袋 紙,Handbag Paper,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002194,瑞穂町,全域,手さげ袋 布,Handbag Cloth,布,透明又は半透明の袋に入れる
133035,133035GMLT002200,瑞穂町,全域,手帳 金属の部分,Notebook Metal part,金属,バケツ・カゴなどに入れる
133035,133035GMLT002199,瑞穂町,全域,手帳 紙の部分,Notebook Paper part,雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT002201,瑞穂町,全域,手帳 その他,Notebook Other,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002208,瑞穂町,全域,鉄板 50cm以上のもの,Steel plate 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002207,瑞穂町,全域,鉄板 50cm未満のもの,Iron plate Less than 50 cm,金属,バケツ・カゴなどに入れる
133035,133035GMLT002202,瑞穂町,全域,鉄アレイ,Iron array,金属,バケツ・カゴなどに入れる
133035,133035GMLT002210,瑞穂町,全域,鉄の棒 50cm以上のもの,Iron bar 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002209,瑞穂町,全域,鉄の棒 50cm未満のもの,Iron bar less than 50 cm,金属,バケツ・カゴなどに入れる
133035,133035GMLT002206,瑞穂町,全域,鉄パイプ 50cm以上のもの,Iron pipe 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002205,瑞穂町,全域,鉄パイプ 50cm未満のもの,Iron pipe less than 50 cm,金属,バケツ・カゴなどに入れる
133035,133035GMLT002211,瑞穂町,全域,テニスボール,Tennis ball,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002213,瑞穂町,全域,テニスラケット 50cm以上のもの,Tennis racket 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002212,瑞穂町,全域,テニスラケット 50cm未満のもの,Tennis racket less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002214,瑞穂町,全域,手袋 革・ビニール・ゴム,"Gloves Leather, vinyl, rubber",燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002215,瑞穂町,全域,手袋 布,Gloves Cloth,布,透明又は半透明の袋に入れる
133035,133035GMLT002223,瑞穂町,全域,テレビ 50cm以上のもの ※上記の「処理できません」と記載のある種類のテレビは除く,"Televisions 50 cm or larger *Excluding the types of televisions marked ""cannot be processed"" above.",粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002225,瑞穂町,全域,テレビアンテナ 50cm以上のもの,TV antenna 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002224,瑞穂町,全域,テレビアンテナ 50cm未満のもの,TV antenna Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002217,瑞穂町,全域,テレビ 液晶・プラズマ式,Televisions LCD/Plasma type,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT002218,瑞穂町,全域,テレビ 携帯用液晶テレビ,Televisions Portable LCD televisions,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002226,瑞穂町,全域,テレビゲーム,Video game,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002219,瑞穂町,全域,テレビ 車載用液晶テレビ,Televisions Automotive LCD TVs,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002230,瑞穂町,全域,テレビ台 50cm以上のもの,TV stand 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002228,瑞穂町,全域,テレビ台 金属,"TV stand, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002227,瑞穂町,全域,テレビ台 木,TV stand Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002229,瑞穂町,全域,テレビ台 プラスチック,TV stands Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002220,瑞穂町,全域,テレビ 電池式液晶テレビ,Televisions Battery-powered LCD televisions,燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002216,瑞穂町,全域,テレビ ブラウン管式,Televisions Cathode-ray tube type,処理できません,家電リサイクル法により、町では処理できません ※ごみ・資源物収集カレンダーに出し方の記載があります
133035,133035GMLT002222,瑞穂町,全域,テレビ プロジェクションテレビ,Televisions Projection TVs,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002221,瑞穂町,全域,テレビ 浴室テレビ（備え付け）,Television Bathroom television (provided),燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002231,瑞穂町,全域,テレフォンカード,Telephone card,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002265,瑞穂町,全域,天体望遠鏡 50cm以上のもの,Astronomical telescope 50cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002264,瑞穂町,全域,天体望遠鏡 50cm未満のもの,Astronomical telescope Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002268,瑞穂町,全域,テント（キャンプ用）,Tents (for camping),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002285,瑞穂町,全域,天ぷら油,Tempura oil,燃やせるごみ,町指定収集袋（クリーム色） ※紙やボロ布にしみ込ませるか、凝固剤で固める
133035,133035GMLT002184,瑞穂町,全域,テーブル,Table,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002185,瑞穂町,全域,テーブルクロス 布,Tablecloth Fabric,布,透明又は半透明の袋に入れる
133035,133035GMLT002186,瑞穂町,全域,テーブルクロス ビニール（50cm未満のもの）,Tablecloth Vinyl (less than 50 cm),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002187,瑞穂町,全域,テーブルクロス ビニール（50cm以上のもの）,Tablecloth Vinyl (50 cm or longer),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002188,瑞穂町,全域,テーブルワゴン,Table wagon,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002183,瑞穂町,全域,テープ（カセット・ビデオ）,Tapes (cassette and video),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002190,瑞穂町,全域,テープレコーダー 50cm以上のもの,Tape recorder 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002189,瑞穂町,全域,テープレコーダー 50cm未満のもの,Tape recorder less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002178,瑞穂町,全域,DVD ケース,DVD Case,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002177,瑞穂町,全域,DVD 本体,DVD Main unit,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002196,瑞穂町,全域,デジタルオーディオプレーヤー,Digital audio player,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002195,瑞穂町,全域,デジタルカメラ,Digital camera,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002198,瑞穂町,全域,デスクマット 50cm以上のもの,Desk mat 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002197,瑞穂町,全域,デスクマット 布・フェルト,Desk mats - cloth and felt,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002203,瑞穂町,全域,デッキチェア,Deck chair,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002204,瑞穂町,全域,デッキブラシ,Deck brush,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002232,瑞穂町,全域,電気アンカ,Electric foot warmer,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002236,瑞穂町,全域,電気釜 50cm以上のもの,Electric kettle 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002235,瑞穂町,全域,電気釜 50cm未満のもの,Electric kettle Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002237,瑞穂町,全域,電気カミソリ,Electric razor,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002238,瑞穂町,全域,電気カミソリ清掃用カートリッジ,Electric razor cleaning cartridge,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT002234,瑞穂町,全域,電気カーペット 50cm以上のもの,Electric carpet 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002233,瑞穂町,全域,電気カーペット 50cm未満のもの,Electric carpet Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002240,瑞穂町,全域,電気こたつ,Electric kotatsu,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002242,瑞穂町,全域,電気コンロ 50cm以上のもの,Electric stove 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002241,瑞穂町,全域,電気コンロ 50cm未満のもの,Electric stove Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002239,瑞穂町,全域,電気コード・ケーブル,Electrical cords and cables,金属,バケツ・カゴなどに入れる
133035,133035GMLT002243,瑞穂町,全域,電気座布団,Electric cushion,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002245,瑞穂町,全域,電気スタンド 50cm以上のもの,Electric stand 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002244,瑞穂町,全域,電気スタンド 50cm未満のもの,Desk lamps Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002247,瑞穂町,全域,電気ストーブ 50cm以上のもの,Electric stove 50 cm or more,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002246,瑞穂町,全域,電気ストーブ 50cm未満のもの,Electric stove Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002248,瑞穂町,全域,電気ポット,Hot water dispenser,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002249,瑞穂町,全域,電気毛布,Electric blanket,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002250,瑞穂町,全域,電球・電球型蛍光灯,Light bulbs and light bulb fluorescent lamps,有害ごみ,透明又は半透明の袋に入れる
133035,133035GMLT002251,瑞穂町,全域,電子オルガン,Electric organ (music),粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002252,瑞穂町,全域,電子血圧計,Electronic sphygmomanometer (instrument used to measure blood pressure),燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002254,瑞穂町,全域,電子書籍端末,E-book device,燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002253,瑞穂町,全域,電子辞書・電子手帳,Electronic dictionaries and organizers,燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002255,瑞穂町,全域,電子体温計,Electronic thermometer,燃やせないごみ,町指定収集袋（水色） ※電池は必ず取り除き有害ごみへ
133035,133035GMLT002256,瑞穂町,全域,電子ピアノ,Digital piano,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002263,瑞穂町,全域,電飾,Decorative illumination,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002258,瑞穂町,全域,電子レンジ 50cm以上のもの,Microwave oven 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002257,瑞穂町,全域,電子レンジ 50cm未満のもの,Microwave oven Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002262,瑞穂町,全域,電子レンジ台 50cm以上のもの,Microwave oven stand 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002260,瑞穂町,全域,電子レンジ台 金属,"Microwave oven stand, metal",金属,バケツ・カゴなどに入れる
133035,133035GMLT002259,瑞穂町,全域,電子レンジ台 木,"Microwave stand, wood",燃やせるごみ,町指定収集袋（クリーム色）
