産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／常用雇用者数／総数（人）,総数／常用雇用者数／男（人）,総数／常用雇用者数／女（人）,常用雇用者規模／０人／事業所数（事業所）,常用雇用者規模／０人／常用雇用者数／総数（人）,常用雇用者規模／０人／常用雇用者数／男（人）,常用雇用者規模／０人／常用雇用者数／女（人）,常用雇用者規模／１～４人／事業所数（事業所）,常用雇用者規模／１～４人／常用雇用者数／総数（人）,常用雇用者規模／１～４人／常用雇用者数／男（人）,常用雇用者規模／１～４人／常用雇用者数／女（人）,常用雇用者規模／５～９人／事業所数（事業所）,常用雇用者規模／５～９人／常用雇用者数／総数（人）,常用雇用者規模／５～９人／常用雇用者数／男（人）,常用雇用者規模／５～９人／常用雇用者数／女（人）,常用雇用者規模／10～19人／事業所数（事業所）,常用雇用者規模／10～19人／常用雇用者数／総数（人）,常用雇用者規模／10～19人／常用雇用者数／男（人）,常用雇用者規模／10～19人／常用雇用者数／女（人）,常用雇用者規模／20～29人／事業所数（事業所）,常用雇用者規模／20～29人／常用雇用者数／総数（人）,常用雇用者規模／20～29人／常用雇用者数／男（人）,常用雇用者規模／20～29人／常用雇用者数／女（人）,常用雇用者規模／30～49人／事業所数（事業所）,常用雇用者規模／30～49人／常用雇用者数／総数（人）,常用雇用者規模／30～49人／常用雇用者数／男（人）,常用雇用者規模／30～49人／常用雇用者数／女（人）,常用雇用者規模／50～99人／事業所数（事業所）,常用雇用者規模／50～99人／常用雇用者数／総数（人）,常用雇用者規模／50～99人／常用雇用者数／男（人）,常用雇用者規模／50～99人／常用雇用者数／女（人）,常用雇用者規模／100～199人／事業所数（事業所）,常用雇用者規模／100～199人／常用雇用者数／総数（人）,常用雇用者規模／100～199人／常用雇用者数／男（人）,常用雇用者規模／100～199人／常用雇用者数／女（人）,常用雇用者規模／200～299人／事業所数（事業所）,常用雇用者規模／200～299人／常用雇用者数／総数（人）,常用雇用者規模／200～299人／常用雇用者数／男（人）,常用雇用者規模／200～299人／常用雇用者数／女（人）,常用雇用者規模／300～499人／事業所数（事業所）,常用雇用者規模／300～499人／常用雇用者数／総数（人）,常用雇用者規模／300～499人／常用雇用者数／男（人）,常用雇用者規模／300～499人／常用雇用者数／女（人）,常用雇用者規模／500人以上／事業所数（事業所）,常用雇用者規模／500人以上／常用雇用者数／総数（人）,常用雇用者規模／500人以上／常用雇用者数／男（人）,常用雇用者規模／500人以上／常用雇用者数／女（人）
3,L,74,743,機械設計業,840,19652,16775,2672,219,-,-,-,294,591,345,231,129,845,651,194,70,929,783,133,33,790,672,118,35,1293,1039,216,28,1941,1634,307,12,1777,1411,227,10,2413,2171,242,3,1023,939,84,7,8050,7130,920
3,L,74,744,商品・非破壊検査業,319,7853,5006,2767,24,-,-,-,73,165,95,69,69,455,292,150,65,846,630,216,30,724,482,242,23,863,519,278,22,1569,973,596,8,1019,852,167,1,286,54,232,3,1127,766,361,1,799,343,456
3,L,74,745,計量証明業,176,3005,1804,1200,18,-,-,-,57,124,88,35,34,234,156,78,30,411,300,111,9,215,156,59,17,635,437,198,7,449,360,89,3,432,201,231,-,-,-,-,-,-,-,-,1,505,106,399
3,L,74,746,写真業,1418,5878,2668,3183,493,-,-,-,594,1175,558,601,172,1112,418,683,107,1398,486,912,32,749,343,406,13,492,306,186,5,305,198,107,1,147,47,100,-,-,-,-,-,-,-,-,1,500,312,188
3,L,74,749,その他の技術サービス業,913,17380,14432,2932,187,-,-,-,332,727,484,235,144,930,701,221,117,1599,1320,279,38,901,736,165,33,1322,1059,263,28,1893,1540,353,22,3358,2822,536,5,1246,1033,213,2,716,598,118,5,4688,4139,549
1,M,00,000,宿泊業，飲食サービス業,89160,749119,354245,386658,19112,-,-,-,31584,67936,27938,39494,16008,107326,50625,55429,12332,168338,82389,84075,5317,126971,57928,67460,3451,126746,57897,68118,1057,68999,33756,34742,182,23592,11818,10547,49,11443,5959,5276,30,11751,6308,5127,38,36017,19627,16390
2,M,75,000,宿泊業,3082,61307,31978,28985,405,-,-,-,1063,2263,933,1312,517,3435,1397,2008,581,7938,3524,4319,223,5268,2442,2758,113,4268,1837,2371,92,6258,3055,3130,39,5321,3168,2153,18,4419,2518,1901,11,4448,2566,1882,20,17689,10538,7151
3,M,75,750,管理，補助的経済活動を行う事業所,55,1247,782,465,6,-,-,-,19,37,25,12,7,47,28,19,6,77,41,36,7,172,103,69,3,113,79,34,4,263,172,91,2,291,171,120,1,247,163,84,-,-,-,-,-,-,-,-
3,M,75,751,旅館，ホテル,1931,53905,28533,25088,251,-,-,-,411,929,370,555,321,2159,1057,1081,496,6811,3084,3669,189,4464,2024,2372,101,3804,1553,2191,82,5590,2687,2830,34,4652,2779,1873,17,4172,2355,1817,9,3635,2086,1549,20,17689,10538,7151
3,M,75,752,簡易宿所,218,1049,608,431,38,-,-,-,123,223,128,95,19,120,82,38,27,396,231,155,8,191,100,91,3,119,67,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,M,75,753,下宿業,23,54,12,42,12,-,-,-,7,15,4,11,3,19,4,15,-,-,-,-,1,20,4,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,M,75,759,その他の宿泊業,851,4925,2001,2874,98,-,-,-,503,1059,406,639,167,1090,226,855,51,638,161,450,16,370,202,168,6,232,138,94,5,345,170,175,3,378,218,160,-,-,-,-,2,813,480,333,-,-,-,-
2,M,76,000,飲食店,79601,612600,294224,312387,18435,-,-,-,28777,61385,25730,35212,13056,87068,44346,41642,10534,144541,73322,69595,4686,111919,50927,60126,3093,113522,51888,61124,851,55150,27612,27110,121,15482,7489,6955,23,5087,2674,2413,12,4774,2820,1954,13,13672,7416,6256
3,M,76,760,管理，補助的経済活動を行う事業所,534,9280,6044,3063,124,-,-,-,220,449,216,221,65,437,241,196,46,628,408,209,20,488,302,186,25,989,664,325,18,1251,858,393,8,1124,600,374,1,221,191,30,4,1312,934,378,3,2381,1630,751
3,M,76,761,食堂，レストラン（専門料理店を除く）,4369,57004,21930,34819,771,-,-,-,1380,2932,934,1982,593,3999,1306,2669,613,8475,3338,5072,369,8980,3439,5474,521,19313,7530,11753,94,5950,2319,3578,17,2322,852,1470,8,1718,470,1248,1,446,233,213,2,2869,1509,1360
3,M,76,762,専門料理店,28057,236104,120468,112702,4313,-,-,-,10294,22763,11291,11246,5671,38010,21477,16035,4573,62830,33416,28655,1834,43518,21312,21786,1027,37229,17362,19724,292,18714,8756,9858,38,5058,2521,1749,7,1518,954,564,3,1327,715,612,5,5137,2664,2473
3,M,76,763,そば・うどん店,4474,25120,10757,14143,698,-,-,-,2107,4618,1611,2996,906,5952,2613,3306,505,6762,3098,3619,175,4150,1731,2379,75,2679,1232,1417,5,334,190,83,2,245,92,153,-,-,-,-,1,380,190,190,-,-,-,-
3,M,76,764,すし店,3327,25651,12847,12622,784,-,-,-,1436,2858,1282,1562,404,2661,1583,1071,356,4900,2698,2181,151,3644,1793,1851,89,3460,1737,1683,89,6108,2933,3175,18,2020,821,1099,-,-,-,-,-,-,-,-,-,-,-,-
3,M,76,765,酒場，ビヤホール,19497,123679,72475,49940,5527,-,-,-,6656,14040,6373,7548,3099,20752,11963,8411,2585,35007,21001,13568,957,22794,13411,9227,528,19535,11992,7454,127,8158,5488,2586,11,1528,1050,478,6,1380,879,501,1,485,318,167,-,-,-,-
3,M,76,766,バー，キャバレー，ナイトクラブ,9879,31827,10693,20925,3915,-,-,-,3977,8253,2422,5813,1203,7775,2383,5339,524,6983,2681,4268,136,3209,1170,2015,96,3629,1323,2306,24,1531,490,961,4,447,224,223,-,-,-,-,-,-,-,-,-,-,-,-
3,M,76,767,喫茶店,6710,56002,17896,37508,1881,-,-,-,2085,4160,1074,3069,744,4938,1650,3222,847,12143,4065,7925,710,17189,4939,12116,401,13987,4517,9292,36,2246,916,1280,4,607,255,352,1,250,180,70,1,482,300,182,-,-,-,-
3,M,76,769,その他の飲食店,2754,47933,21114,26665,422,-,-,-,622,1312,527,775,371,2544,1130,1393,485,6813,2617,4098,334,7947,2830,5092,331,12701,5531,7170,166,10858,5662,5196,19,2131,1074,1057,-,-,-,-,1,342,130,212,3,3285,1613,1672
2,M,77,000,持ち帰り・配達飲食サービス業,6438,74501,27693,44925,271,-,-,-,1741,4282,1272,2967,2426,16758,4841,11755,1207,15738,5483,10100,398,9545,4428,4468,240,8777,4089,4527,114,7591,3089,4502,21,2688,1129,1370,8,1937,767,962,7,2529,922,1291,5,4656,1673,2983
3,M,77,770,管理，補助的経済活動を行う事業所,62,1899,909,670,8,-,-,-,12,24,12,8,10,69,41,28,17,224,119,105,1,25,11,14,7,256,111,145,4,244,141,103,-,-,-,-,1,292,195,97,2,765,279,170,-,-,-,-
3,M,77,771,持ち帰り飲食サービス業,1189,7974,2804,5139,159,-,-,-,257,565,175,382,608,4460,1536,2916,140,1758,589,1154,13,300,88,212,6,260,88,172,3,174,103,71,2,242,129,113,1,215,96,119,-,-,-,-,-,-,-,-
3,M,77,772,配達飲食サービス業,5187,64628,23980,39116,104,-,-,-,1472,3693,1085,2577,1808,12229,3264,8811,1050,13756,4775,8841,384,9220,4329,4242,227,8261,3890,4210,107,7173,2845,4328,19,2446,1000,1257,6,1430,476,746,5,1764,643,1121,5,4656,1673,2983
1,N,00,000,生活関連サービス業，娯楽業,46450,269113,116702,146724,14601,-,-,-,20119,41827,12922,28394,6001,38654,15130,22923,3101,41648,20119,21082,1144,27177,13890,13071,766,29100,14306,14405,465,31304,14039,16976,171,22952,11097,11318,36,8559,3779,4520,27,10067,4411,4871,19,17825,7009,9164
2,N,78,000,洗濯・理容・美容・浴場業,32225,99785,32317,66477,11972,-,-,-,14753,29277,7984,21009,3525,22409,7030,15084,1320,17259,6155,10956,314,7411,2547,4740,177,6589,2628,3921,118,8029,2935,5094,38,5284,2264,2920,3,689,232,457,2,684,175,509,3,2154,367,1787
3,N,78,780,管理，補助的経済活動を行う事業所,103,1036,323,710,28,-,-,-,35,70,29,38,17,111,36,75,11,156,40,116,6,148,73,75,4,169,85,84,1,70,55,15,-,-,-,-,-,-,-,-,1,312,5,307,-,-,-,-
3,N,78,781,洗濯業,6553,26769,9066,17662,2122,-,-,-,3242,7082,1247,5817,652,3967,943,3019,266,3639,1609,2012,122,2875,1224,1651,81,3040,1492,1548,51,3523,1470,2053,16,2271,911,1360,-,-,-,-,1,372,170,202,-,-,-,-
3,N,78,782,理容業,7081,8266,3914,4315,3323,-,-,-,3437,5561,2413,3147,239,1515,865,624,73,904,484,410,5,117,73,44,3,107,37,70,1,62,42,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,78,783,美容業,14276,39937,13747,25612,5441,-,-,-,6257,12339,3493,8686,1708,11055,4034,6845,669,8642,3351,5193,113,2687,905,1678,55,1983,647,1296,26,1709,607,1102,5,726,314,412,1,235,130,105,-,-,-,-,1,561,266,295
3,N,78,784,一般公衆浴場業,565,1787,617,1170,97,-,-,-,393,875,283,592,55,329,130,199,12,148,76,72,2,45,20,25,1,45,24,21,5,345,84,261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,78,785,その他の公衆浴場業,166,3976,2016,1858,21,-,-,-,39,98,45,51,44,283,177,106,17,225,120,105,6,141,62,79,9,355,173,182,18,1253,552,701,11,1389,785,504,1,232,102,130,-,-,-,-,-,-,-,-
3,N,78,789,その他の洗濯・理容・美容・浴場業,3481,18014,2634,15150,940,-,-,-,1350,3252,474,2678,810,5149,845,4216,272,3545,475,3048,60,1398,190,1188,24,890,170,720,16,1067,125,942,6,898,254,644,1,222,-,222,-,-,-,-,2,1593,101,1492
2,N,79,000,その他の生活関連サービス業,6969,65586,26516,35274,1491,-,-,-,3172,7556,2376,5068,1169,7556,3224,4147,553,7365,3499,3840,200,4806,2442,2344,192,7439,3250,3980,99,6728,2845,3773,51,6839,2691,3711,16,3841,1529,2052,15,5820,2343,2692,11,7636,2317,3667
3,N,79,790,管理，補助的経済活動を行う事業所,30,840,463,377,1,-,-,-,10,20,9,11,2,14,7,7,5,76,42,34,2,51,26,25,4,137,73,64,5,372,236,136,1,170,70,100,-,-,-,-,-,-,-,-,-,-,-,-
3,N,79,791,旅行業,1659,31372,12917,15034,169,-,-,-,630,1461,729,704,387,2518,976,1479,192,2594,1275,1319,84,1989,946,1043,90,3595,1609,1850,50,3454,1602,1792,30,3959,1546,1976,10,2325,1009,1056,9,3681,1583,1313,8,5796,1642,2502
3,N,79,793,衣服裁縫修理業,837,3040,594,2444,346,-,-,-,368,875,126,747,80,484,118,366,29,392,128,264,6,147,38,109,6,216,100,116,-,-,-,-,1,185,70,115,-,-,-,-,-,-,-,-,1,741,14,727
3,N,79,794,物品預り業,422,2278,2077,150,106,-,-,-,181,351,299,38,94,624,570,27,29,339,308,21,4,97,65,32,5,207,196,11,2,114,110,4,-,-,-,-,-,-,-,-,-,-,-,-,1,546,529,17
3,N,79,795,火葬・墓地管理業,113,890,491,394,11,-,-,-,51,106,44,62,27,190,106,79,11,145,91,54,5,128,105,23,7,268,124,144,1,53,21,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,79,796,冠婚葬祭業,1059,10705,5157,5379,166,-,-,-,466,1047,558,458,190,1254,691,548,113,1581,822,759,49,1222,762,460,43,1596,731,792,18,1215,488,677,9,1149,496,653,3,728,267,461,1,360,210,150,1,553,132,421
3,N,79,799,他に分類されない生活関連サービス業,2849,16461,4817,11496,692,-,-,-,1466,3696,611,3048,389,2472,756,1641,174,2238,833,1389,50,1172,500,652,37,1420,417,1003,23,1520,388,1132,10,1376,509,867,3,788,253,535,5,1779,550,1229,-,-,-,-
2,N,80,000,娯楽業,7245,103693,57855,44938,1138,-,-,-,2187,4976,2556,2305,1305,8679,4873,3685,1226,17003,10460,6270,630,14960,8901,5987,397,15072,8428,6504,248,16547,8259,8109,82,10829,6142,4687,17,4029,2018,2011,10,3563,1893,1670,5,8035,4325,3710
3,N,80,800,管理，補助的経済活動を行う事業所,121,2146,1443,618,26,-,-,-,40,83,48,35,19,130,77,46,19,252,144,90,2,46,39,7,4,175,135,40,4,252,142,50,5,628,415,213,1,231,168,63,1,349,275,74,-,-,-,-
3,N,80,801,映画館,79,3529,1640,1889,4,-,-,-,9,30,20,10,8,47,30,17,13,181,76,105,11,255,140,115,7,275,142,133,15,1057,479,578,11,1463,671,792,1,221,82,139,-,-,-,-,-,-,-,-
3,N,80,802,興行場（別掲を除く），興行団,1499,14585,7100,7319,283,-,-,-,669,1476,669,756,256,1675,803,818,156,2077,1160,881,56,1327,618,684,35,1291,670,621,30,2032,1041,991,10,1424,822,602,1,253,151,102,2,706,308,398,1,2324,858,1466
3,N,80,803,競輪・競馬等の競走場，競技団,59,1777,1368,409,3,-,-,-,18,54,41,13,18,116,98,18,8,123,112,11,3,80,57,23,2,74,64,10,2,125,97,28,3,421,350,71,1,237,128,109,-,-,-,-,1,547,421,126
3,N,80,804,スポーツ施設提供業,1465,26909,12801,13779,137,-,-,-,423,1102,450,606,337,2154,959,1148,180,2436,1292,1059,96,2287,1201,1086,137,5470,2583,2855,123,8327,3721,4487,25,3149,1594,1555,4,940,509,431,3,1044,492,552,-,-,-,-
3,N,80,805,公園，遊園地,163,4836,2327,2509,6,-,-,-,29,76,42,34,43,301,182,119,51,654,394,260,14,354,210,144,6,223,110,113,2,105,65,40,3,492,186,306,7,1613,739,874,1,442,111,331,1,576,288,288
3,N,80,806,遊戯場,1996,28709,18664,9858,380,-,-,-,450,936,600,332,284,1966,1355,603,457,6461,4384,2019,242,5726,3811,1868,123,4567,2885,1612,46,2892,1706,1186,10,1205,797,408,1,278,132,146,2,665,453,212,1,4013,2541,1472
3,N,80,809,その他の娯楽業,1863,21202,12512,8557,299,-,-,-,549,1219,686,519,340,2290,1369,916,342,4819,2898,1845,206,4885,2825,2060,83,2997,1839,1120,26,1757,1008,749,15,2047,1307,740,1,256,109,147,1,357,254,103,1,575,217,358
1,O,00,000,教育，学習支援業,18381,309237,156920,151116,5267,-,-,-,5422,11854,4459,7204,2704,17945,7186,10453,2239,30427,11987,18189,1002,23971,9650,14147,798,30092,13905,16080,574,39083,20394,18517,196,25762,14845,10917,52,12745,7741,5004,52,20465,10885,9580,75,96893,55868,41025
2,O,81,000,学校教育,2506,188318,99195,89109,35,-,-,-,217,540,276,264,273,1925,614,1311,604,8681,2209,6458,370,8930,2579,6351,343,13036,5293,7743,384,26441,13772,12669,137,17689,10106,7583,38,9351,5729,3622,39,15452,8368,7084,66,86273,50249,36024
3,O,81,810,管理，補助的経済活動を行う事業所,55,1003,470,519,6,-,-,-,22,43,26,17,9,63,38,25,8,117,42,61,2,56,18,38,3,120,79,41,3,204,67,137,1,119,53,66,1,281,147,134,-,-,-,-,-,-,-,-
3,O,81,811,幼稚園,815,15351,2067,13284,3,-,-,-,20,57,5,52,103,765,75,690,378,5452,675,4777,208,5007,715,4292,92,3351,491,2860,11,719,106,613,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,812,小学校,60,2561,1102,1459,1,-,-,-,-,-,-,-,2,14,7,7,3,42,25,17,8,192,90,102,26,1026,461,565,19,1147,491,656,1,140,28,112,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,813,中学校,157,6308,3295,3013,1,-,-,-,2,5,1,4,8,58,24,34,24,374,162,212,19,470,228,242,50,1959,1056,903,53,3442,1824,1618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,814,高等学校，中等教育学校,311,20080,11792,8288,7,-,-,-,18,46,32,14,15,101,52,49,19,264,149,115,13,317,186,131,30,1197,580,617,145,10393,6211,4182,63,7528,4511,3017,1,234,71,163,-,-,-,-,-,-,-,-
3,O,81,815,特別支援学校,7,383,171,212,-,-,-,-,-,-,-,-,-,-,-,-,1,17,4,13,-,-,-,-,2,85,41,44,3,173,76,97,1,108,50,58,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,816,高等教育機関,461,120752,69584,51168,10,-,-,-,81,179,101,78,46,308,179,129,37,509,293,216,28,679,386,293,31,1212,660,552,51,3705,1851,1854,48,6867,3839,3028,26,6304,3934,2370,37,14716,8092,6624,66,86273,50249,36024
3,O,81,817,専修学校，各種学校,612,20283,10209,10074,7,-,-,-,71,205,110,95,87,593,229,364,133,1889,849,1040,89,2128,952,1176,102,3830,1874,1956,91,6099,3037,3062,21,2680,1491,1189,10,2532,1577,955,1,327,90,237,-,-,-,-
3,O,81,818,学校教育支援機関,10,928,444,484,-,-,-,-,-,-,-,-,2,18,6,12,1,17,10,7,-,-,-,-,2,64,29,35,2,173,79,94,2,247,134,113,-,-,-,-,1,409,186,223,-,-,-,-
3,O,81,819,幼保連携型認定こども園,14,659,56,603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,81,4,77,5,192,22,170,6,386,30,356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,O,82,000,その他の教育，学習支援業,15875,120919,57725,62007,5232,-,-,-,5205,11314,4183,6940,2431,16020,6572,9142,1635,21746,9778,11731,632,15041,7071,7796,455,17056,8612,8337,190,12642,6622,5848,59,8073,4739,3334,14,3394,2012,1382,13,5013,2517,2496,9,10620,5619,5001
3,O,82,820,管理，補助的経済活動を行う事業所,71,2813,1100,1712,13,-,-,-,25,51,24,26,10,74,41,33,3,42,17,25,4,90,36,54,4,154,94,60,4,272,113,159,4,675,297,378,1,216,100,116,3,1239,378,861,-,-,-,-
3,O,82,821,社会教育,459,8483,2612,5804,30,-,-,-,107,270,82,186,90,607,183,404,106,1468,379,1065,55,1347,353,973,41,1532,486,1046,21,1406,582,824,7,939,410,529,1,271,102,169,-,-,-,-,1,643,35,608
3,O,82,822,職業・教育支援施設,559,9455,5974,3406,115,-,-,-,210,442,192,224,80,544,302,224,60,801,452,318,25,592,278,314,27,989,574,415,20,1379,899,480,14,1945,1288,657,5,1108,821,287,2,867,704,163,1,788,464,324
3,O,82,823,学習塾,4940,45597,25207,20065,839,-,-,-,1741,3867,1964,1849,1055,7013,3427,3514,718,9743,5569,4083,332,7948,4451,3457,188,6910,4216,2626,52,3377,1982,1395,10,1362,729,633,2,499,237,262,1,314,25,289,2,4564,2607,1957
3,O,82,824,教養・技能教授業,8926,40606,15399,24733,4110,-,-,-,2802,5958,1620,4250,1048,6789,2147,4488,599,7692,2520,5111,158,3691,1308,2298,137,5190,2192,2998,50,3251,1328,1837,9,1167,576,591,4,1029,630,399,5,1919,1009,910,4,3920,2069,1851
3,O,82,829,他に分類されない教育，学習支援業,909,13929,7412,6272,123,-,-,-,314,714,295,399,146,979,464,473,148,1990,834,1126,58,1373,645,700,58,2281,1050,1192,43,2957,1718,1153,15,1985,1439,546,1,271,122,149,2,674,401,273,1,705,444,261
1,P,00,000,医療，福祉,48461,726056,201039,519171,6476,-,-,-,15936,39383,9467,29378,11915,79056,18162,59508,7110,95158,22925,70584,2498,59733,14741,44415,2301,87057,20079,66617,1290,88028,26477,61041,577,77386,25320,51773,141,34467,11304,23163,108,40976,13697,27279,109,124812,38867,85413
2,P,83,000,医療業,32631,393486,110811,280863,6085,-,-,-,13383,32515,7296,24911,8131,52879,10782,41624,3046,39357,9159,30032,682,16219,4774,11405,448,16883,5449,11399,322,22590,7171,15346,220,31256,9428,21643,118,28929,9260,19669,95,36150,11981,24169,101,116708,35511,80665
3,P,83,830,管理，補助的経済活動を行う事業所,68,1600,843,757,19,-,-,-,25,46,21,25,11,73,32,41,6,80,42,38,2,43,27,16,-,-,-,-,3,187,101,86,-,-,-,-,-,-,-,-,-,-,-,-,2,1171,620,551
3,P,83,831,病院,656,209060,63277,144973,5,-,-,-,14,34,17,17,8,56,16,40,8,103,57,46,11,260,71,169,22,946,335,611,126,9611,2686,6852,173,25136,7319,17632,104,25622,8118,17504,89,33961,10952,23009,96,113331,33706,79093
3,P,83,832,一般診療所,10699,98022,21284,76323,511,-,-,-,3532,9820,1264,8445,3949,26144,3628,22292,1764,22967,4736,18151,431,10310,2938,7372,318,11992,3615,8377,148,9654,3004,6650,37,4668,1375,3293,7,1652,420,1232,1,315,104,211,1,500,200,300
3,P,83,833,歯科診療所,9911,46306,8672,37532,922,-,-,-,5327,13362,1921,11380,2707,17353,2983,14329,761,9597,1981,7616,131,3115,824,2291,47,1690,525,1165,14,967,304,663,2,222,134,88,-,-,-,-,-,-,-,-,-,-,-,-
3,P,83,834,助産・看護業,620,6242,1167,4797,24,-,-,-,119,331,31,255,234,1613,213,1260,177,2395,447,1910,44,1025,248,757,19,665,161,469,3,213,67,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,P,83,835,療術業,9906,20395,9590,10618,4390,-,-,-,4091,8362,3726,4554,1128,7020,3579,3373,248,3091,1387,1667,30,675,287,388,11,409,278,131,6,444,164,280,1,177,72,105,1,217,97,120,-,-,-,-,-,-,-,-
3,P,83,836,医療に附帯するサービス業,771,11861,5978,5863,214,-,-,-,275,560,316,235,94,620,331,289,82,1124,509,604,33,791,379,412,31,1181,535,646,22,1514,845,669,7,1053,528,525,6,1438,625,813,5,1874,925,949,2,1706,985,721
2,P,84,000,保健衛生,382,8993,2907,6053,68,-,-,-,106,241,81,155,62,408,134,269,45,641,210,408,21,506,177,329,31,1156,383,773,24,1690,524,1166,20,2749,991,1758,2,575,173,402,3,1027,234,793,-,-,-,-
3,P,84,840,管理，補助的経済活動を行う事業所,3,67,39,28,-,-,-,-,-,-,-,-,-,-,-,-,1,12,6,6,1,25,12,13,1,30,21,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,P,84,842,健康相談施設,338,8108,2429,5646,66,-,-,-,94,213,61,147,50,329,100,224,40,567,183,361,16,381,99,282,28,1058,315,743,21,1474,422,1052,18,2484,842,1642,2,575,173,402,3,1027,234,793,-,-,-,-
3,P,84,849,その他の保健衛生,41,818,439,379,2,-,-,-,12,28,20,8,12,79,34,45,4,62,21,41,4,100,66,34,2,68,47,21,3,216,102,114,2,265,149,116,-,-,-,-,-,-,-,-,-,-,-,-
2,P,85,000,社会保険・社会福祉・介護事業,15406,323116,87183,231932,322,-,-,-,2441,6609,2083,4301,3707,25652,7214,17530,4004,54966,13492,40014,1791,42917,9763,32617,1821,68977,14239,54412,944,63748,18782,44529,337,43381,14901,28372,21,4963,1871,3092,10,3799,1482,2317,8,8104,3356,4748
3,P,85,850,管理，補助的経済活動を行う事業所,89,1472,600,872,13,-,-,-,32,71,35,36,15,101,49,52,17,224,66,158,4,86,30,56,3,122,55,67,1,58,31,27,2,351,140,211,2,459,194,265,-,-,-,-,-,-,-,-
3,P,85,851,社会保険事業団体,527,14010,7392,6617,24,-,-,-,182,510,200,309,116,763,342,421,82,1111,489,622,27,652,337,315,29,1096,551,545,36,2508,1287,1221,22,2827,1601,1226,2,495,254,241,5,2057,1114,943,2,1991,1217,774
3,P,85,853,児童福祉事業,4233,80427,9484,69298,64,-,-,-,448,1238,237,919,938,6644,1089,5261,1263,17525,2245,14557,583,14092,1491,12274,763,29044,2790,26035,160,9535,1288,8247,12,1702,310,1392,1,245,30,215,1,402,4,398,-,-,-,-
3,P,85,854,老人福祉・介護事業,8062,187236,53931,131656,157,-,-,-,1156,3144,935,2106,1894,13109,3824,8836,2120,29179,8097,20618,966,23051,5866,16995,857,32349,8304,23969,624,43607,13039,30201,268,34109,11035,23074,11,2539,910,1629,4,1340,364,976,5,4809,1557,3252
3,P,85,855,障害者福祉事業,2074,31388,12413,18293,41,-,-,-,486,1347,539,769,656,4439,1604,2684,449,5942,2178,3501,180,4316,1760,2536,139,5274,2104,3139,98,6370,2521,3779,22,2910,1349,1453,3,790,358,432,-,-,-,-,-,-,-,-
3,P,85,859,その他の社会保険・社会福祉・介護事業,421,8583,3363,5196,23,-,-,-,137,299,137,162,88,596,306,276,73,985,417,558,31,720,279,441,30,1092,435,657,25,1670,616,1054,11,1482,466,1016,2,435,125,310,-,-,-,-,1,1304,582,722
1,Q,00,000,複合サービス事業,1720,32288,19798,12490,6,-,-,-,210,622,291,331,1049,7054,2788,4266,342,4151,1930,2221,30,719,424,295,20,735,408,327,12,736,447,289,7,1039,734,305,16,4118,2868,1250,23,8524,6292,2232,5,4590,3616,974
2,Q,86,000,郵便局,1463,28509,17707,10802,1,-,-,-,118,429,209,220,1027,6902,2714,4188,259,3077,1344,1733,7,156,100,56,1,30,11,19,2,111,79,32,5,827,597,230,15,3863,2745,1118,23,8524,6292,2232,5,4590,3616,974
3,Q,86,860,管理，補助的経済活動を行う事業所,9,3034,2373,661,-,-,-,-,1,2,2,-,1,9,7,2,2,26,20,6,2,49,37,12,-,-,-,-,1,54,43,11,-,-,-,-,-,-,-,-,-,-,-,-,2,2894,2264,630
3,Q,86,861,郵便局,1440,25420,15321,10099,-,-,-,-,108,407,201,206,1024,6878,2705,4173,255,3031,1319,1712,5,107,63,44,1,30,11,19,1,57,36,21,5,827,597,230,15,3863,2745,1118,23,8524,6292,2232,3,1696,1352,344
3,Q,86,862,郵便局受託業,14,55,13,42,1,-,-,-,9,20,6,14,2,15,2,13,2,20,5,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Q,87,000,協同組合（他に分類されないもの）,257,3779,2091,1688,5,-,-,-,92,193,82,111,22,152,74,78,83,1074,586,488,23,563,324,239,19,705,397,308,10,625,368,257,2,212,137,75,1,255,123,132,-,-,-,-,-,-,-,-
3,Q,87,870,管理，補助的経済活動を行う事業所,2,3,3,-,-,-,-,-,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
