事業所名,受付番号,事業機関,事業名称,事業地住所,緯度,経度,座標系,対象事業,実施状況,詳細
太平洋ｾﾒﾝﾄ株式会社,109,－,太平洋セメント西多摩鉱業所採石拡張事業（旧称　日本セメント西多摩工場採石拡張事業）　※H20.9.9廃止届,西多摩郡日の出町大字大久野字細尾及び字岩井,35.764088,139.216736,JGD2011,土石(土石の採取),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/109dtl.html
太平洋ｾﾒﾝﾄ株式会社,187,－,（仮称）東京ｻｰﾋﾞｽステーション建設事業,江東区若洲３２番地（１５号地内）,35.622387,139.836166,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/187dtl.html
代表　三井不動産株式会社　,234,民間,（仮称）赤坂九丁目地区開発事業,港区赤坂九丁目,35.666782,139.730545,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/234dtl.html
代表　三菱地所（株）,197,－,(仮称)丸の内1丁目１街区(東京駅丸の内北口）開発計画　※h14.7対象外,千代田区丸の内一丁目1番１号ほか,35.684559,139.761765,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/197dtl.html
代表者　（株）読売新聞社,196,民間,北区堀船印刷関連事業施設建設事業,北区堀船四丁目２番地,35.754375,139.752274,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/196dtl.html
代表者　住友不動産㈱,223,民間,港南四丁目住宅団地建設事業,港区港南四丁目14番1他,35.627403,139.749313,JGD2011,住宅団地の新設、高層建築物の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/223dtl.html
代表者：極東開発興業株式会社,193,民間,ザ･モール瑞穂新築事業,西多摩郡瑞穂町大字高根５８５－１,35.782906,139.362488,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/193dtl.html
大日本印刷株式会社,221,民間,大日本印刷株式会社神谷工場建設事業,北区神谷３－７－１,35.772228,139.734268,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/221dtl.html
大日本印刷株式会社,267,－,大日本印刷市谷工場整備事業,新宿区市谷加賀町一丁目１番１号,35.695946,139.730942,JGD2011,工場(工場の設置)、高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/267dtl.html
大洋日産自動車販売㈱,96,－,芝浦三丁目共同開発事業,港区芝浦３丁目１９、２１、２２番,35.641563,139.749329,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/96dtl.html
大和ハウス工業株式会社,319,民間,（仮称）八王子高尾商業施設計画,八王子市東浅川町550-1外,35.643543,139.289185,JGD2011,駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/319dtl.html
第一生命保険相互会社,34,民間,八王子第一生命住宅「城山手」建設事業(旧称 八王子第一生命住宅(仮称)建設事業),八王子市長房町,35.654617,139.295319,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/34dtl.html
第一石産運輸株式会社,269,民間,第一石産運輸株式会社　檜原工場拡張事業　（旧事業名：日本砕石工業株式会社　檜原工場拡張事業）,西多摩郡桧原村本宿,35.725796,139.141983,JGD2011,土石(土石の採取),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/269dtl.html
中日本高速道路株式会社横浜支社,37,国,首都圏中央連絡道路(一般国道２０号～埼玉県境間)建設事業,八王子市南浅川町～青梅市今井５丁目,35.618759,139.249252,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/37dtl.html
中野四丁目西地区市街地再開発準備組合,363,－,（仮称）中野四丁目西地区市街地再開発事業,中野区中野四丁目6番、7番,35.709145,139.663895,JGD2011,高層建築物の新築,調査計画書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/363dtl.html
町田市,309,－,町田市資源循環型施設整備事業,町田市下小山田町3160番地,35.587688,139.412216,JGD2011,廃棄物処理施設の設置又は変更,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/309dtl.html
帝都高速度交通営団,22,公団,都市高速鉄道第７号線駒込・岩淵町間建設事業,文京区本駒込６丁目１５番地先～北区岩淵町３８番地先,35.733639,139.747803,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/22dtl.html
帝都高速度交通営団,49,－,都市高速鉄道第７号線溜池・駒込間建設事業,港区赤坂２丁目～文京区本駒込６丁目まで,35.671043,139.740234,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/49dtl.html
帝都高速度交通営団,64,－,都市高速鉄道第７号線目黒・溜池間建設事業、都市高速鉄道第６号線清正公前・三田間建設事業,７号線:品川区上大崎４丁目～港区赤坂２丁目、６号線:港区白金２丁目～港区芝５丁目,35.630981,139.715363,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/64dtl.html
帝都高速度交通営団,123,－,都市高速鉄道第１１号線水天宮前～押上間建設事業,中央区日本橋箱崎町～墨田区押上１丁目,35.679924,139.786011,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/123dtl.html
田村石材工業株式会社,71,民間,五日市町戸倉の採石事業,西多摩郡あきる野市戸倉字刈寄谷、字盆堀谷、字盆掘谷千ヶ沢、字盆堀谷日影清水,35.761349,139.336609,JGD2011,土石(土石の採取),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/71dtl.html
都市基盤整備公団,190,公団,三鷹台団地建替事業　※h14.7対象外,三鷹市牟礼二丁目他,35.685463,139.582443,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/190dtl.html
都市基盤整備公団,222,公団,(仮称）西新井駅西口団地建設事業 ※h16.3廃止届,足立区西新井栄町一丁目995番17外,35.774025,139.788788,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/222dtl.html
都市基盤整備公団,226,公団,晴海三丁目西地区再開発事業　※H18.7対象外,中央区晴海三丁目,35.655037,139.778976,JGD2011,住宅団地の新設、高層建築物の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/226dtl.html
都市基盤整備公団,230,－,"東久留米団地建替事業　※ｈ14,7対象外",東久留米市上の原一丁目、二丁目,35.770782,139.542374,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/230dtl.html
都市基盤整備公団　東京支社,190,公団,三鷹台団地建替事業　※h14.7対象外,三鷹市牟礼二丁目他,35.685463,139.582443,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/190dtl.html
都市基盤整備公団土地有効利用事業本日,226,公団,晴海三丁目西地区再開発事業　※H18.7対象外,中央区晴海三丁目,35.655037,139.778976,JGD2011,住宅団地の新設、高層建築物の新設、駐車場（自動車駐車場の設置）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/226dtl.html
都市基盤整備公団東京支社,230,－,"東久留米団地建替事業　※ｈ14,7対象外",東久留米市上の原一丁目、二丁目,35.770782,139.542374,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/230dtl.html
東急株式会社,300,－,渋谷駅街区開発事業,東京都渋谷区渋谷二丁目、道玄坂一丁目・二丁目,35.659611,139.705826,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/300dtl.html
東急株式会社,329,－,（仮称）南町田計画,町田市鶴間三丁目,35.509140,139.470779,JGD2011,駐車場（自動車駐車場の変更）,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/329dtl.html
東急不動産(株),47,その他,聖路加国際病院建設事業,中央区明石町８－１０番地,35.666767,139.778534,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/47dtl.html
東京オペラシティ建設運営協議会,84,－,初台淀橋街区建設事業,新宿区西新宿３丁目及び渋谷区本町１丁目地内,35.684528,139.689178,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/84dtl.html
東京ガス株式会社,57,－,東京ガス新宿超高層ビル(仮称)建設事業,新宿区西新宿３丁目７番２０号,35.686039,139.689926,JGD2011,高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/57dtl.html
東京ガス株式会社,310,民間,（仮称）ＴＧＭＭ芝浦プロジェクト,港区芝浦３－１１ほか,35.642895,139.749969,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/310dtl.html
東京たま広域資源循環組合,137,共同,日の出町二ツ塚廃棄物広域処分場建設事業(旧称 第二廃棄物広域処分場建設事業),西多摩郡日の出町大字大久野字玉の内地内,35.764088,139.216736,JGD2011,廃棄物処理施設の設置又は変更,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/137dtl.html
東京ボード工業株式会社,4,民間,東京ボード工業株式会社工場建設事業（旧称：東京プライウッド株式会社工場建設事業）,江東区新木場二丁目１２番（１４号埋立地内）,35.635239,139.824493,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/4dtl.html
東京モノレール株式会社,28,民間,東京モノレール羽田線延伸事業,大田区羽田空港１丁目～羽田空港２丁目,35.554813,139.756943,JGD2011,鉄道等(モノレールの新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/28dtl.html
東京駅前八重洲一丁目東地区市街地再開発準備組合,327,－,東京駅前八重洲一丁目東地区第一種市街地再開発事業,中央区八重洲一丁目6番の一部、７番の一部、８番の一部及び９番,35.681522,139.770126,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/327dtl.html
東京急行電鉄㈱,233,民間,東京急行電鉄東横線（渋谷駅～代官山駅間）地下化事業,渋谷区渋谷二丁目～渋谷区代官山町,35.659611,139.705826,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/233dtl.html
東京建物㈱,205,民間,（仮称）太平四丁目錦糸町開発計画　※h14.10対象外,墨田区太平四丁目地内,35.701443,139.816910,JGD2011,高層建築物の新築、駐車場（自動車駐車場の設置）、高層建築物の新築,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/205dtl.html
東京港埠頭株式会社,307,－,東京港　国際海上コンテナターミナル整備事業（Ｙ３）,中央防波堤外側埋立地,35.681076,139.818878,JGD2011,ふ頭の新設,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/307dtl.html
東京地下鉄株式会社,300,－,渋谷駅街区開発事業,東京都渋谷区渋谷二丁目、道玄坂一丁目・二丁目,35.659611,139.705826,JGD2011,高層建築物の新築,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/300dtl.html
東京地下鉄株式会社,368,－,（仮称）新宿駅西口地区開発事業,新宿区西新宿一丁目1番の一部,35.688580,139.699432,JGD2011,高層建築物の新築,評価書案に係る見解書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/368dtl.html
東京電力株式会社,27,民間,黒部幹線建替工事,青梅市成木～青梅市今井,35.830315,139.263565,JGD2011,発電所等(送電線路の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/27dtl.html
東京電力株式会社,142,－,品川火力発電所更新事業,品川区東品川５丁目６番２２号,35.621231,139.756607,JGD2011,発電所等(発電所の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/142dtl.html
東京電力株式会社多摩支店,27,民間,黒部幹線建替工事,青梅市成木～青梅市今井,35.830315,139.263565,JGD2011,発電所等(送電線路の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/27dtl.html
東京都,1,都,東京都市計画白鬚西地区第二種市街地再開発事業　NO．20へ変更,荒川区南千住三丁目、四丁目及び八丁目の一部,35.731232,139.807022,JGD2011,市街地再開発事業,評価書,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/1dtl.html
東京都,6,都,羽田沖埋立事業の拡張,大田区羽田空港２丁目先,35.551201,139.764709,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/6dtl.html
東京都,9,共同,小田急小田原線喜多見・和泉多摩川間高架化複々線化事業,世田谷区喜多見９丁目～狛江市東和泉４丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/9dtl.html
東京都,11,都,新島空港整備事業,新島本村字川原,34.377769,139.253525,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/11dtl.html
東京都,16,都,東京都中央卸売市場大田市場建設事業　（旧称：東京都中央卸売市場大井市場（仮称）建設事業）,大田区大井埠頭その１の一部,35.582951,139.759109,JGD2011,卸売市場(卸売市場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/16dtl.html
東京都,20,都,東京都市計画白鬚西地区第二種市街地再開発事業（変更）,荒川区南千住３、４丁目、８丁目各一部,35.731232,139.807022,JGD2011,市街地再開発事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/20dtl.html
東京都,23,公団,首都高速11号線・東京港連絡橋(臨港道路)建設事業(旧称 都市高速道路12号線・東京港連絡橋(臨港道路)建設事業),11号線(江東区有明２丁目～港区海岸２丁目)、連絡橋(港区台場～海岸３丁目),35.636322,139.789978,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/23dtl.html
東京都,24,共同,大川端・リバーシティ２１開発事業,中央区佃２丁目１番地ほか,35.669704,139.785416,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/24dtl.html
東京都,25,都,都営清瀬竹丘団地建替事業,清瀬市竹丘１丁目１２５６番地１ほか,35.767178,139.510773,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/25dtl.html
東京都,30,都,府中四谷橋関連道路建設事業(旧称 第２関戸橋(仮称)関連道路建設事業),多摩市和田地内～府中市四谷４丁目先,35.635723,139.433426,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/30dtl.html
東京都,35,都,都営町田木曽・森野地区建替事業,町田市木曽町２号８２番地ほか,35.561333,139.429779,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/35dtl.html
東京都,39,都,東京都新都庁舎建設事業,新宿区西新宿２丁目５、８、９番,35.689766,139.692978,JGD2011,高層建築物の新築、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/39dtl.html
東京都,40,都,相原・小山土地区画整理事業,町田市小山町、相原町、上小山田町、鑓水,35.595654,139.377045,JGD2011,土地区画整理事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/40dtl.html
東京都,41,都,神津島空港整備事業,神津島村大字大沼、大字焼山、大字金長、大字葱,34.189140,139.127762,JGD2011,飛行場(飛行場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/41dtl.html
東京都,42,都,東京へリポート拡張事業,江東区新木場４丁目,35.640846,139.838898,JGD2011,飛行場(飛行場の変更),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/42dtl.html
東京都,45,都,若洲海浜公園ゴルフ場建設事業,江東区若洲及び１５号埋立地,35.622387,139.836166,JGD2011,特定工作物(第二種特定工作物の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/45dtl.html
東京都,46,共同,多摩都市ﾓﾉﾚｰﾙ及び都市計画道路立川３・２・３１、３・２・３２号線建設事業(旧称省略),ﾓﾉﾚｰﾙ:多摩市落合１丁目～東大和市上北台１丁目　道路:立川市内,35.624878,139.427094,JGD2011,鉄道等(モノレールの新設)、道路（道路の新設）,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/46dtl.html
東京都,48,都,調布都市計画道路３・２・６号線（多摩川原橋～旧甲州街道）建設事業（旧称　調布都市計画道路３・４・６号線建設事業）,調布市多摩川２丁目地先～調布市小島町１丁目,35.646465,139.525497,JGD2011,道路(道路の改築),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/48dtl.html
東京都,51,－,都市高速鉄道第１２号線新宿・練馬間建設事業,渋谷区代々木２丁目～練馬区豊玉北５丁目（新宿、東中野、豊玉通過）,35.685535,139.698746,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/51dtl.html
東京都,53,－,都市高速鉄道東京臨海新交通臨海線及び都市計画道路補助２９８号線、臨港道路建設事業,臨海線:港区海岸１丁目～江東区有明２丁目、298号線:港区台場～江東区青海２丁目、臨港道路:青海１丁目～有明３丁目,35.655380,139.761673,JGD2011,鉄道等(軌道の新設)、道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/53dtl.html
東京都,55,－,第二多摩川原橋（仮称）有料道路建設事業(旧称：稲城大橋有料道路建設事業）,稲城市大字東長沼～府中市押立町３丁目,35.634766,139.504257,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/55dtl.html
東京都,59,－,都市高速鉄道東京臨海新交通臨海線(新橋～竹芝ふ頭間)及び都市計画道路補助３１３号線建設事業,臨海線:港区新橋２丁目～港区海岸１丁目　３１３号線:港区東新橋１丁目～港区海岸１丁目,35.666859,139.757095,JGD2011,鉄道等(軌道の新設)、道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/59dtl.html
東京都,60,－,臨海副都心青海地区埋立事業,江東区青海１丁目地先,35.625057,139.778732,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/60dtl.html
東京都,64,－,都市高速鉄道第７号線目黒・溜池間建設事業、都市高速鉄道第６号線清正公前・三田間建設事業,７号線:品川区上大崎４丁目～港区赤坂２丁目、６号線:港区白金２丁目～港区芝５丁目,35.630981,139.715363,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/64dtl.html
東京都,65,－,秋多都市計画道路３・４・６号線建設事業,あきる野市草花地内～西多摩郡日の出町平井地内,35.741169,139.305420,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/65dtl.html
東京都,66,－,東日本旅客鉄道東北線赤羽駅付近高架化事業,北区東十条３丁目～北区赤羽３丁目,35.765060,139.728699,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/66dtl.html
東京都,67,－,東京都東尾久浄化センター建設事業,荒川区東尾久７丁目,35.751602,139.774704,JGD2011,下水道等(公共下水道の終末処理場の設置),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/67dtl.html
東京都,69,－,都市高速鉄道第１２号線環状部建設事業,新宿区西新宿２丁目～渋谷区代々木２丁目,35.689449,139.691772,JGD2011,鉄道等(鉄道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/69dtl.html
東京都,73,－,東京都市計画道路環状第８号線(練馬区北町～板橋区若木間)建設事業,練馬区北町４丁目～板橋区若木３丁目,35.763252,139.659851,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/73dtl.html
東京都,74,－,中防ばら物ふ頭建設事業,江東区青海２丁目地先(中央防波堤内側埋立地),35.594021,139.812210,JGD2011,ふ頭の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/74dtl.html
東京都,75,－,東日本旅客鉄道南武線(稲田堤・府中本町間)連続立体交差事業,稲城市下中島～稲城市大丸２７号,35.638081,139.504272,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/75dtl.html
東京都,76,－,是政橋及び関連道路建設事業,稲城市大丸８号地内～府中市是政５丁目地内,35.644585,139.477737,JGD2011,道路(道路の改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/76dtl.html
東京都,78,－,東京都建設残土再利用センター(中央センター)建設事業,江東区青海２丁目地先中央防波堤内側埋立地,35.594021,139.812210,JGD2011,工場(工場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/78dtl.html
東京都,79,－,臨海副都心台場地区住宅建設事業,港区台場,35.630730,139.777939,JGD2011,住宅団地の新設、高層建築物の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/79dtl.html
東京都,80,－,東京都中央卸売市場築地市場再整備事業＊(平成14年4月16日廃止届）,中央区築地５丁目２番１号ほか,35.663300,139.768188,JGD2011,卸売市場（卸売市場の設置）、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/80dtl.html
東京都,81,－,臨海部幹線道路建設事業及び臨海部開発土地区画整理事業,江東区有明、豊洲、東雲　港区東新橋、芝公園、芝、芝大門、浜松町、芝浦、海岸　中央区晴海、勝どき、豊海、築地、各一部,35.629417,139.796677,JGD2011,道路(道路の新設又は改築)、土地区画整理事業,事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/81dtl.html
東京都,90,－,多摩都市計画道路３・４・１９号線建設事業,多摩市東寺方地先～多摩市乞田地内,35.648155,139.442917,JGD2011,道路(道路の新設又は改築),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/90dtl.html
東京都,92,－,小田急小田原線(喜多見～梅ヶ丘駅付近間)複々線・連続立体交差事業,世田谷区喜多見９丁目～世田谷区代田３丁目,35.640457,139.587265,JGD2011,鉄道等(鉄道の改良),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/92dtl.html
東京都,95,－,東京都市計画道路放射第１６号線(江東区南砂～江戸川区清新町間)建設事業,江東区南砂３丁目～江戸川区清新町１丁目,35.670910,139.830017,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/95dtl.html
東京都,97,－,東京港臨海道路建設事業,大田区城南島２丁目～江東区若洲,35.580658,139.776810,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/97dtl.html
東京都,99,－,東京都住宅供給公社八王子市川町団地(仮称)建設事業※H26.7.30廃止届,八王子市川町７０５番ほか,35.668331,139.270569,JGD2011,建築物用の土地造成,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/99dtl.html
東京都,103,－,八王子川口土地区画整理事業　★廃止届15.9.18,八王子市西寺方町、川口町、上川町、美山町の各一部,35.680161,139.272888,JGD2011,土地区画整理事業,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/103dtl.html
東京都,115,－,豊洲・晴海地区の水際線埋立事業,江東区豊洲５、６丁目地先　中央区晴海２、４、５丁目地先,35.651100,139.796478,JGD2011,埋立て等(埋立て),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/115dtl.html
東京都,116,－,東日本旅客鉄道中央本線(三鷹～立川間)連続立体交差化及び複々線化事業,三鷹市下連雀３丁目～立川市錦町１丁目,35.699108,139.562515,JGD2011,鉄道等(鉄道の改良),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/116dtl.html
東京都,119,－,都営立川大山団地建替事業,立川市上砂町１丁目,35.719746,139.391739,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/119dtl.html
東京都,120,都,都営久米川団地建替事業,東村山市本町１丁目２４番ほか,35.755962,139.468658,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/120dtl.html
東京都,124,－,新海面処分場建設事業,中央防波堤外側廃棄物処理場南側水域,35.670570,139.771988,JGD2011,埋立て等(埋立て),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/124dtl.html
東京都,128,－,東京都市計画道路環状第８号線(練馬区南田中～高松間)建設事業,練馬区南田中２丁目～高松１丁目,35.733852,139.617126,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/128dtl.html
東京都,130,－,都営高木団地建替事業　※H21.5変更届により対象外,東大和市向原３丁目１０番ほか,35.739822,139.435532,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/130dtl.html
東京都,131,－,都営昭島拝島団地建替事業　※h14.7対象外,昭島市拝島町３丁目地内,35.712273,139.335861,JGD2011,住宅団地の新設,手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/131dtl.html
東京都,133,－,白鬚西地区第二種市街地再開発事業８、９街区住宅建設事業　※h14.7対象外,荒川区南千住８丁目,35.736832,139.809692,JGD2011,住宅団地の新設、駐車場(自動車駐車場の設置),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/133dtl.html
東京都,138,－,都市高速鉄道日暮里・舎人線建設事業,荒川区西日暮里２丁目(日暮里駅)～足立区舎人３丁目(見沼代親水公園駅),35.730396,139.771027,JGD2011,鉄道等(軌道の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/138dtl.html
東京都,145,－,南千住北部地区住宅街区（Ｅ街区）建設事業及び都市計画道路補助線街路第３２１号線建設事業,住宅:荒川区南千住４丁目　道路:南千住３丁目～８丁目,35.734295,139.802734,JGD2011,住宅団地の新設、高層建築物の新設、道路(道路の新設又は改築),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/145dtl.html
東京都,147,－,（仮称）新滝山街道（八王子市丹木町一丁目～あきる野市牛沼）建設事業,八王子市丹木町１丁目～あきる野市牛沼,35.692314,139.330780,JGD2011,道路(道路の新設),事後調査,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/147dtl.html
東京都,148,－,府中都市計画道路３・３・８号府中所沢線(府中市北山町～武蔵台間)建設事業,府中市北山町２丁目～武蔵野台３丁目,35.687397,139.456573,JGD2011,道路(道路の新設),手続完了,https://www.kankyo.metro.tokyo.lg.jp/assessment/information/projects_list/148dtl.html
