№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
３９４,2014/7/30,2014/8/5,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,カブ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３９５,2014/7/30,2014/8/5,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,ナス,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３９６,2014/7/30,2014/8/5,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,キャベツ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３９７,2014/7/30,2014/8/5,生産・出荷者Ｆａｒｍｅｒ,山形県Ｙａｍａｇａｔａ,メロン,ウリ科果実Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３９８,2014/7/30,2014/8/5,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,トビウオ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
３９９,2014/7/30,2014/8/5,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,青森県Ａｏｍｏｒｉ,マダラ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４００,2014/7/30,2014/8/5,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,岩手県Ｉｗａｔｅ,セグロイワシ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４０１,2014/7/30,2014/8/5,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,アカカレイ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４０２,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,バター,バターＢｕｔｔｅｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４０３,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０４,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０５,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,岡山県Ｏｋａｙａｍａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０６,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,発酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０７,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,イワシ醤油煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０８,2014/8/7,2014/8/7,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,サンマ味付,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４０９,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,宮城県Ｍｉｙａｇｉ,メカブ,その他の食品Ｏｔｈｅｒｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４１０,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,イカ塩辛,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４１１,2014/8/7,2014/8/7,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,サバ水煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４１２,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,大阪府Ｏｓａｋａ,アンズジャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：デンマークＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｄｅｎｍａｒｋ
４１３,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,大阪府Ｏｓａｋａ,ブルーベリージャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,２８,２８,原産国：デンマークＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｄｅｎｍａｒｋ
４１４,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,大阪府Ｏｓａｋａ,ブラックチェリージャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：デンマークＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｄｅｎｍａｒｋ
４１５,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,大阪府Ｏｓａｋａ,イチゴジャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：デンマークＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｄｅｎｍａｒｋ
４１６,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブルーベリージャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
４１７,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブラックカラント（黒スグリ）ジャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
４１８,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,イチゴジャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
４１９,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ラズベリージャム,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
４２０,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,兵庫県Ｈｙｏｇｏ,ラタトゥイユ,加熱済みそうざいＲｅａｄｙｔｏｅａｔｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
４２１,2014/8/6,2014/8/12,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,フライドオニオン,その他の野菜加工品Ｏｔｈｅｒｖｅｇｅｔａｂｌｅｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：オランダＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｎｅｔｈｅｒｌａｎｄｓ
４２２,2014/8/6,2014/8/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,べったら漬,その他のつけ物Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
４２３,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,リンゴジュース（ストレート）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４２４,2014/8/6,2014/8/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,富山県Ｔｏｙａｍａ,フキ水煮,その他の野菜加工品Ｏｔｈｅｒｖｅｇｅｔａｂｌｅｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４２５,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,リンゴジュース（ストレート）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４２６,2014/8/6,2014/8/12,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,キュウリ塩漬,その他のつけ物Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４２７,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．１）ＮＤ,
４２８,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,千葉県Ｃｈｉｂａ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．２）ＮＤ,
４２９,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．１）ＮＤ,
４３０,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
４３１,2014/8/6,2014/8/12,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ボトルドウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
４３２,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,米みそ,みそＦｅｒｍｅｎｔｅｄｂｅａｎ（ｍｉｓｏ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
４３３,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,米みそ,みそＦｅｒｍｅｎｔｅｄｂｅａｎ（ｍｉｓｏ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４３４,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,リンゴジャム,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜８）ＮＤ,検出せず（＜７）ＮＤ,検出せず（＜２５）ＮＤ,
４３５,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,ゆでうどん,ゆでめん類Ｂｏｉｌｅｄｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜８）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４３６,2014/8/14,2014/8/15,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,こんにゃく,その他の野菜加工品Ｏｔｈｅｒｖｅｇｅｔａｂｌｅｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４３７,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,絹ごし豆腐,豆腐Ｓｏｙｂｅａｎｃｕｒｄ（ｔｏｆｕ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４３８,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,キュウリしょうゆ漬（刻み）,しょうゆ漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
４３９,2014/8/14,2014/8/15,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ハクサイ塩漬,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４４０,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,アツミカブ酢漬,酢漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４４１,2014/8/14,2014/8/15,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,ハクサイ塩漬（刻み）,塩漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４４２,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,サバ味噌煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４３,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,宮城県Ｍｉｙａｇｉ,ブリ味噌煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４４,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,静岡県Ｓｈｉｚｕｏｋａ,サンマ味付け,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４５,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,サケの骨水煮,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４６,2014/8/13,2014/8/18,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,サケフレーク,その他の魚介類加工品Ｏｔｈｅｒｆｉｓｈｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４７,2014/8/13,2014/8/18,販売者Ｓｅｌｌｅｒ,長野県Ｎａｇａｎｏ,フルーツスプレッド（ブルーベリー）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
４４８,2014/8/13,2014/8/18,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,白モモ・シラップづけ（ヘビー）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４４９,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,宮崎県Ｍｉｙａｚａｋｉ,たくあん漬,たくあん漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４５０,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,たくあん漬,たくあん漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
４５１,2014/8/13,2014/8/18,販売者Ｓｅｌｌｅｒ,愛知県Ａｉｃｈｉ,たくあん漬,たくあん漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
４５２,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．４）ＮＤ,
４５３,2014/8/13,2014/8/18,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．３）ＮＤ,検出せず（＜０．８）ＮＤ,
