№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
376,2013/7/22,2013/7/25,輸入者　　　Importer,大阪府Osaka,ランチョンミート,加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,原産国：スペインCountry of origin：Spain
377,2013/7/22,2013/7/25,輸入者　　　Importer,東京都Tokyo,レバーパテ,加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
378,2013/7/22,2013/7/25,輸入者　　　Importer,大阪府Osaka,冷凍ポークソーセージ(ウインナー),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
379,2013/7/22,2013/7/25,輸入者　　　Importer,大阪府Osaka,冷凍ポークソーセージ(ウインナー),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
380,2013/7/22,2013/7/25,輸入者　　　Importer,大阪府Osaka,冷凍ポークソーセージ(ウインナー),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,原産国：ドイツCountry of origin：Germany
381,2013/7/25,2013/7/30,製造者Manufacturer,長野県Nagano,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
382,2013/7/25,2013/7/30,製造者Manufacturer,兵庫県Hyogo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
383,2013/7/25,2013/7/30,製造者Manufacturer,東京都Tokyo,バター,バターButter,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
384,2013/7/25,2013/7/30,製造者Manufacturer,北海道Hokkaidou,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
385,2013/7/25,2013/7/30,製造者Manufacturer,東京都Tokyo,バター,バターButter,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
386,2013/7/25,2013/7/30,製造者Manufacturer,新潟県Niigata,玉子とうふ,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
387,2013/7/25,2013/7/30,製造者Manufacturer,福井県Fukui,玉子どうふ,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
388,2013/7/25,2013/7/30,製造者Manufacturer,東京都Tokyo,だし巻き玉子,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
389,2013/7/25,2013/7/30,製造者Manufacturer,千葉県Chiba,チルドミートボール(チキン),加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
390,2013/7/25,2013/7/30,製造者Manufacturer,岩手県Iwate,そうざい,その他の動物性食品Other food of animal origin,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
391,2013/7/29,2013/8/2,販売者　　　　Seller,北海道Hokkaidou,米飯類（リゾット）（乳児用食品）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<4) 　ND,検出せず(<7) 　ND,―
392,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,野菜煮物（乳児用食品）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<4) 　ND,検出せず(<8)　 ND,―
393,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,そうざい（乳児用食品）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
394,2013/7/29,2013/8/2,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<0.8) ND,検出せず(<1.4) ND,―
395,2013/7/29,2013/8/2,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.3) ND,検出せず(<0.6) ND,検出せず(<0.9) ND,―
396,2013/7/29,2013/8/2,製造者Manufacturer,群馬県Gunma,牛乳,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.9) ND,検出せず(<0.5) ND,検出せず(<1.4) ND,―
397,2013/7/29,2013/8/2,採取地　　Sampling point,宮城県Miyagi,チダイ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
398,2013/7/29,2013/8/2,採取地　　Sampling point,千葉県Chiba,マイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
399,2013/7/29,2013/8/2,採取地　　Sampling point,三陸Sanriku,ゴマサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
400,2013/7/29,2013/8/2,採取地　　Sampling point,八戸Hachinohe,マダラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
401,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,清涼飲料水,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
402,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.4) ND,検出せず(<1.0) ND,―
403,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.4) ND,検出せず(<0.5) ND,検出せず(<0.9) ND,―
404,2013/7/29,2013/8/2,製造者Manufacturer,大阪府Osaka,シチュールウ,その他の調味料Other seasoning,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
405,2013/7/29,2013/8/2,販売者　　　　Seller,愛知県Aichi,米酢,酢Vinegar,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
406,2013/7/29,2013/8/2,販売者　　　　Seller,愛知県Aichi,清涼飲料水（希釈用）,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
407,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,さけフレーク味付け,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
408,2013/7/29,2013/8/2,製造者Manufacturer,静岡県Shizuoka,さば水煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
409,2013/7/29,2013/8/2,販売者　　　　Seller,東京都Tokyo,さばみそ煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
410,2013/7/29,2013/8/2,製造者Manufacturer,岩手県Iwate,冷凍食品　大福,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
411,2013/8/5,2013/8/8,採取地　　Sampling point,三陸南部沖   　Sanrikunanbuoki,カツオ,その他の生食用鮮魚介類Fresh fish and shellfish for raw consumption,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
412,2013/8/5,2013/8/8,採取地　　Sampling point,三陸南部沖   　Sanrikunanbuoki,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
413,2013/8/5,2013/8/8,採取地　　Sampling point,宮城県Miyagi,湯通しめかぶ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
414,2013/8/5,2013/8/8,採取地　　Sampling point,岩手県Iwate,コンブ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
415,2013/8/5,2013/8/8,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.5) ND,検出せず(<1.2) ND,―
416,2013/8/5,2013/8/8,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.9) ND,検出せず(<1.6) ND,―
417,2013/8/5,2013/8/8,製造者Manufacturer,岩手県Iwate,無脂肪牛乳,無脂肪牛乳Skimmed milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.6) ND,検出せず(<1.1) ND,―
418,2013/8/5,2013/8/8,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.9) ND,検出せず(<0.9) ND,検出せず(<1.8) ND,―
419,2013/8/5,2013/8/8,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.5) ND,検出せず(<1.0) ND,―
420,2013/8/5,2013/8/8,製造者Manufacturer,東京都Tokyo,野菜・果実ミックスジュース(乳児用食品),その他の食品Other food,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<3) 　ND,検出せず(<7) 　ND,―
421,2013/8/5,2013/8/8,販売者　　　　Seller,千葉県Chiba,りんごジュース(ストレート),その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
422,2013/8/5,2013/8/8,販売者　　　　Seller,千葉県Chiba,とん汁用水煮,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
423,2013/8/5,2013/8/8,販売者　　　　Seller,神奈川県Kanagawa,きゅうり塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
424,2013/8/5,2013/8/8,製造者Manufacturer,栃木県Tochigi,なす塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
425,2013/8/5,2013/8/8,販売者　　　　Seller,神奈川県Kanagawa,白うり塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
426,2013/8/5,2013/8/8,製造者Manufacturer,茨城県Ibaraki,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
427,2013/8/5,2013/8/8,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
428,2013/8/5,2013/8/8,製造者Manufacturer,茨城県Ibaraki,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
429,2013/8/5,2013/8/8,製造者Manufacturer,岩手県Iwate,バター,バターButter,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
430,2013/8/5,2013/8/8,製造者Manufacturer,山梨県Yamanashi,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
431,2013/8/8,2013/8/9,製造者Manufacturer,群馬県Gunma,こんにゃく,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
432,2013/8/8,2013/8/9,製造者Manufacturer,千葉県Chiba,もめんとうふ,豆腐Soybean curd (tofu),一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
433,2013/8/8,2013/8/9,製造者Manufacturer,千葉県Chiba,そば,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
434,2013/8/8,2013/8/9,製造者Manufacturer,新潟県Niigata,舞茸炊き込みごはんの素,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
435,2013/8/8,2013/8/9,製造者Manufacturer,長野県Nagano,干しそば,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
436,2013/8/8,2013/8/9,加工者　Processor,東京都Tokyo,鶏肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
437,2013/8/8,2013/8/9,加工者　Processor,東京都Tokyo,豚肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
438,2013/8/8,2013/8/9,加工者　Processor,東京都Tokyo,豚肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
439,2013/8/8,2013/8/9,選別包装者　Grading packager,山梨県Yamanashi,国産鶏卵フリーサイズ6個入り,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
440,2013/8/8,2013/8/9,選別包装者　Grading packager,群馬県Gunma,国産鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
441,2013/8/12,2013/8/16,製造者Manufacturer,東京都Tokyo,清涼飲料水,その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.8) ND,検出せず(<1.4) ND,―
442,2013/8/12,2013/8/16,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.5) ND,検出せず(<1.3) ND,―
443,2013/8/12,2013/8/16,販売者　　　　Seller,静岡県Shizuoka,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.6) ND,検出せず(<1.2) ND,―
444,2013/8/12,2013/8/16,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
445,2013/8/12,2013/8/16,生産・出荷者Farmer,新潟県Niigata,マイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<7) 　ND,検出せず(<25) ND,―
446,2013/8/12,2013/8/16,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
447,2013/8/12,2013/8/16,製造者Manufacturer,福井県Fukui,玉子どうふ,卵加工品Egg product,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
448,2013/8/12,2013/8/16,製造者Manufacturer,栃木県Tochigi,ポークソーセージ(ウインナー),加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
449,2013/8/12,2013/8/16,販売者　　　　Seller,大阪府Osaka,ウインナーソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
