№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
414,2015/8/13,2015/8/14,製造者Manufacturer,長野県Nagano,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<7)ND,検出せず(<7)ND,検出せず(<25)ND,―
415,2015/8/13,2015/8/14,製造者Manufacturer,東京都Tokyo,べったら漬,こうじ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
416,2015/8/13,2015/8/14,製造者Manufacturer,群馬県Gunma,木綿豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
417,2015/8/13,2015/8/14,製造者Manufacturer,福島県Fukushima,コンニャク麺,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
418,2015/8/13,2015/8/14,製造者Manufacturer,福島県Fukushima,米味噌,みそFermented bean (miso),一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
419,2015/8/13,2015/8/14,販売者Seller,千葉県Chiba,玄米飲料（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
420,2015/8/13,2015/8/14,製造者Manufacturer,大阪府Osaka,大豆飲料（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
421,2015/8/12,2015/8/20,販売者Seller,東京都Tokyo,ぬか漬,その他のつけ物Pickled vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
422,2015/8/12,2015/8/20,販売者Seller,神奈川県Kanagawa,塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
423,2015/8/12,2015/8/20,製造者Manufacturer,東京都Tokyo,塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
424,2015/8/12,2015/8/20,販売者Seller,東京都Tokyo,白モモ・シラップづけ（ヘビー）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
425,2015/8/12,2015/8/20,販売者Seller,東京都Tokyo,ミカン・シラップづけ（ライト）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
426,2015/8/12,2015/8/20,製造者Manufacturer,東京都Tokyo,刻みコンブ（生食用）,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
427,2015/8/12,2015/8/20,製造者Manufacturer,千葉県Chiba,佃煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
428,2015/8/12,2015/8/20,販売者Seller,東京都Tokyo,銀鮭中骨水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
429,2015/8/12,2015/8/20,製造者Manufacturer,静岡県Shizuoka,サバ味付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
430,2015/8/12,2015/8/20,販売者Seller,東京都Tokyo,サンマ味付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
431,2015/8/12,2015/8/20,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.5)ND,検出せず(<1.0)ND,検出せず(<1.5)ND,―
432,2015/8/12,2015/8/20,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
433,2015/8/12,2015/8/20,製造者Manufacturer,北海道Hokkaido,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
434,2015/8/12,2015/8/20,製造者Manufacturer,北海道Hokkaido,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<1.0)ND,検出せず(<0.7)ND,検出せず(<1.7)ND,―
435,2015/8/12,2015/8/20,製造者Manufacturer,愛知県Aichi,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5)ND,―
436,2015/8/12,2015/8/20,製造者Manufacturer,神奈川県Kanagawa,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
437,2015/8/12,2015/8/20,製造者Manufacturer,山形県Yamagata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
438,2015/8/12,2015/8/20,製造者Manufacturer,新潟県Niigata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
439,2015/8/12,2015/8/20,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
440,2015/8/12,2015/8/20,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
441,2015/8/20,2015/8/21,生産・出荷者Farmer,山形県Yamagata,スイカ,ウリ科果実Cucurbitaceous fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
442,2015/8/20,2015/8/21,生産・出荷者Farmer,山形県Yamagata,メロン,ウリ科果実Cucurbitaceous fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
443,2015/8/20,2015/8/21,生産・出荷者Farmer,北海道Hokkaido,ブロッコリー,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
444,2015/8/20,2015/8/21,生産・出荷者Farmer,青森県Aomori,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
445,2015/8/20,2015/8/21,生産・出荷者Farmer,宮城県Miyagi,カボチャ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
446,2015/8/20,2015/8/21,販売者Seller,東京都Tokyo,カラフトマス水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
447,2015/8/20,2015/8/21,販売者Seller,東京都Tokyo,サバ水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
448,2015/8/20,2015/8/21,製造者Manufacturer,東京都Tokyo,ノリ佃煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<7)ND,検出せず(<25)ND,―
449,2015/8/20,2015/8/21,製造者Manufacturer,東京都Tokyo,フィッシュソーセージ,魚肉ハム・ソーセージFish sausages and fish ham,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
450,2015/8/20,2015/8/21,製造者Manufacturer,宮城県Miyagi,かまぼこ,魚肉ねり製品Fish-paste products,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
451,2015/8/19,2015/8/26,販売者Seller,群馬県Gunma,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
452,2015/8/19,2015/8/26,製造者Manufacturer,群馬県Gunma,刺身コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
453,2015/8/19,2015/8/26,製造者Manufacturer,新潟県Niigata,米飯類（粥）,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
454,2015/8/19,2015/8/26,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
455,2015/8/19,2015/8/26,製造者Manufacturer,新潟県Niigata,包装米飯（白飯）,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
456,2015/8/19,2015/8/26,販売者Seller,千葉県Chiba,しめサバ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<11)ND,検出せず(<25)ND,―
457,2015/8/19,2015/8/26,販売者Seller,千葉県Chiba,サバみりん干し,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
458,2015/8/19,2015/8/26,製造者Manufacturer,青森県Aomori,タラ西京漬（惣菜半製品）,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
459,2015/8/19,2015/8/26,製造者Manufacturer,宮城県Miyagi,メカブ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
460,2015/8/19,2015/8/26,製造者Manufacturer,青森県Aomori,サバ味噌煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
461,2015/8/19,2015/8/26,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
462,2015/8/19,2015/8/26,製造者Manufacturer,神奈川県Kanagawa,低脂肪牛乳,低脂肪牛乳Low fat milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
463,2015/8/19,2015/8/26,製造者Manufacturer,栃木県Tochigi,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<1.0)ND,検出せず(<1.6)ND,―
464,2015/8/19,2015/8/26,製造者Manufacturer,埼玉県Saitama,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
465,2015/8/19,2015/8/26,製造者Manufacturer,北海道Hokkaido,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
466,2015/8/19,2015/8/26,採取地Sampling point,北海道Hokkaido,スルメイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
467,2015/8/19,2015/8/26,採取地Sampling point,北海道Hokkaido,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
468,2015/8/19,2015/8/26,採取地Sampling point,北海道Hokkaido,マイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
469,2015/8/19,2015/8/26,採取地Sampling point,岩手県Iwate,イナダ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
470,2015/8/19,2015/8/26,採取地Sampling point,青森県Aomori,ヤマトジシミ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
471,2015/8/27,2015/8/28,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
472,2015/8/27,2015/8/28,製造者Manufacturer,石川県Ishikawa,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
473,2015/8/27,2015/8/28,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
474,2015/8/27,2015/8/28,製造者Manufacturer,栃木県Tochigi,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
475,2015/8/27,2015/8/28,製造者Manufacturer,北海道Hokkaido,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
476,2015/8/27,2015/8/28,販売者Seller,千葉県Chiba,サバ塩焼,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
477,2015/8/27,2015/8/28,製造者Manufacturer,千葉県Chiba,イワシ味付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
478,2015/8/27,2015/8/28,販売者Seller,青森県Aomori,イカ味付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
479,2015/8/27,2015/8/28,製造者Manufacturer,宮城県Miyagi,サンマ塩焼,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
480,2015/8/27,2015/8/28,製造者Manufacturer,岩手県Iwate,塩蔵ワカメ,その他の食品Other food,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
481,2015/8/26,2015/8/28,輸入者Importer,東京都Tokyo,オリーブ,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
482,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
483,2015/8/26,2015/8/28,輸入者Importer,東京都Tokyo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
484,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：フランスCountry of origin：France
485,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,ソフトサラミソーセージ,その他の動物性食品Other food of animal origin,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
486,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,ソフトサラミソーセージ,非加熱食肉製品Unheated meat products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：スペインCountry of origin：Spain
487,2015/8/26,2015/8/28,輸入者Importer,東京都Tokyo,ランチョンミート,加熱食肉製品（包装後加熱）heated meat products (sterilized after being packed in package),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
488,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,イチゴジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
489,2015/8/26,2015/8/28,輸入者Importer,神奈川県Kanagawa,オレンジマーマレード,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
490,2015/8/26,2015/8/28,輸入者Importer,兵庫県Hyogo,パスタソース,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：イタリアCountry of origin：Italy
491,2015/8/26,2015/8/28,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.4)ND,検出せず(<1)ND,―
492,2015/8/26,2015/8/28,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
493,2015/8/26,2015/8/28,製造者Manufacturer,神奈川県Kanagawa,成分調整牛乳,成分調整牛乳Composition modified milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
494,2015/8/26,2015/8/28,製造者Manufacturer,茨城県Ibaraki,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
495,2015/8/26,2015/8/28,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.6)ND,検出せず(<1.5)ND,―
496,2015/8/26,2015/8/28,採取地Sampling point,北海道Hokkaido,マイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
497,2015/8/26,2015/8/28,採取地Sampling point,静岡県Shizuoka,ゴマサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
498,2015/8/26,2015/8/28,採取地Sampling point,北海道Hokkaido,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
499,2015/8/26,2015/8/28,採取地Sampling point,北海道Hokkaido,サケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
500,2015/8/26,2015/8/28,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
501,2015/9/3,2015/9/4,製造者Manufacturer,栃木県Tochigi,絹豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
502,2015/9/3,2015/9/4,製造者Manufacturer,新潟県Niigata,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<9)ND,検出せず(<25)ND,―
503,2015/9/3,2015/9/4,製造者Manufacturer,岩手県Iwate,ゆでうどん,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
504,2015/9/3,2015/9/4,製造者Manufacturer,岩手県Iwate,生そば,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
505,2015/9/3,2015/9/4,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
506,2015/9/3,2015/9/4,製造者Manufacturer,新潟県Niigata,ミカンジュース,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
