"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ｈｏｄｏｓ　ｅｘｐｅｒｉｍｅｎｔ","107-0061","東京都港区北青山三丁目9番9号","FNビル2A、3階","2023/8/3","5港み生環き第78号"
"ＯＲＯ－ｈａｓｔａ－（オロ　ハスタ）","107-0061","東京都港区北青山三丁目9番10号","北青山ビル 2階","2012/2/8","23港み生環き第140号"
"ａｎｔｈｅＭ（アンセム）","107-0061","東京都港区北青山三丁目9番10号","北青山ビル 2階","2017/10/4","29港み生環き第110号"
"ａｎｔｈｅＭ（アンセム）","107-0061","東京都港区北青山三丁目9番10号","北青山ビル 3階","2017/11/16","29港み生環き第147号"
"ＵＲ　ＤＥＬＴＡ　（ユーアール　デルタ）","107-0061","東京都港区北青山三丁目9番12号","SAYJUNEビル 1階","2010/8/24","22港み生環き第88号"
"ＵＲ　（ユーアール）","107-0061","東京都港区北青山三丁目9番12号","SAYJUNEビル 2階","2000/3/24","11港み生環き第183号"
"ｄｙｄｉ　表参道","107-0061","東京都港区北青山三丁目9番12号","セイジュンビル 2階","2021/5/20","3港み生環き第44号"
"ｋｅｌｌｙ．ｌｕｌｕ","107-0061","東京都港区北青山三丁目9番12号","セイジュンビル1階","2022/12/6","4港み生環き第154号"
"青山セントグレース大聖堂","107-0061","東京都港区北青山三丁目9番12号",,"2023/3/14","4港み生環き第240号"
"Ｃｉｅｌ　ｌａ　ｍｅｒ","107-0061","東京都港区北青山三丁目9番12号","セイジュンビル1階","2023/12/1","5港み生環き第174号"
"ゼンコー青山店","107-0061","東京都港区北青山三丁目9番17号","青山プレミアム 1階","2001/2/28","12港み生環き第146号"
"Ｎｕｌｌ","107-0061","東京都港区北青山三丁目9番19号","表参道 391 ANNEX 3階","2023/6/8","5港み生環き第36号"
"ベルボーテ表参道／ｅｙｅｌａｓｈ　ｂ－ｗｏｒｋｓ（アイラッシュ　ビーワークス）","107-0061","東京都港区北青山三丁目10番2号","栄友ビル302","2017/11/21","29港み生環き第149号"
"Ｐｒｅｓｓ．ｓａｌｏｎ","107-0061","東京都港区北青山三丁目10番2号","オフィス青山3階","2023/4/25","5港み生環き第2号"
"Ａｌｌｕｒｅ（アリュウル）","107-0061","東京都港区北青山三丁目10番6号","青山パークス 2階","2011/10/19","23港み生環き第83号"
"クレア","107-0061","東京都港区北青山三丁目10番8号","山本ビル 3階","1997/7/1","9港赤総衛環き第7号"
"ｎａｐｈａｉｒ　（ナップヘアー）","107-0061","東京都港区北青山三丁目10番8号","アライビル 2階","2011/9/9","23港み生環き第64号"
"ｐｅｎｅｌｏｐｅ　ｓｉｓ．（ペネロピ　シス）","107-0061","東京都港区北青山三丁目10番9号","川島ビル 4階","2015/2/19","26港み生環き第193号"
"ＨＡＩＲ＆ＭＡＫＥ　ＥＡＲＴＨ　ＰＡＮＡＶＩＡ（ヘアメイク　アース　パナビア）","107-0061","東京都港区北青山三丁目10番11号","青山土田ブロスビル 2、3階","2013/12/17","25港み生環き第151号"
"ＩＮＦＩＮＥＥＺ","107-0061","東京都港区北青山三丁目10番11号","青山土田ブロスビル1階、地下1階","2022/8/10","4港み生環き第55号"
"ｅｙｅ－ｒｉｓ　青山表参道店","107-0061","東京都港区北青山三丁目10番13号","FPG links OMOTESANDO 地下1階","2019/2/4","30港み生環き第169号"
"ＴＩＥＣＨＥＬ（ティーシェル）","107-0061","東京都港区北青山三丁目10番18号","北青山本田ビル 地下1階","2008/12/19","20港み生環き第137号"
"ｎｕｄｅ","107-0061","東京都港区北青山三丁目10番19号","Arrows Aoyama3階","2020/11/9","2港み生環き第158号"
"ＡｃＲｏ","107-0061","東京都港区北青山三丁目10番19号","2階","2021/11/11","3港み生環き第140号"
"ＩＣＹ","107-0061","東京都港区北青山三丁目10番19号","Arrows Aoyama2　2階","2024/3/6","5港み生環き第248号"
"ＲＥＳＴ","107-0061","東京都港区北青山三丁目10番21号","ティアック青山1階","2022/10/6","4港み生環き第102号"
"ｓｅｅｎ","107-0061","東京都港区北青山三丁目10番25号","ケン表参道ビル2階","2022/2/15","3港み生環き第236号"
"Ｂｒｅｅ’ｚｅ","107-0061","東京都港区北青山三丁目10番25号","ケン表参道ビル3階","2023/3/10","4港み生環き第214号"
"Ａｕｓｄｒｕｃｋ（アウスドルック）","107-0061","東京都港区北青山三丁目11番7号","Aoビル 2階","2009/3/26","20港み生環き第180号"
"Ｅｙｅ　Ｄｅｓｉｇｎ（アイデザイン）表参道店","107-0061","東京都港区北青山三丁目11番7号","Aoビル 2階","2014/7/16","26港み生環き第57号"
"ＺＡＣＣ　ａ（ザック　エー）","107-0061","東京都港区北青山三丁目11番7号","Ao 4階","2015/3/31","26港み生環き第222号"
"ＺＡＣＣ　ｂ（ザック　ビー）","107-0061","東京都港区北青山三丁目11番7号","Ao 4階","2015/3/31","26港み生環き第223号"
"ＺＡＣＣ　ｃ（ザック　シー）","107-0061","東京都港区北青山三丁目11番7号","Ao 4階","2017/2/20","28港み生環き第179号"
"Ｌｅｗｉｎ","107-0061","東京都港区北青山三丁目12番1号","オウルビル地下1階","2021/8/1","3港み生環き第78号"
"ＮＮＮ","107-0061","東京都港区北青山三丁目12番1号","オウル3階","2021/11/29","3港み生環き第163号"
"髪質改善専門店　Ａｄｅｌｅ","107-0061","東京都港区北青山三丁目12番1号","オウル地下1階","2022/12/22","4港み生環き第163号"
"ｐｒｉｖａｔｅ　ｓａｌｏｎ　Ｌｉｂｅｒｔｅ（プライベート　サロン　リベルテ）","107-0061","東京都港区北青山三丁目12番2号","ふじマンション305","2014/11/25","26港み生環き第140号"
"アーリア","107-0061","東京都港区北青山三丁目12番7号","カプリース青山 504","2014/12/24","26港み生環き第159号"
"Ｐａｉｒｉｎｇ（ペアリング）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山 601","2016/6/20","28港み生環き第46号"
"ｅｘｔｅｒｏｏｍ（エクステルーム）","107-0061","東京都港区北青山三丁目12番7号","804号室","2017/4/21","29港み生環き第1号"
"Ａｉｒｓａｌｏｎ　青山店（エアサロン）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山902","2017/10/16","29港み生環き第122号"
"Ｈａｉｒ＆Ｍａｋｅ－ｕｐ　ＺＥＮΦ（ヘアー＆メーク　ゼノン）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山 1104","2003/1/24","14港み生環き第131号"
"ＬＵＬＡＮＩＣＡ（ルラニカ）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1006","2012/8/30","24港み生環き第86号"
"Ｆａｃｅ　Ｇａｒｄｅｎ（フェイスガーデン）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1201","2013/9/6","25港み生環き第96号"
"Ｅｙｅｌａｓｈｓａｌｏｎ　ＦＡＩＲＹ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1205","2019/5/10","31港み生環き第19号"
"Ｒｉｖｅｒａ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1304号","2019/9/17","31港み生環き第109号"
"ｎｏｒｄ　ＡＯＹＡＭＡ（ノルド　アオヤマ）","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1306","2018/5/16","30港み生環き第17号"
"Ｐａｉｒｉｎｇ　ｎａｉｌ　＆　ｅｙｅｌａｓｈ","107-0061","東京都港区北青山三丁目12番7号","秋月ビル501","2019/6/28","31港み生環き第45号"
"ｄｅｉｃｙ　ｂｅａｕｔｙ　ｓａｌｏｎ（デイシー　ビューティー　サロン）","107-0061","東京都港区北青山三丁目12番7号","秋月ビル603","2016/6/10","28港み生環き第40号"
"Ａｐｅ　Ｏｍｏｔｅｓａｎｄｏ（アペ表参道）","107-0061","東京都港区北青山三丁目12番7号","秋月ビル606","2012/7/19","24港み生環き第49号"
"ｓｈｅｅｒ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1303号室","2020/1/31","31港み生環き第207号"
"ｅｙｅｌａｓｈ　ｄｅｓｉｇｎ　ａ－ｌａ－ｍｏｄｅ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山708","2020/12/25","2港み生環き第180号"
"ＥＹＥＬＡＳＨ　ＬＡＢ　ＹＥＬＬＯＷ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1207","2021/1/22","2港み生環き第195号"
"ｎｏｏｋ　ｎａｉｌ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山703","2021/6/22","3港み生環き第58号"
"まつ毛エクステ専門【ニコットラッシュ表参道】パリジェンヌ＆フラット＆まつ毛パーマ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山1009","2021/7/29","3港み生環き第70号"
"ＣＯＬ．","107-0061","東京都港区北青山三丁目12番7号","カプリース青山404","2021/9/30","3港み生環き第114号"
"アイブロウサロンＳＭＡＵ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山809","2022/7/27","4港み生環き第53号"
"リバティー　アイランド","107-0061","東京都港区北青山三丁目12番7号","カプリース青山908","2023/12/25","5港み生環き第202号"
"プリティスト・アイ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山408","2024/2/26","5港み生環き第240号"
"ＡＮＫＨ　ＣＲＯＳＳ　ＡＯＹＡＭＡ","107-0061","東京都港区北青山三丁目12番9号","青山花茂ビル6階","2021/4/30","3港み生環き第17号"
"ＲＨＹＴＨＭ　ＳＰＡ（ＴＨＲＥＥ　ＡＯＹＡＭＡ）（リズムスパスリーアオヤマ）","107-0061","東京都港区北青山三丁目12番13号","北青山3丁目ビル 2階","2013/9/25","25港み生環き第104号"
"ｂａｃｋｓｔａｇｅ青山店（バックステージ）","107-0061","東京都港区北青山三丁目12番13号","北青山3丁目ビル 2階‐S","2017/3/30","28港み生環き第200号"
"ＦＯＮＳ","107-0061","東京都港区北青山三丁目12番13号","3階 N区画","2019/4/3","30港み生環き第227号"
"ＡＬＬＵＲＥ","107-0061","東京都港区北青山三丁目12番13号","3階 S区画","2019/4/3","30港み生環き第228号"
"ｌｙａｎｎ　表参道","107-0061","東京都港区北青山三丁目12番13号","北青山3丁目ビル2階-N","2022/5/25","4港み生環き第7号"
"ＳＡＬＯＷＩＮ　表参道ＨＯＬＯＮ店","107-0061","東京都港区北青山三丁目12番13号","HOLON-L 2階","2022/12/28","4港み生環き第136号"
"ソシエゴ","107-0061","東京都港区北青山三丁目12番16号","青山312ビル 3階","2002/5/1","14港み生環き第7号"
"ＡＮＤＲＥＹ（アンドレイ）","107-0061","東京都港区北青山三丁目13番1号","北青山関根ビル 2階","2018/7/25","30港み生環き第65号"
"ｍａｒｉｎａｔｅ（マリネイト）","107-0061","東京都港区北青山三丁目13番3号","R's青山 2階","2011/3/2","22港み生環き第173号"
"ＹＶＥＳＳ","107-0061","東京都港区北青山三丁目13番7号","地下1階","2021/12/28","3港み生環き第196号"
"ｎｅｘ　ｔｈｅ　ｓａｌｏｎ　ｃｏａｌｌ","107-0061","東京都港区北青山三丁目13番8号","青山チェリーヒルズ1階","2020/5/12","2港み生環き第14号"
"ＡＬＦＡＬＡＮ（アルファラン）","107-0061","東京都港区北青山三丁目13番12号","オムニクォーター 2階","2013/12/9","25港み生環き第142号"
"Ｒｅｎａｍａｒｉａ　Ｖｅｒｉｔａ（レーナマリア　ベリタ）","107-0061","東京都港区北青山三丁目14番1号","ノース青山 2、3階","2019/1/30","30港み生環き第176号"
"ルーチェ","107-0061","東京都港区北青山三丁目14番4号","イズミビル 1階","2010/7/13","22港み生環き第57号"
"ＮＥＷＳ　ＨＯＴＥＬ（ニュースホテル）","107-0061","東京都港区北青山三丁目14番8号","8953ビル 地下1階","2005/6/15","17港み生環き第53号"
"ＲＥＮＪＩＳＨＩ　ａｏｙａｍａ（レンジシ　アオヤマ）","107-0061","東京都港区北青山三丁目14番8号","Gビル北青山01-B1","2018/8/16","30港み生環き第74号"
"ｂｒｉｓａ　ｈｏｌａ","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ 地下1階","2018/12/19","30港み生環き第142号"
"ＭＡＢＥＬ（マーベル）","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ 2階","2008/7/1","20港み生環き第18号"
"Ｌａ　ＣＡＳＴＡ表参道店（ラ　カスタ）","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ 1階","2008/7/23","20港み生環き第54号"
"ヒップス・ヘアー","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ青山B棟22","2020/3/31","31港み生環き第276号"
"ｍｅｅ．","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ表参道地下1階","2022/6/16","4港み生環き第28号"
"ＣＩＴＹ","107-0061","東京都港区北青山三丁目15番5号","ポルトフィーノ B棟 地下1階-04、05区画","2023/4/17","4港み生環き第250号"
"リブラブラフ表参道","107-0061","東京都港区北青山三丁目15番7号","SUNODA Bldg.表参道 2階","2018/6/14","30港み生環き第35号"
"クラブ・カット","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス 101号","1987/9/4","62港赤総衛環き第11号"
"ｐｅｏｐｌｅ（ピープル）","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス101","2018/3/12","29港み生環き第234号"
"ｐｅｏｐｌｅ（ピープル）","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス103","2012/4/25","24港み生環き第8号"
"１０５（イチマルゴ）","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス105","2009/11/4","21港み生環き第99号"
"美容室キサラ","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス107号室","2013/1/7","24港み生環き第153号"
"ｅｔＲｉｒｅ（エリール）","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス604号","2008/10/17","20港み生環き第111号"
"ＱＵＯＬＩＡ","107-0061","東京都港区北青山三丁目15番13号","秀和北青山レジデンス106号室","2020/1/8","31港み生環き第197号"
"ｄｅｐａｒｔ　（デパール）表参道","107-0061","東京都港区北青山三丁目15番16号","オラシオン青山ビル 2階","2014/8/14","26港み生環き第83号"
"ｒｅｌｉａｎ（リリアン）","107-0061","東京都港区北青山三丁目15番16号","コンセプト21 2階","2012/12/26","24港み生環き第146号"
"Ｅｎｄ　ｏｆ　ｄａｙ","107-0061","東京都港区北青山三丁目15番16号","オラシオン青山4階","2022/7/29","4港み生環き第43号"
"アイラッシュリゾートカハラ品川店","108-0075","東京都港区港南二丁目2番13号","清水ビル 2階","2017/9/11","29港み生環き第82号"
"ネイル＆アイラッシュ　ティーズ","108-0075","東京都港区港南二丁目4番7号","石橋ビル 5階","2015/3/11","26港み生環き第200号"
"ｆｉｎｅ　ｌａｌａ","108-0075","東京都港区港南二丁目4番10号","Blue Earth Shinagawa 602","2020/4/13","2港み生環き第1号"
"ＳＡＬＯＮ（サロン）","108-0075","東京都港区港南二丁目5番10号","1階","2012/11/9","24港み生環き第121号"
"Ｎａｔｕｒａｌ　Ｄｅｓｉｇｎ　ｎａｉｌｓ（ナチュラルデザインネイルズ）","108-0075","東京都港区港南二丁目6番10号","三矢ビル 4階","2015/8/31","27港み生環き第105号"
"ＱＢハウス品川インターシティ店","108-0075","東京都港区港南二丁目15番1号","品川インターシティA棟 1階","2005/3/18","16港み生環き第134号"
"Ｂ－ｄａｓｈ　ＡＶＥＤＡ（ビーダッシュ　アベダ）","108-0075","東京都港区港南二丁目15番2号","品川インターシティD棟 1階","2010/9/17","22港み生環き第95号"
"Ｂｅａｕｔｙ　Ｓｐａｃｅ　Ａｒｔｅｍｉｓ（ビューティースペースアルテミス）","108-0075","東京都港区港南四丁目2番6号","シティタワー品川 1階","2008/11/14","20港み生環き第124号"
"Ｂｅａｕｔｙ　Ｓｐａｃｅ　Ａｒｔｅｍｉｓ（ビューティースペースアルテミス）","108-0075","東京都港区港南四丁目2番6号","シティータワー品川101","2018/1/30","29港み生環き第203号"
"アンジェリアン","105-0014","東京都港区芝一丁目9番9号","小林ビル2階","2023/9/14","5港み生環き第119号"
"リリー美容室","105-0014","東京都港区芝二丁目8番5号","2階","2001/7/27","13港み生環き第45号"
"美容室えぽっく","105-0014","東京都港区芝二丁目8番18号","田村ビル 1階","2009/7/8","21港み生環き第42号"
"プライベート増毛スパ","105-0014","東京都港区芝二丁目29番9号","グランバリュー三田602","2021/8/23","3港み生環き第92号"
"ＭＡＮＨＡＴＴＡＮ目元研究所","105-0014","東京都港区芝二丁目29番12号","VORT芝公園3　10階","2024/3/25","5港み生環き第260号"
"ＦＬＡＰ　（フラップ）","105-0014","東京都港区芝三丁目16番5号","イーストコースト芝 1階","2002/4/5","13港み生環き第133号"
"カット専門店Ｃｒａｆｔｓｍａｎ（クラフトマン）","105-0014","東京都港区芝三丁目17番15号","クリエート三田103号","2017/11/30","29港み生環き第152号"
"ＨＡＩＲ　ＣＯＬＯＲ　ＴＯＫＹＯ　ＳＬＯＵＣＨ","105-0014","東京都港区芝三丁目17番15号","クリエート三田1階","2021/7/20","3港み生環き第80号"
"ＭＩＺＵＩＲＯ","105-0014","東京都港区芝三丁目32番12号","グランデュオ芝公園1階","2022/9/29","4港み生環き第91号"
"ＹＵＩ　ｗｅｄｄｉｎｇ","105-0014","東京都港区芝三丁目32番13号","グラスビル3階","2022/5/26","4港み生環き第11号"
"Ｓｕｎｇｏｏｓｅ　ＴＯＫＹＯ（サングース　トウキョウ）","108-0014","東京都港区芝四丁目2番10号","秀栄ビル 2階","2015/1/29","26港み生環き第176号"
"ＬＩＮＯＬＥＡ（リノレア）","108-0014","東京都港区芝四丁目4番4号","レオナール三田201","2016/3/14","27港み生環き第207号"
"ＡＰＡＲＴ","108-0014","東京都港区芝四丁目7番7号","ビラ-アペックス田町9階","2021/3/31","2港み生環き第231号"
"ＳＯＵＲＣＥ　ｃｉａ","108-0014","東京都港区芝四丁目7番7号","ビラ・アペックス田町2階","2021/12/27","3港み生環き第200号"
"ＡＩＭＩＥ＿ＥＹＥ","108-0014","東京都港区芝四丁目18番3号","JTM-26-75号室","2020/7/7","2港み生環き第75号"
"ＭＡＮＨＡＴＴＡＮ　田町・三田店","108-0014","東京都港区芝四丁目18番3号","JTM26-71号室","2020/12/2","2港み生環き第169号"
"ウィングローリー","108-0014","東京都港区芝五丁目1番7号","HTビル 1階","2018/6/18","30港み生環き第38号"
"ＭｕＦＦ　ｈａｉｒ　田町店","108-0014","東京都港区芝五丁目1番9号","NHIビル2階","2022/12/16","4港み生環き第162号"
"Ｃｏｔｏｎｏｈａ（コトノハ）","108-0014","東京都港区芝五丁目11番15号","さがむつみ 3階","2016/2/26","27港み生環き第197号"
"私のビューティー","108-0014","東京都港区芝五丁目13番12号","第2定方ビル2階","2019/8/7","31港み生環き第82号"
"ＣＡＬＩ（キャリ）","108-0014","東京都港区芝五丁目15番1号","明和堂ビル 2階","2019/1/15","30港み生環き第159号"
"Ｇａｒｌａｎｄ（ガーランド）","108-0014","東京都港区芝五丁目20番9号","東化ビル 1階","2014/2/24","25港み生環き第175号"
"ＢＬＥＳＳ（ブレス）","108-0014","東京都港区芝五丁目20番12号","芝五ビル 5階","2015/8/14","27港み生環き第98号"
"さくら美容室","108-0014","東京都港区芝五丁目23番10号",,"1969/4/16","第5号"
"Ｌｅｂｅｎｓ","108-0014","東京都港区芝五丁目25番7号","5286芝ビル 4階","2019/10/9","31港み生環き第141号"
"切っちゃ王　田町店","108-0014","東京都港区芝五丁目26番1号",,"2003/11/7","15港み生環き第96号"
"切っちゃ王","108-0014","東京都港区芝五丁目26番1号",,"2012/5/30","24港み生環き第24号"
"ヘア－アベニュ－ファム","108-0014","東京都港区芝五丁目26番20号","建築会館 2階","1983/10/21","58港芝保衛環き第41号"
"ｅｍｕ（エミュー）","108-0014","東京都港区芝五丁目27番4号","芝サニーハイツ201号","2012/7/19","24港み生環き第47号"
"ｖｉ－ｔａ　ｔａｍａｃｈｉ","108-0014","東京都港区芝五丁目27番12号","豊田ビル2階、3階","2022/9/1","4港み生環き第76号"
"Ｓｕｎｇｏｏｓｅ　ＴＯＫＹＯ","108-0014","東京都港区芝五丁目29番2号","三善ビル 3階","2019/6/28","31港み生環き第43号"
"ボネール","108-0014","東京都港区芝五丁目29番2号","SANZENビル6階","2020/3/19","31港み生環き第270号"
"ネイル＆アイラッシュ　Ｌａｐｉｓ","108-0014","東京都港区芝五丁目29番22号","ライオンズマンションフェリス三田707","2021/9/13","3港み生環き第105号"
"アンアン　三田店","108-0014","東京都港区芝五丁目29番25号","ピノキオビル 1階","2000/6/26","12港み生環き第25号"
"アンジェリカミッシェル　田町店","108-0014","東京都港区芝五丁目31番5号","MEFULL田町 11階","2023/1/20","4港み生環き第179号"
"カッティングハウスアンアン　田町店","108-0014","東京都港区芝五丁目31番10号","サンシャインビル 3階","1990/10/3","2港芝総衛環き第42号"
"Ａｍａｎ田町店","108-0014","東京都港区芝五丁目32番3号","林ビル 9階","2019/5/20","31港み生環き第20号"
"ＲＥＧＯ","108-0014","東京都港区芝五丁目32番9号","ecs第5ビル7階","2023/3/7","4港み生環き第209号"
"三田ベルジュビル","108-0014","東京都港区芝五丁目36番7号","三田ベルジュビル 2階","2015/12/2","27港み生環き第159号"
"Ａｒｉｎｇｏ","105-0023","東京都港区芝浦一丁目9番8号","TBBビル2階","2020/5/12","31港み生環き第283号"
"ビューティサロンゆき","105-0023","東京都港区芝浦一丁目15番6号",,"1967/10/28","第16号"
"シンフォニークラシカ","108-0023","東京都港区芝浦二丁目6番1号","(本社所在地)","2022/9/21","4港み生環き第94号"
"シュモレ　ピアーズ","108-0023","東京都港区芝浦二丁目15番2号","ラシーネ芝浦 1階","2018/9/21","30港み生環き第91号"
"ＵＮＰ（Ａ）Ｓ","108-0023","東京都港区芝浦二丁目16番7号","中野第三ビル4階","2024/1/19","5港み生環き第192号"
"ＳＯＵＬ・ＳＰＡＣＥ","108-0023","東京都港区芝浦二丁目16番10号","ラナビル2階","2020/12/2","2港み生環き第171号"
"Ｂｉａｎｃａ田町店（ビアンカ）","108-0023","東京都港区芝浦三丁目1番32号","msb Tamachi なぎさテラス4階402","2018/5/21","30港み生環き第24号"
"Ｌａ　ｖｉｔａ　è　ｂｅｌｌ","108-0023","東京都港区芝浦三丁目4番1号","グランパークタワー地下1階B04","2023/8/23","5港み生環き第105号"
"ＮＩＣＯ　ｎａｉｌ　田町店（ニコネイル）","108-0023","東京都港区芝浦三丁目6番10号","興国ビル 3階","2013/12/16","25港み生環き第150号"
"ＮＩＣＯ　ｎａｉｌ　（ニコネイル）田町店","108-0023","東京都港区芝浦三丁目6番10号","興国ビル 3階","2017/3/14","28港み生環き第205号"
"ＥＡＲＴＨ／Ｅ　田町店（アーススラッシュエレガンス）","108-0023","東京都港区芝浦三丁目11番1号","キョウワクリエイト第一ビル 1階","2017/9/15","29港み生環き第95号"
"Ｌｉｎｄａ（リンダ）","108-0023","東京都港区芝浦三丁目11番6号","芝浦Kビル 3階","2009/5/7","21港み生環き第9号"
"ＴＲＥＥ","108-0023","東京都港区芝浦三丁目11番8号","ミナトヤビル503","2019/4/22","31港み生環き第8号"
"Ｃｏｑｕｉｌｌｅ","108-0023","東京都港区芝浦三丁目11番12号","ASKビル7階","2021/2/19","2港み生環き第207号"
"ＧＬＡＭ（グラム）","108-0023","東京都港区芝浦三丁目12番5号","石阪ビル 1階","1999/7/1","11港み生環き第35号"
"Ｂｕｌｌｓｏｎ","108-0023","東京都港区芝浦三丁目12番18号","バウハウス5階","2024/2/20","5港み生環き第218号"
"ＺＥＬＥ（ゼル）","108-0023","東京都港区芝浦三丁目13番2号","Yビル 6階","2008/6/3","20港み生環き第35号"
"Ｌａｕ（ラウ）","108-0023","東京都港区芝浦三丁目13番9号","藤ビル 3階","2013/11/29","25港み生環き第139号"
"ブリリアンス東京","108-0023","東京都港区芝浦三丁目14番3号","1階","2013/2/6","24港み生環き第162号"
"ＦＩＬＭＳ田町芝浦（フィルムス　タマチシバウラ）","108-0023","東京都港区芝浦三丁目14番17号","1階2階","2019/4/4","30港み生環き第182号"
"Ｓａｃ．田町","108-0023","東京都港区芝浦三丁目15番1号","シティテラス田町1階","2021/7/2","3港み生環き第62号"
"三角形","108-0023","東京都港区芝浦三丁目16番13号","ギャラリー田町1階","2019/11/6","31港み生環き第115号"
"美容室アルデア","108-0023","東京都港区芝浦三丁目19番19号","オー・アイ・芝浦 1階","2016/7/11","28港み生環き第43号"
"ＡＲＳ　Ｂｅａｕｔｙ　Ｓａｌｏｎ","108-0023","東京都港区芝浦四丁目5番9号","THE HARBOUR SHIBAURA503","2020/12/1","2港み生環き第159号"
"Ｐｅａｃｅ　Ｇａｒｄｅｎ","108-0023","東京都港区芝浦四丁目5番9号","ザ ハーバー 芝浦 601号","2023/2/17","4港み生環き第196号"
"グットタイムリビング芝浦アイランド　ル・シエル","108-0023","東京都港区芝浦四丁目20番4号","2階","2008/10/30","20港み生環き第120号"
"プラテシア芝浦アイランド　ＩＭＡＪＩＮＥ","108-0023","東京都港区芝浦四丁目20番4号","5階","2008/10/30","20港み生環き第121号"
"エルア","105-0011","東京都港区芝公園一丁目2番20号","組田ビル2階","2023/9/26","5港み生環き第124号"
"美容室　八城","105-0011","東京都港区芝公園一丁目7番20号",,"1998/7/15","10港み生環き第45号"
"東京プリンスホテル　２階美粧室","105-0011","東京都港区芝公園三丁目3番1号","東京プリンスホテル 2階","1993/2/1","4港芝総衛環き第68号"
"ヘアーメイクアップスタジオ","105-0011","東京都港区芝公園四丁目8番1号","東京プリンスホテルパークタワー 地下3階","2005/4/6","16港み生環き第140号"
"トニータナカビューティメゾン","105-0011","東京都港区芝公園四丁目8番1号","東京プリンスホテルパークタワー 地下3階","2005/4/6","16港み生環き第139号"
"ＳＡＣＨＩＫＯ（サチコ）","105-0012","東京都港区芝大門一丁目8番1号","1階","2006/7/21","18港み生環き第65号"
"ＫＡＤＯＤＥ　ｂｙ　Ｈｅａｒｔ　ｔｒｅｅ　ｗｅｄｄｉｎｇ（カドデ　バイ　ハートツリー　ウェディング）","105-0012","東京都港区芝大門一丁目11番4号","小松ビル2階","2019/3/22","30港み生環き第214号"
"アイラッシュ＆アイブロウサロンＳＷＩＴＣＨ浜松町・大門店","105-0012","東京都港区芝大門一丁目15番7号","芝大門ABC館ビル1・2階","2022/2/7","3港み生環き第234号"
"美ｕｐ浜松町（ビュップ）","105-0012","東京都港区芝大門一丁目15番8号","布萬スカイビル3階","2010/12/22","22港み生環き第148号"
"マジェワ","105-0012","東京都港区芝大門一丁目16番1号","穂積ビル 3階","2001/5/9","13港み生環き第14号"
"ひさご美容室","105-0012","東京都港区芝大門二丁目1番1号","酒井ビル 2階","1999/10/26","11港み生環き第97号"
"ｓｏｓｕ　ｈａｉｒ　ｍａｋｅ（ソスウ　ヘアー　メイク）","105-0012","東京都港区芝大門二丁目1番1号","第二境野ビル 4階","2014/5/13","26港み生環き第21号"
"Ａｎｇｅｌｉｃ（アンジェリック）","105-0012","東京都港区芝大門二丁目1番1号","第二境野ビル 7階","2016/5/30","28港み生環き第19号"
"Ｈａｉｒ＆Ｍａｋｅ　ａｍａｒｅｔｔｏ（ヘアーアンドメイクアマレット）","105-0012","東京都港区芝大門二丁目6番12号","正呂地ビル 2階別館","2017/7/19","29港み生環き第54号"
"ヘアサロンひまり","105-0012","東京都港区芝大門二丁目12番6号","ダイアパレス芝大門805","2017/7/7","29港み生環き第55号"
"ｌ’ｅｃｈｏ","108-0072","東京都港区白金一丁目7番9号","1階","2023/4/6","4港み生環き第183号"
"ヘアサロン　ゾゾ","108-0072","東京都港区白金一丁目8番2号",,"2016/7/15","28港み生環き第62号"
"Ｆａｌｓｅｔｔｏ（ファルセット）","108-0072","東京都港区白金一丁目11番13号","ラミューズプラチナ 1階","2011/8/31","23港み生環き第65号"
