X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-64075,-195085,139.13774609,34.23942264,5.4807
-63055,-195085,139.14881834,34.23948496,4.5042
-63045,-195085,139.14892689,34.23948556,4.4414
-63035,-195085,139.14903544,34.23948617,4.3920
-63025,-195085,139.14914399,34.23948677,4.3701
-63015,-195085,139.14925254,34.23948738,4.3480
-62875,-195085,139.15077226,34.23949585,4.1282
-62865,-195085,139.15088082,34.23949645,4.0721
-62855,-195085,139.15098937,34.23949706,4.1364
-62465,-195085,139.15522288,34.23952055,3.9901
-62455,-195085,139.15533144,34.23952115,3.7754
-62445,-195085,139.15543999,34.23952175,3.7860
-62435,-195085,139.15554854,34.23952235,3.7340
-62425,-195085,139.15565709,34.23952295,3.6661
-64195,-195095,139.13644422,34.23932509,4.5830
-64085,-195095,139.13763828,34.23933187,5.3319
-64075,-195095,139.13774683,34.23933249,5.4276
-63065,-195095,139.14871051,34.23939420,4.6071
-63055,-195095,139.14881906,34.23939481,4.6349
-63045,-195095,139.14892762,34.23939541,4.5524
-63035,-195095,139.14903617,34.23939602,4.4471
-63025,-195095,139.14914472,34.23939662,4.4342
-63015,-195095,139.14925327,34.23939723,4.4000
-63005,-195095,139.14936182,34.23939783,4.4022
-62995,-195095,139.14947037,34.23939844,4.4464
-62985,-195095,139.14957893,34.23939904,4.4972
-62895,-195095,139.15055589,34.23940449,4.2529
-62885,-195095,139.15066444,34.23940509,4.2384
-62875,-195095,139.15077299,34.23940570,4.2239
-62865,-195095,139.15088154,34.23940630,4.2599
-62405,-195095,139.15587492,34.23943399,3.7029
-62395,-195095,139.15598347,34.23943459,3.8020
-64085,-195105,139.13763902,34.23924172,5.2820
-64075,-195105,139.13774757,34.23924234,5.3440
-63055,-195105,139.14881979,34.23930465,4.7149
-63045,-195105,139.14892835,34.23930526,4.6100
-63035,-195105,139.14903690,34.23930586,4.5452
-63025,-195105,139.14914545,34.23930647,4.5137
-63015,-195105,139.14925400,34.23930708,4.4689
-63005,-195105,139.14936255,34.23930768,4.4444
-62995,-195105,139.14947110,34.23930829,4.5232
-62985,-195105,139.14957965,34.23930889,4.5564
-62975,-195105,139.14968821,34.23930950,4.5560
-62965,-195105,139.14979676,34.23931010,4.5415
-62905,-195105,139.15044807,34.23931373,4.3232
-62895,-195105,139.15055662,34.23931434,4.2559
-62885,-195105,139.15066517,34.23931494,4.3953
-62375,-195105,139.15620129,34.23934564,3.5682
-62365,-195105,139.15630985,34.23934624,3.5200
-64085,-195115,139.13763976,34.23915157,5.2283
-64075,-195115,139.13774832,34.23915219,5.2614
-63035,-195115,139.14903763,34.23921571,4.7225
-63025,-195115,139.14914618,34.23921632,4.5951
-63015,-195115,139.14925473,34.23921692,4.5743
-63005,-195115,139.14936328,34.23921753,4.5157
-62995,-195115,139.14947183,34.23921814,4.6022
