地域階層,地域コード,東京都26町丁目コード,地域名,町・大字名,丁目・字,地域名称,総数（経営組織）／事業所数（事業所）,総数（経営組織）／従業者数（人）,民営／事業所数（事業所）,民営／従業者数（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数（人）,民営／法人／会社／合資・合名会社／事業所数（事業所）,民営／法人／会社／合資・合名会社／従業者数（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数（人）,国・地方公共団体／事業所数（事業所）,国・地方公共団体／従業者数（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／地方公共団体／事業所数（事業所）,国・地方公共団体／地方公共団体／従業者数（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／従業者数（人）,国・地方公共団体／地方公共団体／市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／市町村／従業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数（人）
6,13122,1312200601,葛飾区,葛飾区堀切,１丁目,葛飾区堀切１丁目,195,1692,189,1542,59,116,130,1426,126,1380,125,1377,1,3,-,-,-,-,4,46,-,-,6,150,-,-,6,150,-,-,6,150,-,-
6,13122,1312200602,葛飾区,葛飾区堀切,２丁目,葛飾区堀切２丁目,205,1065,204,1033,102,227,101,803,95,534,92,497,2,23,1,14,-,-,6,269,1,3,1,32,-,-,1,32,-,-,1,32,-,-
6,13122,1312200603,葛飾区,葛飾区堀切,３丁目,葛飾区堀切３丁目,256,2501,248,2368,135,304,113,2064,102,1125,99,1106,-,-,3,19,-,-,11,939,-,-,8,133,-,-,8,133,-,-,8,133,-,-
6,13122,1312200604,葛飾区,葛飾区堀切,４丁目,葛飾区堀切４丁目,185,1322,185,1322,88,215,97,1107,90,1066,90,1066,-,-,-,-,-,-,7,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13122,1312200605,葛飾区,葛飾区堀切,５丁目,葛飾区堀切５丁目,192,717,192,717,115,240,77,477,71,427,70,418,-,-,1,9,-,-,6,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13122,1312200606,葛飾区,葛飾区堀切,６丁目,葛飾区堀切６丁目,104,524,101,468,48,93,53,375,50,337,49,333,-,-,1,4,-,-,3,38,-,-,3,56,-,-,3,56,-,-,3,56,-,-
6,13122,1312200607,葛飾区,葛飾区堀切,７丁目,葛飾区堀切７丁目,116,633,114,576,55,123,59,453,53,374,53,374,-,-,-,-,-,-,6,79,-,-,2,57,-,-,2,57,1,56,1,1,-,-
6,13122,1312200608,葛飾区,葛飾区堀切,８丁目,葛飾区堀切８丁目,55,352,54,308,16,30,38,278,38,278,38,278,-,-,-,-,-,-,-,-,-,-,1,44,-,-,1,44,-,-,1,44,-,-
5,13122,1312202600,葛飾区,葛飾区水元,,葛飾区水元,437,3843,427,3590,156,358,271,3232,247,2657,247,2657,-,-,-,-,-,-,24,575,-,-,10,253,-,-,10,253,2,39,7,158,1,56
6,13122,1312202601,葛飾区,葛飾区水元,１丁目,葛飾区水元１丁目,90,895,87,829,31,74,56,755,50,570,50,570,-,-,-,-,-,-,6,185,-,-,3,66,-,-,3,66,1,1,1,9,1,56
6,13122,1312202602,葛飾区,葛飾区水元,２丁目,葛飾区水元２丁目,78,699,77,649,22,47,55,602,53,579,53,579,-,-,-,-,-,-,2,23,-,-,1,50,-,-,1,50,-,-,1,50,-,-
6,13122,1312202603,葛飾区,葛飾区水元,３丁目,葛飾区水元３丁目,117,1134,113,1045,49,102,64,943,53,608,53,608,-,-,-,-,-,-,11,335,-,-,4,89,-,-,4,89,1,38,3,51,-,-
6,13122,1312202604,葛飾区,葛飾区水元,４丁目,葛飾区水元４丁目,86,498,84,450,34,92,50,358,47,340,47,340,-,-,-,-,-,-,3,18,-,-,2,48,-,-,2,48,-,-,2,48,-,-
6,13122,1312202605,葛飾区,葛飾区水元,５丁目,葛飾区水元５丁目,66,617,66,617,20,43,46,574,44,560,44,560,-,-,-,-,-,-,2,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13122,1312202700,葛飾区,葛飾区水元公園,,葛飾区水元公園,3,31,3,31,-,-,3,31,1,2,1,2,-,-,-,-,-,-,2,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13122,1312202900,葛飾区,葛飾区南水元,,葛飾区南水元,332,2160,321,1852,134,322,187,1530,179,1437,178,1421,1,16,-,-,-,-,8,93,-,-,11,308,-,-,11,308,3,101,8,207,-,-
6,13122,1312202901,葛飾区,葛飾区南水元,１丁目,葛飾区南水元１丁目,117,671,115,624,58,134,57,490,55,480,55,480,-,-,-,-,-,-,2,10,-,-,2,47,-,-,2,47,-,-,2,47,-,-
6,13122,1312202902,葛飾区,葛飾区南水元,２丁目,葛飾区南水元２丁目,88,566,87,550,33,76,54,474,52,464,52,464,-,-,-,-,-,-,2,10,-,-,1,16,-,-,1,16,-,-,1,16,-,-
6,13122,1312202903,葛飾区,葛飾区南水元,３丁目,葛飾区南水元３丁目,19,223,14,79,3,3,11,76,9,32,9,32,-,-,-,-,-,-,2,44,-,-,5,144,-,-,5,144,-,-,5,144,-,-
6,13122,1312202904,葛飾区,葛飾区南水元,４丁目,葛飾区南水元４丁目,108,700,105,599,40,109,65,490,63,461,62,445,1,16,-,-,-,-,2,29,-,-,3,101,-,-,3,101,3,101,-,-,-,-
5,13122,1312200300,葛飾区,葛飾区四つ木,,葛飾区四つ木,691,5758,685,5610,284,644,400,4964,376,4602,370,4581,5,18,1,3,-,-,24,362,1,2,6,148,-,-,6,148,-,-,6,148,-,-
6,13122,1312200301,葛飾区,葛飾区四つ木,１丁目,葛飾区四つ木１丁目,174,659,173,656,91,209,82,447,74,339,69,322,4,14,1,3,-,-,8,108,-,-,1,3,-,-,1,3,-,-,1,3,-,-
6,13122,1312200302,葛飾区,葛飾区四つ木,２丁目,葛飾区四つ木２丁目,121,1283,121,1283,36,87,85,1196,80,1155,80,1155,-,-,-,-,-,-,5,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13122,1312200303,葛飾区,葛飾区四つ木,３丁目,葛飾区四つ木３丁目,109,518,108,484,56,102,52,382,51,379,50,375,1,4,-,-,-,-,1,3,-,-,1,34,-,-,1,34,-,-,1,34,-,-
6,13122,1312200304,葛飾区,葛飾区四つ木,４丁目,葛飾区四つ木４丁目,163,892,160,810,70,148,89,660,82,610,82,610,-,-,-,-,-,-,7,50,1,2,3,82,-,-,3,82,-,-,3,82,-,-
6,13122,1312200305,葛飾区,葛飾区四つ木,５丁目,葛飾区四つ木５丁目,124,2406,123,2377,31,98,92,2279,89,2119,89,2119,-,-,-,-,-,-,3,160,-,-,1,29,-,-,1,29,-,-,1,29,-,-
5,13122,1312299999,葛飾区,葛飾区その他,,葛飾区その他,1,3,1,3,-,-,1,3,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13123,1312300000,江戸川区,,,江戸川区,21840,196949,21511,184495,7426,19993,14071,164403,13124,144436,13016,143606,55,372,50,420,3,38,947,19967,14,99,329,12454,7,358,322,12096,42,3374,278,8686,2,36
5,13123,1312301100,江戸川区,江戸川区一之江,,江戸川区一之江,728,5889,722,5680,229,687,492,4992,461,4639,455,4614,1,1,4,23,1,1,31,353,1,1,6,209,-,-,6,209,1,76,5,133,-,-
6,13123,1312301101,江戸川区,江戸川区一之江,１丁目,江戸川区一之江１丁目,51,698,51,698,10,26,41,672,41,672,41,672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312301102,江戸川区,江戸川区一之江,２丁目,江戸川区一之江２丁目,51,293,51,293,15,34,36,259,34,228,34,228,-,-,-,-,-,-,2,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312301103,江戸川区,江戸川区一之江,３丁目,江戸川区一之江３丁目,115,780,113,726,29,71,84,655,81,641,81,641,-,-,-,-,-,-,3,14,-,-,2,54,-,-,2,54,-,-,2,54,-,-
6,13123,1312301104,江戸川区,江戸川区一之江,４丁目,江戸川区一之江４丁目,88,518,86,474,34,83,51,390,48,362,48,362,-,-,-,-,-,-,3,28,1,1,2,44,-,-,2,44,-,-,2,44,-,-
6,13123,1312301105,江戸川区,江戸川区一之江,５丁目,江戸川区一之江５丁目,71,263,71,263,34,74,37,189,35,180,32,160,1,1,2,19,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312301106,江戸川区,江戸川区一之江,６丁目,江戸川区一之江６丁目,82,553,81,518,26,61,55,457,48,336,45,331,-,-,2,4,1,1,7,121,-,-,1,35,-,-,1,35,-,-,1,35,-,-
6,13123,1312301107,江戸川区,江戸川区一之江,７丁目,江戸川区一之江７丁目,181,1751,180,1675,55,253,125,1422,117,1357,117,1357,-,-,-,-,-,-,8,65,-,-,1,76,-,-,1,76,1,76,-,-,-,-
6,13123,1312301108,江戸川区,江戸川区一之江,８丁目,江戸川区一之江８丁目,89,1033,89,1033,26,85,63,948,57,863,57,863,-,-,-,-,-,-,6,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312301000,江戸川区,江戸川区一之江町,,江戸川区一之江町,19,181,19,181,10,23,9,158,9,158,9,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312304100,江戸川区,江戸川区宇喜田町,,江戸川区宇喜田町,110,720,106,634,39,65,67,569,63,547,63,547,-,-,-,-,-,-,4,22,-,-,4,86,-,-,4,86,1,1,3,85,-,-
5,13123,1312301700,江戸川区,江戸川区江戸川,,江戸川区江戸川,598,3876,587,3634,237,505,350,3129,312,2386,310,2383,1,2,1,1,-,-,38,743,-,-,11,242,-,-,11,242,-,-,10,215,1,27
6,13123,1312301701,江戸川区,江戸川区江戸川,１丁目,江戸川区江戸川１丁目,133,810,131,777,61,143,70,634,59,276,59,276,-,-,-,-,-,-,11,358,-,-,2,33,-,-,2,33,-,-,2,33,-,-
6,13123,1312301702,江戸川区,江戸川区江戸川,２丁目,江戸川区江戸川２丁目,101,691,97,593,40,93,57,500,53,406,53,406,-,-,-,-,-,-,4,94,-,-,4,98,-,-,4,98,-,-,3,71,1,27
6,13123,1312301703,江戸川区,江戸川区江戸川,３丁目,江戸川区江戸川３丁目,105,494,105,494,47,91,58,403,48,303,47,301,1,2,-,-,-,-,10,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312301704,江戸川区,江戸川区江戸川,４丁目,江戸川区江戸川４丁目,28,223,27,187,7,11,20,176,17,153,17,153,-,-,-,-,-,-,3,23,-,-,1,36,-,-,1,36,-,-,1,36,-,-
6,13123,1312301705,江戸川区,江戸川区江戸川,５丁目,江戸川区江戸川５丁目,103,824,101,792,34,62,67,730,63,586,62,585,-,-,1,1,-,-,4,144,-,-,2,32,-,-,2,32,-,-,2,32,-,-
6,13123,1312301706,江戸川区,江戸川区江戸川,６丁目,江戸川区江戸川６丁目,128,834,126,791,48,105,78,686,72,662,72,662,-,-,-,-,-,-,6,24,-,-,2,43,-,-,2,43,-,-,2,43,-,-
5,13123,1312302800,江戸川区,江戸川区興宮町,,江戸川区興宮町,78,338,78,338,35,88,43,250,42,237,42,237,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312304600,江戸川区,江戸川区北葛西,,江戸川区北葛西,441,4543,433,4370,165,423,268,3947,248,3566,247,3551,1,15,-,-,-,-,20,381,-,-,8,173,-,-,8,173,1,4,7,169,-,-
6,13123,1312304601,江戸川区,江戸川区北葛西,１丁目,江戸川区北葛西１丁目,86,755,85,751,38,75,47,676,44,669,44,669,-,-,-,-,-,-,3,7,-,-,1,4,-,-,1,4,1,4,-,-,-,-
6,13123,1312304602,江戸川区,江戸川区北葛西,２丁目,江戸川区北葛西２丁目,138,1200,135,1115,58,110,77,1005,74,860,73,845,1,15,-,-,-,-,3,145,-,-,3,85,-,-,3,85,-,-,3,85,-,-
6,13123,1312304603,江戸川区,江戸川区北葛西,３丁目,江戸川区北葛西３丁目,45,434,45,434,16,48,29,386,29,386,29,386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304604,江戸川区,江戸川区北葛西,４丁目,江戸川区北葛西４丁目,114,1428,112,1384,35,154,77,1230,64,1001,64,1001,-,-,-,-,-,-,13,229,-,-,2,44,-,-,2,44,-,-,2,44,-,-
6,13123,1312304605,江戸川区,江戸川区北葛西,５丁目,江戸川区北葛西５丁目,58,726,56,686,18,36,38,650,37,650,37,650,-,-,-,-,-,-,1,-,-,-,2,40,-,-,2,40,-,-,2,40,-,-
5,13123,1312302300,江戸川区,江戸川区北小岩,,江戸川区北小岩,934,5618,919,5308,389,942,530,4366,475,3548,467,3507,3,17,5,24,-,-,55,818,-,-,15,310,-,-,15,310,2,39,13,271,-,-
6,13123,1312302301,江戸川区,江戸川区北小岩,１丁目,江戸川区北小岩１丁目,90,798,90,798,25,47,65,751,64,749,63,748,1,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312302302,江戸川区,江戸川区北小岩,２丁目,江戸川区北小岩２丁目,212,1096,208,1028,98,246,110,782,96,567,93,545,1,9,2,13,-,-,14,215,-,-,4,68,-,-,4,68,-,-,4,68,-,-
6,13123,1312302303,江戸川区,江戸川区北小岩,３丁目,江戸川区北小岩３丁目,97,596,94,514,38,84,56,430,50,401,49,394,1,7,-,-,-,-,6,29,-,-,3,82,-,-,3,82,1,38,2,44,-,-
6,13123,1312302304,江戸川区,江戸川区北小岩,４丁目,江戸川区北小岩４丁目,101,439,101,439,43,90,58,349,52,313,51,312,-,-,1,1,-,-,6,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312302305,江戸川区,江戸川区北小岩,５丁目,江戸川区北小岩５丁目,74,761,73,728,22,49,51,679,41,313,41,313,-,-,-,-,-,-,10,366,-,-,1,33,-,-,1,33,-,-,1,33,-,-
6,13123,1312302306,江戸川区,江戸川区北小岩,６丁目,江戸川区北小岩６丁目,221,1239,219,1213,109,303,110,910,95,750,94,741,-,-,1,9,-,-,15,160,-,-,2,26,-,-,2,26,1,1,1,25,-,-
6,13123,1312302307,江戸川区,江戸川区北小岩,７丁目,江戸川区北小岩７丁目,53,244,51,211,22,71,29,140,27,133,27,133,-,-,-,-,-,-,2,7,-,-,2,33,-,-,2,33,-,-,2,33,-,-
6,13123,1312302308,江戸川区,江戸川区北小岩,８丁目,江戸川区北小岩８丁目,86,445,83,377,32,52,51,325,50,322,49,321,-,-,1,1,-,-,1,3,-,-,3,68,-,-,3,68,-,-,3,68,-,-
5,13123,1312300100,江戸川区,江戸川区小松川,,江戸川区小松川,255,1928,250,1799,69,259,181,1540,163,1224,161,1207,-,-,2,17,-,-,18,316,-,-,5,129,-,-,5,129,-,-,5,129,-,-
6,13123,1312300101,江戸川区,江戸川区小松川,１丁目,江戸川区小松川１丁目,44,318,43,310,12,90,31,220,23,110,23,110,-,-,-,-,-,-,8,110,-,-,1,8,-,-,1,8,-,-,1,8,-,-
6,13123,1312300102,江戸川区,江戸川区小松川,２丁目,江戸川区小松川２丁目,41,194,40,159,14,45,26,114,24,83,24,83,-,-,-,-,-,-,2,31,-,-,1,35,-,-,1,35,-,-,1,35,-,-
6,13123,1312300103,江戸川区,江戸川区小松川,３丁目,江戸川区小松川３丁目,112,1014,109,928,29,93,80,835,74,665,74,665,-,-,-,-,-,-,6,170,-,-,3,86,-,-,3,86,-,-,3,86,-,-
6,13123,1312300104,江戸川区,江戸川区小松川,４丁目,江戸川区小松川４丁目,58,402,58,402,14,31,44,371,42,366,40,349,-,-,2,17,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312302500,江戸川区,江戸川区鹿骨,,江戸川区鹿骨,555,4154,542,3813,200,483,342,3330,318,2733,318,2733,-,-,-,-,-,-,24,597,-,-,13,341,-,-,13,341,2,120,11,221,-,-
6,13123,1312302501,江戸川区,江戸川区鹿骨,１丁目,江戸川区鹿骨１丁目,161,1122,157,1058,61,142,96,916,90,830,90,830,-,-,-,-,-,-,6,86,-,-,4,64,-,-,4,64,1,3,3,61,-,-
6,13123,1312302502,江戸川区,江戸川区鹿骨,２丁目,江戸川区鹿骨２丁目,97,714,95,564,31,67,64,497,61,430,61,430,-,-,-,-,-,-,3,67,-,-,2,150,-,-,2,150,1,117,1,33,-,-
6,13123,1312302503,江戸川区,江戸川区鹿骨,３丁目,江戸川区鹿骨３丁目,72,859,70,824,20,61,50,763,42,383,42,383,-,-,-,-,-,-,8,380,-,-,2,35,-,-,2,35,-,-,2,35,-,-
6,13123,1312302504,江戸川区,江戸川区鹿骨,４丁目,江戸川区鹿骨４丁目,92,542,92,542,34,70,58,472,52,415,52,415,-,-,-,-,-,-,6,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312302505,江戸川区,江戸川区鹿骨,５丁目,江戸川区鹿骨５丁目,95,469,94,437,45,113,49,324,48,317,48,317,-,-,-,-,-,-,1,7,-,-,1,32,-,-,1,32,-,-,1,32,-,-
6,13123,1312302506,江戸川区,江戸川区鹿骨,６丁目,江戸川区鹿骨６丁目,38,448,34,388,9,30,25,358,25,358,25,358,-,-,-,-,-,-,-,-,-,-,4,60,-,-,4,60,-,-,4,60,-,-
5,13123,1312302400,江戸川区,江戸川区鹿骨町,,江戸川区鹿骨町,3,4,3,4,1,1,2,3,2,3,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312303100,江戸川区,江戸川区篠崎町,,江戸川区篠崎町,887,8060,878,7891,280,774,598,7117,555,6341,553,6332,1,2,1,7,-,-,43,776,-,-,9,169,-,-,9,169,1,2,8,167,-,-
6,13123,1312303101,江戸川区,江戸川区篠崎町,１丁目,江戸川区篠崎町１丁目,134,807,133,805,61,172,72,633,70,621,70,621,-,-,-,-,-,-,2,12,-,-,1,2,-,-,1,2,1,2,-,-,-,-
6,13123,1312303102,江戸川区,江戸川区篠崎町,２丁目,江戸川区篠崎町２丁目,160,1473,160,1473,49,159,111,1314,96,837,94,828,1,2,1,7,-,-,15,477,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312303103,江戸川区,江戸川区篠崎町,３丁目,江戸川区篠崎町３丁目,50,761,46,696,6,8,40,688,37,677,37,677,-,-,-,-,-,-,3,11,-,-,4,65,-,-,4,65,-,-,4,65,-,-
6,13123,1312303104,江戸川区,江戸川区篠崎町,４丁目,江戸川区篠崎町４丁目,118,685,118,685,49,109,69,576,63,485,63,485,-,-,-,-,-,-,6,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312303105,江戸川区,江戸川区篠崎町,５丁目,江戸川区篠崎町５丁目,77,931,76,879,16,60,60,819,58,792,58,792,-,-,-,-,-,-,2,27,-,-,1,52,-,-,1,52,-,-,1,52,-,-
6,13123,1312303106,江戸川区,江戸川区篠崎町,６丁目,江戸川区篠崎町６丁目,107,801,107,801,35,79,72,722,69,705,69,705,-,-,-,-,-,-,3,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312303107,江戸川区,江戸川区篠崎町,７丁目,江戸川区篠崎町７丁目,220,2416,219,2414,58,171,161,2243,149,2102,149,2102,-,-,-,-,-,-,12,141,-,-,1,2,-,-,1,2,-,-,1,2,-,-
6,13123,1312303108,江戸川区,江戸川区篠崎町,８丁目,江戸川区篠崎町８丁目,21,186,19,138,6,16,13,122,13,122,13,122,-,-,-,-,-,-,-,-,-,-,2,48,-,-,2,48,-,-,2,48,-,-
5,13123,1312303900,江戸川区,江戸川区下篠崎町,,江戸川区下篠崎町,130,453,129,411,90,211,39,200,38,154,38,154,-,-,-,-,-,-,1,46,-,-,1,42,-,-,1,42,-,-,1,42,-,-
5,13123,1312300300,江戸川区,江戸川区中央,,江戸川区中央,830,8732,813,6579,276,852,535,5659,501,5092,493,4980,3,24,5,88,-,-,34,567,2,68,17,2153,1,24,16,2129,4,298,12,1831,-,-
6,13123,1312300301,江戸川区,江戸川区中央,１丁目,江戸川区中央１丁目,218,3698,210,2011,69,165,140,1843,127,1588,121,1496,2,22,4,70,-,-,13,255,1,3,8,1687,1,24,7,1663,-,-,7,1663,-,-
6,13123,1312300302,江戸川区,江戸川区中央,２丁目,江戸川区中央２丁目,257,1737,253,1534,100,244,153,1290,147,1196,146,1178,-,-,1,18,-,-,6,94,-,-,4,203,-,-,4,203,2,162,2,41,-,-
6,13123,1312300303,江戸川区,江戸川区中央,３丁目,江戸川区中央３丁目,176,1544,175,1529,48,110,127,1419,122,1328,122,1328,-,-,-,-,-,-,5,91,-,-,1,15,-,-,1,15,1,15,-,-,-,-
6,13123,1312300304,江戸川区,江戸川区中央,４丁目,江戸川区中央４丁目,179,1753,175,1505,59,333,115,1107,105,980,104,978,1,2,-,-,-,-,10,127,1,65,4,248,-,-,4,248,1,121,3,127,-,-
5,13123,1312304700,江戸川区,江戸川区中葛西,,江戸川区中葛西,1007,10357,995,9501,294,916,700,8583,652,7963,651,7935,-,-,-,-,1,28,48,620,1,2,12,856,-,-,12,856,2,479,10,377,-,-
6,13123,1312304701,江戸川区,江戸川区中葛西,１丁目,江戸川区中葛西１丁目,130,1637,129,1522,36,63,93,1459,85,1407,85,1407,-,-,-,-,-,-,8,52,-,-,1,115,-,-,1,115,1,115,-,-,-,-
6,13123,1312304702,江戸川区,江戸川区中葛西,２丁目,江戸川区中葛西２丁目,129,1009,126,928,49,118,77,810,69,648,68,620,-,-,-,-,1,28,8,162,-,-,3,81,-,-,3,81,-,-,3,81,-,-
6,13123,1312304703,江戸川区,江戸川区中葛西,３丁目,江戸川区中葛西３丁目,225,2355,223,2241,64,228,159,2013,149,1940,149,1940,-,-,-,-,-,-,10,73,-,-,2,114,-,-,2,114,-,-,2,114,-,-
6,13123,1312304704,江戸川区,江戸川区中葛西,４丁目,江戸川区中葛西４丁目,75,1409,73,1011,29,100,44,911,42,863,42,863,-,-,-,-,-,-,2,48,-,-,2,398,-,-,2,398,1,364,1,34,-,-
6,13123,1312304705,江戸川区,江戸川区中葛西,５丁目,江戸川区中葛西５丁目,207,2138,207,2138,53,236,154,1902,145,1713,145,1713,-,-,-,-,-,-,9,189,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304706,江戸川区,江戸川区中葛西,６丁目,江戸川区中葛西６丁目,83,650,81,563,11,26,70,537,63,456,63,456,-,-,-,-,-,-,7,81,-,-,2,87,-,-,2,87,-,-,2,87,-,-
6,13123,1312304707,江戸川区,江戸川区中葛西,７丁目,江戸川区中葛西７丁目,98,732,98,732,35,74,62,656,62,656,62,656,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304708,江戸川区,江戸川区中葛西,８丁目,江戸川区中葛西８丁目,60,427,58,366,17,71,41,295,37,280,37,280,-,-,-,-,-,-,4,15,-,-,2,61,-,-,2,61,-,-,2,61,-,-
5,13123,1312304200,江戸川区,江戸川区新堀,,江戸川区新堀,215,1529,213,1489,53,156,160,1333,154,1281,154,1281,-,-,-,-,-,-,6,52,-,-,2,40,-,-,2,40,-,-,2,40,-,-
6,13123,1312304201,江戸川区,江戸川区新堀,１丁目,江戸川区新堀１丁目,111,787,109,747,23,64,86,683,82,668,82,668,-,-,-,-,-,-,4,15,-,-,2,40,-,-,2,40,-,-,2,40,-,-
6,13123,1312304202,江戸川区,江戸川区新堀,２丁目,江戸川区新堀２丁目,104,742,104,742,30,92,74,650,72,613,72,613,-,-,-,-,-,-,2,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312300900,江戸川区,江戸川区西一之江,,江戸川区西一之江,423,4119,420,4035,100,214,319,3820,301,3337,299,3299,2,38,-,-,-,-,18,483,1,1,3,84,-,-,3,84,-,-,3,84,-,-
6,13123,1312300901,江戸川区,江戸川区西一之江,１丁目,江戸川区西一之江１丁目,54,445,53,398,11,13,41,384,40,371,40,371,-,-,-,-,-,-,1,13,1,1,1,47,-,-,1,47,-,-,1,47,-,-
6,13123,1312300902,江戸川区,江戸川区西一之江,２丁目,江戸川区西一之江２丁目,94,1224,92,1187,10,23,82,1164,76,1093,76,1093,-,-,-,-,-,-,6,71,-,-,2,37,-,-,2,37,-,-,2,37,-,-
6,13123,1312300903,江戸川区,江戸川区西一之江,３丁目,江戸川区西一之江３丁目,155,1100,155,1100,55,120,100,980,92,834,90,796,2,38,-,-,-,-,8,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312300904,江戸川区,江戸川区西一之江,４丁目,江戸川区西一之江４丁目,120,1350,120,1350,24,58,96,1292,93,1039,93,1039,-,-,-,-,-,-,3,253,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13123,1312304400,江戸川区,江戸川区西葛西,,江戸川区西葛西,1168,16204,1153,15863,310,1122,843,14741,783,12429,779,12412,-,-,4,17,-,-,60,2312,-,-,15,341,-,-,15,341,-,-,15,341,-,-
6,13123,1312304401,江戸川区,江戸川区西葛西,１丁目,江戸川区西葛西１丁目,71,415,71,415,30,82,41,333,40,326,40,326,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304402,江戸川区,江戸川区西葛西,２丁目,江戸川区西葛西２丁目,42,523,42,523,10,30,32,493,32,493,32,493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304403,江戸川区,江戸川区西葛西,３丁目,江戸川区西葛西３丁目,193,3426,191,3374,39,160,152,3214,145,2945,145,2945,-,-,-,-,-,-,7,269,-,-,2,52,-,-,2,52,-,-,2,52,-,-
6,13123,1312304404,江戸川区,江戸川区西葛西,４丁目,江戸川区西葛西４丁目,69,873,67,826,16,44,51,782,46,732,46,732,-,-,-,-,-,-,5,50,-,-,2,47,-,-,2,47,-,-,2,47,-,-
6,13123,1312304405,江戸川区,江戸川区西葛西,５丁目,江戸川区西葛西５丁目,184,2417,181,2325,62,250,119,2075,106,1537,106,1537,-,-,-,-,-,-,13,538,-,-,3,92,-,-,3,92,-,-,3,92,-,-
6,13123,1312304406,江戸川区,江戸川区西葛西,６丁目,江戸川区西葛西６丁目,463,5609,463,5609,105,441,358,5168,334,4450,330,4433,-,-,4,17,-,-,24,718,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13123,1312304407,江戸川区,江戸川区西葛西,７丁目,江戸川区西葛西７丁目,83,1473,80,1420,21,53,59,1367,52,912,52,912,-,-,-,-,-,-,7,455,-,-,3,53,-,-,3,53,-,-,3,53,-,-
6,13123,1312304408,江戸川区,江戸川区西葛西,８丁目,江戸川区西葛西８丁目,63,1468,58,1371,27,62,31,1309,28,1034,28,1034,-,-,-,-,-,-,3,275,-,-,5,97,-,-,5,97,-,-,5,97,-,-
5,13123,1312302100,江戸川区,江戸川区西小岩,,江戸川区西小岩,1004,7004,997,6833,457,1252,540,5581,506,5036,499,4995,4,17,3,24,-,-,34,545,-,-,7,171,1,38,6,133,-,-,6,133,-,-
