"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"3","209","2022/03/22 0:00:00","中野区沼袋３丁目Ａ号棟　新築工事","株式会社　グランビル","杉並区阿佐谷南3-50-4","2022/03/17 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","沼袋3-470-15の一部","沼袋3-32","第1種低層住居専用地域","","一戸建ての住宅","新築","9.56","地上3階","木造","べた基礎","69.55","47.87","111.77","2022/05/09 0:00:00","2022/10/09 0:00:00","3-209","139.660739395393","35.7197888743527","令和３年度"
"3","211","2022/03/22 0:00:00","中野区沼袋３丁目Ｃ号棟　新築工事","株式会社　グランビル","杉並区阿佐谷南3-50-4","2022/03/17 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","沼袋3-470-15の一部","沼袋3-32","第1種低層住居専用地域","","一戸建ての住宅","新築","9.406","地上3階","木造","べた基礎","73.32","45.23","118.36","2022/05/09 0:00:00","2022/10/09 0:00:00","3-211","139.660776188411","35.7198508871371","令和３年度"
"3","47","2021/06/04 0:00:00","中野区沼袋四丁目（二期）A号棟","株式会社　ビーエイト","杉並区梅里2-1-15　新高円寺三和ビル　5F","2021/05/31 0:00:00","小林住宅設計　一級建築士事務所","調布市八雲台2-2-7","未定","","沼袋4-504-11、15、18の各一部","沼袋4-4","第1種低層住居専用地域","","一戸建ての住宅","新築","8.839","地上3階","木造","べた基礎","70.77","47.74","114.67","2021/07/19 0:00:00","2021/12/15 0:00:00","3-47","139.660916367822","35.720877333518","令和３年度"
"3","48","2021/06/04 0:00:00","中野区沼袋四丁目（二期）B号棟","株式会社　ビーエイト","杉並区梅里2-1-15　新高円寺三和ビル　5F","2021/05/31 0:00:00","小林住宅設計　一級建築士事務所","調布市八雲台2-2-7","未定","","沼袋4-504-11、15、18の各一部","沼袋4-4","第1種低層住居専用地域","","一戸建ての住宅","新築","8.703","地上3階","木造","べた基礎","70.77","48.14","114.99","2021/07/19 0:00:00","2021/12/15 0:00:00","3-48","139.660999136798","35.7209061886084","令和３年度"
"3","15","2021/04/26 0:00:00","沼袋３２２③１　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18　渋谷南東急ビル　6F","2021/04/20 0:00:00","株式会社　オープンハウス・アーキテクト　一級建築士事務所","立川市曙町1-22-17","株式会社　オープンハウス・アーキテクト","立川市曙町1-22-17","沼袋3-472-1の一部","沼袋3-32-8","第1種低層住居専用地域","","一戸建ての住宅","新築","8.737","地上3階","木造","べた基礎","60.74","39.82","100.92","2021/06/07 0:00:00","2021/12/07 0:00:00","3-15","139.66134605541","35.7197800782405","令和３年度"
"3","16","2021/04/26 0:00:00","沼袋３２２③２　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18　渋谷南東急ビル　6F","2021/04/20 0:00:00","株式会社　オープンハウス・アーキテクト　一級建築士事務所","立川市曙町1-22-17","株式会社　オープンハウス・アーキテクト","立川市曙町1-22-17","沼袋3-472-1の一部","沼袋3-32-8","第1種低層住居専用地域","","一戸建ての住宅","新築","8.747","地上3階","木造","べた基礎","63.25","41.71","104.37","2021/06/07 0:00:00","2021/12/07 0:00:00","3-16","139.661393027281","35.7198024900073","令和３年度"
"3","115","2021/10/15 0:00:00","沼袋３３２③３　新築工事","個人","個人","2021/10/15 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","沼袋3-472-12、13","沼袋3-32","第1種低層住居専用地域","","一戸建ての住宅","新築","9.26","地上3階","木造","べた基礎","81.72","56.93","117.37","2021/12/20 0:00:00","2022/05/29 0:00:00","3-115","139.661441006827","35.719827287789","令和３年度"
"3","35","2021/05/18 0:00:00","（仮称）ロイジェント南台５丁目プロジェクト　新築工事","大和ハウス工業株式会社","千代田区飯田橋3-13-1","2021/05/14 0:00:00","大和ハウス工業株式会社　中高層一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京支店","千代田区飯田橋3-13-1","南台5-32-11","南台5-18-6","準工業地域","","共同住宅","新築","15.1","地上5階","鉄筋コンクリート造","杭基礎","618.19","431.53","1488.77","2021/12/01 0:00:00","2022/09/30 0:00:00","3-35","139.661526165589","35.6814090509448","令和３年度"
"5","91","2023/07/31 0:00:00","Blanc Court方南町　新築工事","リアルパートナーズ株式会社","港区虎ノ門1-13-3　虎ノ門東洋共同ビル　9F","2023/07/12 0:00:00","株式会社　スミト　一級建築士事務所","世田谷区世田谷3-1-6-103","未定","","南台5-44-16","南台5-16-2","第１種中高層住居専用地域","","共同住宅","新築","10.88","地上4階/地下1階","鉄筋コンクリート造","杭基礎","81.41","48.76","255.92","2023/11/01 0:00:00","2024/10/31 0:00:00","5-91","139.661803243335","35.6803415607052","令和５年度"
"4","113","2022/09/20 0:00:00","（仮称）中野区江古田４丁目計画","個人","個人","2022/09/08 0:00:00","株式会社　セレコーポレーション","中央区京橋3-7-1　相互館110タワー　5Ｆ","株式会社　セレコーポレーション","中央区京橋3-7-1　相互館110タワー　5Ｆ","江古田4-1646-2","江古田4-29-5","第1種低層住居専用地域","","共同住宅","新築","9.172","地上3階","鉄骨造","直接基礎","193.65","130.02","279.26","2022/10/21 0:00:00","2023/03/26 0:00:00","4-113","139.661742318921","35.724905728133","令和４年度"
"3","197","2022/02/25 0:00:00","中野区沼袋４丁目分譲　Ａ号棟　新築工事","株式会社　バンコーポレーション","埼玉県春日部市中央1-4-10","2022/02/15 0:00:00","有限会社　酒井建築設計室","埼玉県春日部市備後東8-47-4","株式会社　大貫","埼玉県さいたま市浦和区前地3-6-16","沼袋4-1572-2の一部","沼袋4-30","第1種低層住居専用地域","","一戸建ての住宅","新築","8.96","地上3階","木造","べた基礎","61.71","37.16","92.42","2022/03/14 0:00:00","2022/07/16 0:00:00","3-197","139.661911015411","35.7233682856791","令和３年度"
"4","73","2022/06/30 0:00:00","個人","個人","個人","2022/06/26 0:00:00","有限会社　ビィデザイン","渋谷区本町5-27-14","未定","","沼袋3-475-8、40、41、43","沼袋3-30-8","第1種低層住居専用地域","","一戸建ての住宅","新築","9.875","地上3階","木造","べた基礎","183.54","109.48","197.41","2022/09/01 0:00:00","2023/02/01 0:00:00","4-73","139.661857625368","35.7205121677959","令和４年度"
"3","198","2022/02/25 0:00:00","中野区沼袋４丁目分譲　Ｂ号棟　新築工事","株式会社　バンコーポレーション","埼玉県春日部市中央1-4-10","2022/02/15 0:00:00","有限会社　酒井建築設計室","埼玉県春日部市備後東8-47-4","株式会社　大貫","埼玉県さいたま市浦和区前地3-6-16","沼袋4-1572-2の一部","沼袋4-30","第1種低層住居専用地域","","一戸建ての住宅","新築","9.06","地上3階","木造","べた基礎","61.93","35.11","93.89","2022/03/14 0:00:00","2022/07/16 0:00:00","3-198","139.661967914048","35.7233581951322","令和３年度"
"4","118","2022/09/27 0:00:00","個人","個人","個人","2022/09/23 0:00:00","ミサワホーム株式会社　東京西一級建築士事務所","杉並区高井戸東2-4-5","ミサワホーム株式会社","千代田区有楽町1-7-1","中野3-72-17","中野3-3-10","第1種中高層住居専用地域","","一戸建ての住宅","新築","10.438","地上3階","木造","布基礎","92.92","51.34","152.36","2022/12/09 0:00:00","2023/06/20 0:00:00","4-118","139.662196444211","35.7005600401803","令和４年度"
"4","176","2023/01/24 0:00:00","（仮称）中野区弥生町プロジェクト　新築工事","株式会社　宇佐美","中野区弥生町6-4-9","2023/01/20 0:00:00","大和ハウス工業株式会社　中高層　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京本店","千代田区飯田橋3-13-1","弥生町6-18-6、12、19の一部、24","弥生町6-4","第1種中高層住居専用地域","","共同住宅","新築","19.5","地上6階","鉄筋コンクリート造","直接基礎","561.2","291.24","1328.79","2023/05/08 0:00:00","2024/05/31 0:00:00","4-176","139.662498812115","35.6872895118189","令和４年度"
"4","147","2022/11/21 0:00:00","(仮称)中野区新井２丁目計画　新築工事","個人","個人","2022/11/18 0:00:00","有限会社　B.I.Sデザイン研究所　一級建築士事務所","中野区中央5-38-13　メゾンドール臼井B　702","未定","","新井2-32-8","新井2-41-7","第1種中高層住居専用地域","","共同住宅","新築","11.7","地上4階","鉄筋コンクリート造","直接基礎","288.13","210.26","665.49","2023/03/01 0:00:00","2023/10/31 0:00:00","4-147","139.662501616652","35.7132303352238","令和４年度"
"5","186","2024/02/02 0:00:00","（仮称）中野区沼袋４丁目計画","個人","個人","2024/01/31 0:00:00","有限会社　ティ・エム・ケイ・スタジオ","新宿区西新宿4-32-4","株式会社　アイ建設","埼玉県川口市南鳩ヶ谷6-5-13","沼袋4-1535-8","沼袋4-30-16","近隣商業地域","","事務所・共同住宅","新築","14.461","地上4階","木造","べた基礎","46.1","31.16","128.14","2024/05/07 0:00:00","2024/11/30 0:00:00","5-186","139.662612219595","35.7232528296853","令和５年度"
"5","73","2023/06/30 0:00:00","（仮称）コンシェリア方南町　新築工事","株式会社　クレアスライフ","港区六本木5-1-3","2023/06/27 0:00:00","株式会社　アトリエプラス・ワン","千代田区五番町10-7　JBTV五番町ビル　1F","未定","","南台3-34-3","南台3-46","準工業地域","","共同住宅","新築","14.095","地上5階","鉄筋コンクリート造","直接基礎","608.91","405.88","1546.07","2023/09/04 0:00:00","2024/09/30 0:00:00","5-73","139.662627668636","35.6836025456895","令和５年度"
"3","169","2022/01/21 0:00:00","個人","個人","個人","2022/01/18 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1　新宿モノリス　11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1　新宿モノリス　11F","沼袋4-287-4","沼袋4-26-14","近隣商業地域","","共同住宅・店舗","新築","15.984","地上5階","鉄骨造","布基礎","171.61","131.08","610.44","2022/07/28 0:00:00","2023/04/30 0:00:00","3-169","139.66260270189","35.7216453835469","令和３年度"
"4","142","2022/11/17 0:00:00","個人","個人","個人","2022/11/15 0:00:00","有限会社　エクサアーキテクト　一級建築士事務所","中野区江古田4-37-4","株式会社　髙木建設","中野区江古田4-37-4","沼袋4-1535-15","沼袋4-29-16","近隣商業地域","","店舗・共同住宅","新築","16.05","地上5階","鉄骨造","杭基礎","153.48","117.44","557.08","2023/03/20 0:00:00","2024/03/31 0:00:00","4-142","139.66262562948","35.7225607327787","令和４年度"
"4","150","2022/11/29 0:00:00","(仮称)中野区本町６丁目プロジェクト　新築工事","株式会社　リフレム","渋谷区代々木1-25-5","2022/11/28 0:00:00","株式会社　WAM建築研究所　一級建築士事務所","渋谷区千駄ヶ谷4-3-3　THE FORUM北参道　3F","株式会社　イクプランニング","福生市牛浜133-7-204","本町6-66-86","本町6-35-15","商業地域","","飲食店・共同住宅","新築","26.96","地上9階","鉄筋コンクリート造","杭基礎","103.62","74.89","608.59","2023/02/01 0:00:00","2024/01/31 0:00:00","4-150","139.662748099387","35.6972549301011","令和４年度"
"4","67","2022/06/28 0:00:00","個人","個人","個人","2022/06/24 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1　新宿モノリス  11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1　新宿モノリス 　11F","沼袋4-1535-4","沼袋4-29-17","近隣商業地域","","店舗・共同住宅","新築","15.754","地上5階","鉄骨造","杭基礎","101.79","75.55","358.58","2022/11/14 0:00:00","2023/08/26 0:00:00","4-67","139.662631007163","35.7224856159357","令和４年度"
"3","74","2021/07/07 0:00:00","（仮称）沼袋４丁目HN計画","株式会社　大日建設、クボデラ株式会社","中野区野方4-44-10、中野区野方4-44-10","2021/07/06 0:00:00","有限会社　エム．エー．ピー建築計画","新宿区南元町15-201","株式会社　大日建設","中野区野方4-44-10","沼袋4-287-8","沼袋4-27-15","商業地域","","共同住宅・事務所・店舗","新築","17.433","地上5階","鉄筋コンクリート造","杭基礎","223.43","164.41","725.59","2021/09/15 0:00:00","2022/05/31 0:00:00","3-74","139.662622627473","35.722071641637","令和３年度"
"3","130","2021/11/09 0:00:00","いしい内科クリニック　新築工事","医療法人社団　あんず会","中野区沼袋4-31-11　メイゾン丸山　1F","2021/11/05 0:00:00","株式会社　三宿工房　一級建築士事務所","渋谷区道玄坂2-15-1-910","未定","","沼袋3-294-18","沼袋3-28-9","商業地域","","診療所","新築","17.5","地上5階","鉄筋コンクリート造","杭基礎","87.87","69.45","287.14","2022/01/17 0:00:00","2022/09/30 0:00:00","3-130","139.662690241279","35.7208324052154","令和３年度"
